date,month,day,week,weekday,highLow,openClose,volume
20170102,1,2,1,0,0.943,0.747,64868.8399664
20170103,1,3,1,1,1.389,0.23,195331.549525
20170104,1,4,1,2,1.13,-0.513,206130.869494
20170105,1,5,1,3,2.211,-1.877,277338.929461
20170106,1,6,1,4,2.112,1.61,237265.989445
20170109,1,9,2,0,1.573,-1.002,208846.499349
20170110,1,10,2,1,1.145,-0.24,254182.708702
20170111,1,11,2,2,2.624,-0.348,292600.909087
20170112,1,12,2,3,1.751,-0.697,304838.169011
20170113,1,13,2,4,1.277,-0.281,270282.108942
20170116,1,16,3,0,0.847,-0.134,187257.049792
20170117,1,17,3,1,1.678,-1.56,298063.128826
20170118,1,18,3,2,2.191,2.015,262431.668826
20170119,1,19,3,3,1.22,0.222,298105.298741
20170120,1,20,3,4,1.173,-0.257,285698.228938
20170123,1,23,4,0,1.733,-1.553,279920.699153
20170124,1,24,4,1,1.37,1.087,236398.289302
20170125,1,25,4,2,0.951,-0.511,247229.508786
20170126,1,26,4,3,1.809,1.258,251692.918522
20170127,1,27,4,4,0.985,0.625,228475.048669
20170130,1,30,5,0,1.496,-0.972,234074.278936
20170131,1,31,5,1,1.884,-0.976,297754.198543
20170201,2,1,1,2,1.315,0.437,263689.148636
20170202,2,2,1,3,1.31,-0.437,256365.278795
20170203,2,3,1,4,1.15,-0.246,237807.679057
20170206,2,6,2,0,1.152,-0.704,222664.898885
20170207,2,7,2,1,0.985,0.645,216858.92888
20170208,2,8,2,2,0.914,-0.457,217037.198944
20170209,2,9,2,3,1.611,1.322,204314.688943
20170210,2,10,2,4,0.997,-0.08,215709.369045
20170213,2,13,3,0,0.729,0.217,191706.039398
20170214,2,14,3,1,1.249,0.525,203175.899499
20170215,2,15,3,2,1.092,-0.092,210781.379281
20170216,2,16,3,3,1.225,-0.927,225054.699235
20170217,2,17,3,4,0.884,-0.435,197005.139298
20170220,2,20,4,0,0.445,0.2,120346.809669
20170221,2,21,4,1,0.701,0.591,164642.72931
20170222,2,22,4,2,0.824,-0.379,201295.029173
20170223,2,23,4,3,0.903,-0.694,174362.459683
20170224,2,24,4,4,1.02,-0.534,177200.079737
20170227,2,27,5,0,0.922,0.564,175700.779722
20170228,2,28,5,1,1.209,0.084,202978.049251
20170301,3,1,1,2,1.316,0.959,237160.579639
20170302,3,2,1,3,0.909,0.679,187099.419643
20170303,3,3,1,4,0.938,-0.414,199634.749579
20170306,3,6,1,0,0.574,-0.000999999999991,157295.359727
20170307,3,7,1,1,0.424,0.098,141718.219533
20170308,3,8,1,2,1.141,0.353,181022.149485
