date,month,day,week,weekday,res
20170102,1,2,1,0,0.943
20170103,1,3,1,1,1.389
20170104,1,4,1,2,1.13
20170105,1,5,1,3,2.211
20170106,1,6,1,4,2.112
20170109,1,9,2,0,1.573
20170110,1,10,2,1,1.145
20170111,1,11,2,2,2.624
20170112,1,12,2,3,1.751
20170113,1,13,2,4,1.277
20170116,1,16,3,0,0.847
20170117,1,17,3,1,1.678
20170118,1,18,3,2,2.191
20170119,1,19,3,3,1.22
20170120,1,20,3,4,1.173
20170123,1,23,4,0,1.733
20170124,1,24,4,1,1.37
20170125,1,25,4,2,0.951
20170126,1,26,4,3,1.809
20170127,1,27,4,4,0.985
20170130,1,30,5,0,1.496
20170131,1,31,5,1,1.884
20170201,2,1,1,2,1.315
20170202,2,2,1,3,1.31
20170203,2,3,1,4,1.15
20170206,2,6,2,0,1.152
20170207,2,7,2,1,0.985
20170208,2,8,2,2,0.914
20170209,2,9,2,3,1.611
20170210,2,10,2,4,0.997
20170213,2,13,3,0,0.729
20170214,2,14,3,1,1.249
20170215,2,15,3,2,1.092
20170216,2,16,3,3,1.225
20170217,2,17,3,4,0.884
20170220,2,20,4,0,0.445
20170221,2,21,4,1,0.701
20170222,2,22,4,2,0.824
20170223,2,23,4,3,0.903
20170224,2,24,4,4,1.02
20170227,2,27,5,0,0.922
20170228,2,28,5,1,1.209
20170301,3,1,1,2,1.316
20170302,3,2,1,3,0.909
20170303,3,3,1,4,0.938
20170306,3,6,1,0,0.574
20170307,3,7,1,1,0.424
20170308,3,8,1,2,1.141
20170309,3,9,1,3,0.691
20170310,3,10,1,4,0.848
20170313,3,13,2,0,0.435
20170314,3,14,2,1,0.674
20170315,3,15,2,2,1.709
20170316,3,16,2,3,0.642
20170317,3,17,2,4,0.93
20170320,3,20,3,0,0.439
20170321,3,21,3,1,1.325
20170322,3,22,3,2,1.068
20170323,3,23,3,3,0.951
20170324,3,24,3,4,0.854
20170327,3,27,4,0,1.226
20170328,3,28,4,1,1.022
20170329,3,29,4,2,0.598
20170330,3,30,4,3,0.905
20170331,3,31,4,4,0.955
20170403,4,3,1,0,0.733
20170404,4,4,1,1,0.66
20170405,4,5,1,2,0.916
20170406,4,6,1,3,0.851
20170407,4,7,1,4,1.233
20170410,4,10,2,0,0.773
20170411,4,11,2,1,1.496
20170412,4,12,2,2,0.756
20170413,4,13,2,3,0.669
20170414,4,14,2,4,0.676
20170417,4,17,3,0,0.92
20170418,4,18,3,1,0.897
20170419,4,19,3,2,0.8
20170420,4,20,3,3,0.768
20170421,4,21,3,4,0.542
20170424,4,24,4,0,1.551
20170425,4,25,4,1,1.593
20170426,4,26,4,2,0.807
20170427,4,27,4,3,0.726
20170428,4,28,4,4,0.647
20170501,5,1,0,0,0.723
20170502,5,2,1,1,0.524
20170503,5,3,1,2,0.748
20170504,5,4,1,3,0.728
20170505,5,5,1,4,0.68
20170508,5,8,2,0,0.836
20170509,5,9,2,1,1.194
20170510,5,10,2,2,0.744
20170511,5,11,2,3,0.909
20170512,5,12,2,4,0.753
20170515,5,15,3,0,0.728
20170516,5,16,3,1,0.86
20170517,5,17,3,2,2.235
