date,month,day,week,weekday,res
20170102,1,2,1.1428571428571428,0,0.7469999999999999
20170103,1,3,1.2857142857142858,1,0.22999999999998977
20170104,1,4,1.4285714285714286,2,0.5130000000000052
20170105,1,5,1.5714285714285714,3,1.8769999999999953
20170106,1,6,1.7142857142857142,4,1.6099999999999994
20170109,1,9,2.142857142857143,0,1.0020000000000095
20170110,1,10,2.2857142857142856,1,0.2400000000000091
20170111,1,11,2.4285714285714284,2,0.347999999999999
20170112,1,12,2.5714285714285716,3,0.6970000000000027
20170113,1,13,2.7142857142857144,4,0.2809999999999917
20170116,1,16,3.142857142857143,0,0.13399999999998613
20170117,1,17,3.2857142857142856,1,1.5600000000000023
20170118,1,18,3.4285714285714284,2,2.0150000000000006
20170119,1,19,3.5714285714285716,3,0.2219999999999942
20170120,1,20,3.7142857142857144,4,0.257000000000005
20170123,1,23,4.142857142857143,0,1.5530000000000115
20170124,1,24,4.285714285714286,1,1.0870000000000033
20170125,1,25,4.428571428571429,2,0.5109999999999957
20170126,1,26,4.571428571428571,3,1.2579999999999956
20170127,1,27,4.714285714285714,4,0.625
20170130,1,30,5.142857142857143,0,0.9720000000000084
20170131,1,31,5.285714285714286,1,0.9759999999999991
20170201,2,1,1.4285714285714286,2,0.4369999999999976
20170202,2,2,1.5714285714285714,3,0.4369999999999976
20170203,2,3,1.7142857142857142,4,0.2459999999999951
20170206,2,6,2.142857142857143,0,0.7040000000000077
20170207,2,7,2.2857142857142856,1,0.644999999999996
20170208,2,8,2.4285714285714284,2,0.45699999999999363
20170209,2,9,2.5714285714285716,3,1.3219999999999885
20170210,2,10,2.7142857142857144,4,0.0799999999999983
20170213,2,13,3.142857142857143,0,0.21699999999999875
20170214,2,14,3.2857142857142856,1,0.5250000000000057
20170215,2,15,3.4285714285714284,2,0.09199999999999875
20170216,2,16,3.5714285714285716,3,0.9270000000000067
20170217,2,17,3.7142857142857144,4,0.43499999999998806
20170220,2,20,4.142857142857143,0,0.20000000000000284
20170221,2,21,4.285714285714286,1,0.5910000000000082
20170222,2,22,4.428571428571429,2,0.3790000000000049
20170223,2,23,4.571428571428571,3,0.6940000000000026
20170224,2,24,4.714285714285714,4,0.534000000000006
20170227,2,27,5.142857142857143,0,0.5640000000000072
20170228,2,28,5.285714285714286,1,0.08399999999998897
20170301,3,1,1.4285714285714286,2,0.9590000000000032
20170302,3,2,1.5714285714285714,3,0.679000000000002
20170303,3,3,1.7142857142857142,4,0.4140000000000015
20170306,3,6,1.1428571428571428,0,0.000999999999990564
20170307,3,7,1.2857142857142858,1,0.09799999999999898
20170308,3,8,1.4285714285714286,2,0.35299999999999443
20170309,3,9,1.5714285714285714,3,0.6110000000000042
20170310,3,10,1.7142857142857142,4,0.21299999999999386
20170313,3,13,2.142857142857143,0,0.12699999999999534
20170314,3,14,2.2857142857142856,1,0.11399999999999011
20170315,3,15,2.4285714285714284,2,1.480000000000004
20170316,3,16,2.5714285714285716,3,0.003999999999990678
20170317,3,17,2.7142857142857144,4,0.5600000000000023
20170320,3,20,3.142857142857143,0,0.15200000000000102
20170321,3,21,3.2857142857142856,1,0.8130000000000024
20170322,3,22,3.4285714285714284,2,0.585000000000008
20170323,3,23,3.5714285714285716,3,0.14100000000000534
20170324,3,24,3.7142857142857144,4,0.20600000000000307
20170327,3,27,4.142857142857143,0,0.5810000000000031
20170328,3,28,4.285714285714286,1,0.492999999999995
20170329,3,29,4.428571428571429,2,0.12999999999999545
20170330,3,30,4.571428571428571,3,0.8200000000000074
20170331,3,31,4.714285714285714,4,0.472999999999999
20170403,4,3,1.1428571428571428,0,0.4609999999999985
20170404,4,4,1.2857142857142858,1,0.1290000000000049
20170405,4,5,1.4285714285714286,2,0.06700000000000728
20170406,4,6,1.5714285714285714,3,0.14200000000001012
20170407,4,7,1.7142857142857142,4,0.40099999999999625
20170410,4,10,2.142857142857143,0,0.257000000000005
20170411,4,11,2.2857142857142856,1,1.2420000000000044
20170412,4,12,2.4285714285714284,2,0.5409999999999968
20170413,4,13,2.5714285714285716,3,0.11099999999999
20170414,4,14,2.7142857142857144,4,0.4449999999999932
20170417,4,17,3.142857142857143,0,0.3299999999999983
20170418,4,18,3.2857142857142856,1,0.4890000000000043
20170419,4,19,3.4285714285714284,2,0.4029999999999916
20170420,4,20,3.5714285714285716,3,0.4719999999999942
20170421,4,21,3.7142857142857144,4,0.23399999999999466
20170424,4,24,4.142857142857143,0,0.6230000000000047
20170425,4,25,4.285714285714286,1,1.3859999999999957
20170426,4,26,4.428571428571429,2,0.05499999999999261
20170427,4,27,4.571428571428571,3,0.1490000000000009
20170428,4,28,4.714285714285714,4,0.2530000000000001
20170501,5,1,0.8571428571428571,0,0.33899999999999864
20170502,5,2,1.2857142857142858,1,0.2430000000000092
20170503,5,3,1.4285714285714286,2,0.6300000000000097
20170504,5,4,1.5714285714285714,3,0.3100000000000023
20170505,5,5,1.7142857142857142,4,0.125
20170508,5,8,2.142857142857143,0,0.7060000000000031
20170509,5,9,2.2857142857142856,1,0.7379999999999995
20170510,5,10,2.4285714285714284,2,0.3329999999999984
20170511,5,11,2.5714285714285716,3,0.4210000000000065
20170512,5,12,2.7142857142857144,4,0.5490000000000066
20170515,5,15,3.142857142857143,0,0.4690000000000083
20170516,5,16,3.2857142857142856,1,0.6949999999999932
20170517,5,17,3.4285714285714284,2,2.096999999999994
20170518,5,18,3.5714285714285716,3,0.38700000000000045
20170519,5,19,3.7142857142857144,4,0.18099999999999739
20170522,5,22,4.142857142857143,0,0.054000000000002046
20170523,5,23,4.285714285714286,1,0.590999999999994
20170524,5,24,4.428571428571429,2,0.20900000000000318
20170525,5,25,4.571428571428571,3,0.18500000000000227
20170526,5,26,4.714285714285714,4,0.5349999999999966
20170529,5,29,5.142857142857143,0,0.03900000000000148
20170530,5,30,5.285714285714286,1,0.5409999999999968
20170531,5,31,5.428571428571429,2,0.014000000000010004
20170601,6,1,1.5714285714285714,3,0.5960000000000036
20170602,6,2,1.7142857142857142,4,0.9249999999999972
20170605,6,5,2.142857142857143,0,0.0660000000000025
20170606,6,6,2.2857142857142856,1,1.0589999999999975
20170607,6,7,2.4285714285714284,2,0.36599999999999966
20170608,6,8,2.5714285714285716,3,0.19699999999998852
20170609,6,9,2.7142857142857144,4,0.23399999999999466
20170612,6,12,3.142857142857143,0,0.35899999999999466
20170613,6,13,3.2857142857142856,1,0.1290000000000049
20170614,6,14,3.4285714285714284,2,0.3429999999999893
20170615,6,15,3.5714285714285716,3,1.266999999999996
20170616,6,16,3.7142857142857144,4,0.08400000000000318
