date,month,day,week,weekday,res
20170102,1,2,1.1428571428571428,0,64868.83996642381
20170103,1,3,1.2857142857142858,1,195331.54952545464
20170104,1,4,1.4285714285714286,2,206130.86949370053
20170105,1,5,1.5714285714285714,3,277338.92946109176
20170106,1,6,1.7142857142857142,4,237265.9894452095
20170109,1,9,2.142857142857143,0,208846.49934934825
20170110,1,10,2.2857142857142856,1,254182.70870224386
20170111,1,11,2.4285714285714284,2,292600.9090869501
20170112,1,12,2.5714285714285716,3,304838.1690114737
20170113,1,13,2.7142857142857144,4,270282.10894194245
20170116,1,16,3.142857142857143,0,187257.04979211086
20170117,1,17,3.2857142857142856,1,298063.12882615626
20170118,1,18,3.4285714285714284,2,262431.668826066
20170119,1,19,3.5714285714285716,3,298105.2987405807
20170120,1,20,3.7142857142857144,4,285698.228938438
20170123,1,23,4.142857142857143,0,279920.6991528645
20170124,1,24,4.285714285714286,1,236398.28930240124
20170125,1,25,4.428571428571429,2,247229.50878616425
20170126,1,26,4.571428571428571,3,251692.91852178425
20170127,1,27,4.714285714285714,4,228475.04866924888
20170130,1,30,5.142857142857143,0,234074.2789360061
20170131,1,31,5.285714285714286,1,297754.1985426098
20170201,2,1,1.4285714285714286,2,263689.14863648266
20170202,2,2,1.5714285714285714,3,256365.2787952349
20170203,2,3,1.7142857142857142,4,237807.6790574193
20170206,2,6,2.142857142857143,0,222664.89888474342
20170207,2,7,2.2857142857142856,1,216858.9288795963
20170208,2,8,2.4285714285714284,2,217037.1989436373
20170209,2,9,2.5714285714285716,3,204314.68894342333
20170210,2,10,2.7142857142857144,4,215709.3690450564
20170213,2,13,3.142857142857143,0,191706.03939807415
20170214,2,14,3.2857142857142856,1,203175.89949930462
20170215,2,15,3.4285714285714284,2,210781.37928073108
20170216,2,16,3.5714285714285716,3,225054.69923523813
20170217,2,17,3.7142857142857144,4,197005.13929817078
20170220,2,20,4.142857142857143,0,120346.80966922641
20170221,2,21,4.285714285714286,1,164642.72930967066
20170222,2,22,4.428571428571429,2,201295.02917346358
20170223,2,23,4.571428571428571,3,174362.4596829936
20170224,2,24,4.714285714285714,4,177200.07973748446
20170227,2,27,5.142857142857143,0,175700.7797217965
20170228,2,28,5.285714285714286,1,202978.04925065488
20170301,3,1,1.4285714285714286,2,237160.5796393529
20170302,3,2,1.5714285714285714,3,187099.41964295504
20170303,3,3,1.7142857142857142,4,199634.74957930297
20170306,3,6,1.1428571428571428,0,157295.359726578
20170307,3,7,1.2857142857142858,1,141718.2195328474
20170308,3,8,1.4285714285714286,2,181022.14948487282
20170309,3,9,1.5714285714285714,3,205021.39941096306
20170310,3,10,1.7142857142857142,4,195056.75941128284
20170313,3,13,2.142857142857143,0,151119.40958169106
20170314,3,14,2.2857142857142856,1,160280.13940954208
20170315,3,15,2.4285714285714284,2,181316.71949887282
20170316,3,16,2.5714285714285716,3,210536.09928238392
20170317,3,17,2.7142857142857144,4,151162.09957623482
20170320,3,20,3.142857142857143,0,139157.75958596915
20170321,3,21,3.2857142857142856,1,210799.59924199435
20170322,3,22,3.4285714285714284,2,240025.26917643845
20170323,3,23,3.5714285714285716,3,249188.84888079014
20170324,3,24,3.7142857142857144,4,204393.7591435984
20170327,3,27,4.142857142857143,0,205768.63919886205
20170328,3,28,4.285714285714286,1,185311.5591692552
20170329,3,29,4.428571428571429,2,188141.7490097806
20170330,3,30,4.571428571428571,3,189798.43922066689
20170331,3,31,4.714285714285714,4,200349.43911200762
20170403,4,3,1.1428571428571428,0,184967.02885351327
20170404,4,4,1.2857142857142858,1,197838.78853805363
20170405,4,5,1.4285714285714286,2,210636.12896794823
20170406,4,6,1.5714285714285714,3,226603.08870099485
20170407,4,7,1.7142857142857142,4,267121.10856984556
20170410,4,10,2.142857142857143,0,168596.76915880293
20170411,4,11,2.2857142857142856,1,208073.29902324078
20170412,4,12,2.4285714285714284,2,238363.8689416498
20170413,4,13,2.5714285714285716,3,204705.54926718766
20170414,4,14,2.7142857142857144,4,84883.54990074039
20170417,4,17,3.142857142857143,0,133751.9796059355
20170418,4,18,3.2857142857142856,1,192238.2594392896
20170419,4,19,3.4285714285714284,2,180825.88936706632
20170420,4,20,3.5714285714285716,3,180892.81937073922
20170421,4,21,3.7142857142857144,4,166806.9794556722
20170424,4,24,4.142857142857143,0,204878.99940145016
20170425,4,25,4.285714285714286,1,185246.2193985656
20170426,4,26,4.428571428571429,2,226953.9191754833
20170427,4,27,4.571428571428571,3,192344.4392927289
20170428,4,28,4.714285714285714,4,169711.78940526393
20170501,5,1,0.8571428571428571,0,112794.19970203936
20170502,5,2,1.2857142857142858,1,144617.68956279755
20170503,5,3,1.4285714285714286,2,133031.21950407323
20170504,5,4,1.5714285714285714,3,164738.20943284035
20170505,5,5,1.7142857142857142,4,165407.58945187926
20170508,5,8,2.142857142857143,0,170135.90943588314
20170509,5,9,2.2857142857142856,1,158702.5594169125
20170510,5,10,2.4285714285714284,2,173405.50952432305
20170511,5,11,2.5714285714285716,3,161562.99949622154
20170512,5,12,2.7142857142857144,4,153456.03959905356
20170515,5,15,3.142857142857143,0,139568.66962365806
20170516,5,16,3.2857142857142856,1,155886.2298604101
20170517,5,17,3.4285714285714284,2,224413.0397285819
20170518,5,18,3.5714285714285716,3,270933.4793990329
20170519,5,19,3.7142857142857144,4,196740.38978275657
20170522,5,22,4.142857142857143,0,154809.58982087672
20170523,5,23,4.285714285714286,1,200615.78972122073
20170524,5,24,4.428571428571429,2,186220.22982434926
20170525,5,25,4.571428571428571,3,157564.9497789219
20170526,5,26,4.714285714285714,4,157187.54969872534
20170529,5,29,5.142857142857143,0,85730.07987448572
20170530,5,30,5.285714285714286,1,148075.6197476983
20170531,5,31,5.428571428571429,2,159914.0797414407
20170601,6,1,1.5714285714285714,3,145754.58978116515
20170602,6,2,1.7142857142857142,4,147757.34970894456
20170605,6,5,2.142857142857143,0,105942.5396861136
20170606,6,6,2.2857142857142856,1,156410.70970655233
20170607,6,7,2.4285714285714284,2,151885.9996489212
20170608,6,8,2.5714285714285716,3,157525.08957484365
20170609,6,9,2.7142857142857144,4,169829.20959125462
20170612,6,12,3.142857142857143,0,141434.09964004904
20170613,6,13,3.2857142857142856,1,124818.59963580965
20170614,6,14,3.4285714285714284,2,177161.57947140935
20170615,6,15,3.5714285714285716,3,181517.24941389266
20170616,6,16,3.7142857142857144,4,163269.1395430267
20170619,6,19,4.142857142857143,0,137437.39957178384
20170620,6,20,4.285714285714286,1,154950.46950016913
20170621,6,21,4.428571428571429,2,176265.76968783882
20170622,6,22,4.571428571428571,3,174989.8595289886
20170623,6,23,4.714285714285714,4,134178.72964566946
20170626,6,26,5.142857142857143,0,134941.0095648989
20170627,6,27,5.285714285714286,1,169692.37948467582
20170628,6,28,5.428571428571429,2,197553.29936303946
20170629,6,29,5.571428571428571,3,206598.8493980169
20170630,6,30,5.714285714285714,4,180209.70942755046
20170703,7,3,1.1428571428571428,0,138735.1195833385
20170704,7,4,1.2857142857142858,1,135413.90977534652
20170705,7,5,1.4285714285714286,2,162222.38960337642
20170706,7,6,1.5714285714285714,3,162323.09965031597
20170707,7,7,1.7142857142857142,4,161561.30968911946
20170710,7,10,2.142857142857143,0,120468.10979771616
20170711,7,11,2.2857142857142856,1,154430.56965751198
20170712,7,12,2.4285714285714284,2,350199.1995457113
20170713,7,13,2.5714285714285716,3,164747.77963869277
20170714,7,14,2.7142857142857144,4,172761.5096862018
20170717,7,17,3.142857142857143,0,146645.6997858584
20170718,7,18,3.2857142857142856,1,199079.67940941453
20170719,7,19,3.4285714285714284,2,205383.8297003508
20170720,7,20,3.5714285714285716,3,200036.13951310515
20170721,7,21,3.7142857142857144,4,160882.62963552028
20170724,7,24,4.142857142857143,0,157837.9896182567
20170725,7,25,4.285714285714286,1,179663.05936694145
20170726,7,26,4.428571428571429,2,193791.4993312508
