Date,Open,High,Low,Close,Volume
20160104,120.188,120.464,118.703,119.434,145218.539915
20160105,119.437,119.694,118.794,119.059,155806.689971
20160106,119.059,119.165,118.251,118.463,180320.789828
20160107,118.463,118.753,117.328,117.665,206540.319827
20160108,117.665,118.83,117.222,117.222,195838.099958
20160111,117.222,118.025,116.695,117.755,200035.789934
20160112,117.755,118.072,117.227,117.636,197339.959994
20160113,117.631,118.379,117.626,117.668,186555.930022
20160114,117.667,118.279,117.293,118.053,216321.769921
20160115,118.054,118.27,116.508,116.967,228994.060017
20160118,116.679,117.438,116.658,117.307,142575.260228
20160119,117.307,118.114,117.233,117.627,181252.880041
20160120,117.622,117.678,115.974,116.933,236993.110037
20160121,116.931,117.811,116.47,117.687,271910.3901
20160122,117.687,118.877,117.539,118.768,199418.300123
20160125,118.654,118.855,118.172,118.291,173174.08993
20160126,118.291,118.621,117.656,118.411,171914.319972
20160127,118.412,119.066,118.043,118.658,193947.599959
20160128,118.658,118.991,118.414,118.807,187696.309969
20160129,118.808,121.686,118.498,121.12,222894.610137
20160201,121.33,121.487,120.677,120.969,164760.80007
20160202,120.969,121.037,119.836,119.956,178759.320006
20160203,119.955,120.043,117.052,117.877,239109.270308
20160204,117.884,118.24,116.527,116.773,237428.270179
20160205,116.776,117.428,116.292,116.817,209616.300159
20160208,116.801,117.525,115.172,115.841,215027.100126
20160209,115.841,115.849,114.209,115.107,275140.920383
20160210,115.104,115.258,113.117,113.319,275400.230312
20160211,113.319,113.588,110.98,112.423,290386.100478
20160212,112.405,113.538,111.657,113.192,264177.850285
20160215,113.397,114.729,113.273,114.562,177909.910246
20160216,114.562,114.876,113.595,114.042,202979.35025
20160217,114.044,114.504,113.374,114.075,199280.07027
20160218,114.083,114.321,113.142,113.225,179866.250213
20160219,113.225,113.375,112.306,112.558,184971.350264
20160222,112.557,113.388,112.424,112.894,162132.84005
20160223,112.894,113.051,111.773,112.096,200865.689847
20160224,112.096,112.264,111.042,112.18,211968.009888
20160225,112.174,113.023,111.895,112.991,216591.659945
20160226,112.991,113.992,112.561,113.98,183267.579998
20160229,113.955,113.983,112.651,112.671,196995.299998
20160301,112.67,114.183,112.158,113.972,193058.179854
20160302,113.979,114.555,113.215,113.458,200786.689905
20160303,113.458,114.268,113.299,113.672,194588.549848
20160304,113.669,114.257,113.121,113.714,213218.569771
20160307,113.92,113.931,113.225,113.43,166049.919977
20160308,113.435,113.516,112.424,112.624,200229.799813
20160309,112.624,113.453,112.228,113.319,186610.149908
20160310,113.32,114.446,112.61,113.162,241869.590004
20160311,113.132,113.917,112.753,113.838,188227.589809
20160314,113.925,114.007,113.506,113.813,140639.269781
20160315,113.812,114.136,112.63,113.111,169235.559725
20160316,113.11,113.817,112.329,112.564,181064.749702
20160317,112.563,112.956,110.666,111.408,224131.019743
20160318,111.41,111.758,110.819,111.664,173492.749849
20160321,111.664,111.933,111.219,111.882,130470.16995
20160322,111.882,112.488,111.379,112.321,177959.599851
20160323,112.32,112.905,112.141,112.451,163813.969949
20160324,112.452,113.006,112.294,112.824,137741.039983
20160325,112.828,113.32,112.747,113.119,56045.6500829
20160328,113.119,113.687,113.011,113.398,85172.7998346
20160329,113.397,113.802,112.611,112.64,150422.339831
20160330,112.639,112.805,112.015,112.445,154415.220135
20160331,112.447,112.66,112.11,112.544,145372.939895
20160401,112.547,112.602,111.59,111.646,172035.439992
20160404,111.643,111.798,111.097,111.316,145573.920078
20160405,111.317,111.351,109.949,110.313,189468.080237
20160406,110.318,110.638,109.342,109.755,161731.630101
20160407,109.753,109.903,107.666,108.392,205094.840015
20160408,108.394,109.097,108.068,108.17,169629.910156
20160411,108.17,108.438,107.628,107.904,179012.770155
20160412,107.903,108.786,107.87,108.461,155005.05021
20160413,108.46,109.405,108.458,109.267,146750.970222
20160414,109.268,109.545,108.898,109.424,136440.730188
20160415,109.424,109.73,108.602,108.713,118822.780137
20160418,108.715,108.988,107.838,108.791,155382.950191
20160419,108.794,109.487,108.745,109.165,146222.700128
20160420,109.166,109.877,108.762,109.774,151435.110155
20160421,109.773,109.896,109.324,109.458,167527.780123
20160422,109.46,111.805,109.259,111.618,187421.030157
20160425,111.619,111.878,110.839,111.185,169810.930141
20160426,111.187,111.474,110.67,111.438,154512.660333
20160427,111.437,111.756,111.027,111.569,156145.630247
20160428,111.57,111.883,107.864,108.016,214394.530266
20160429,108.016,108.199,106.276,106.388,200380.200237
20160502,106.39,106.818,106.138,106.462,170860.190273
20160503,106.462,106.479,105.549,106.45,152082.560345
20160504,106.45,107.456,106.248,106.901,155870.050217
20160505,106.9,107.499,106.803,107.242,111500.900226
20160506,107.237,107.419,106.434,107.144,152067.640322
20160509,107.146,108.6,107.047,108.382,140262.040227
20160510,108.382,109.349,108.273,109.289,143174.660268
20160511,109.294,109.372,108.37,108.467,130168.84028
20160512,108.468,109.395,108.227,109.084,146985.570283
20160513,109.084,109.554,108.513,108.643,166133.230188
20160516,108.642,109.094,108.465,108.961,106144.430246
20160517,108.959,109.651,108.841,109.087,127451.170233
20160518,109.087,110.246,108.722,110.238,154647.450207
20160519,110.24,110.381,109.699,109.962,156785.460201
20160520,109.964,110.588,109.849,110.163,119366.400249
20160523,110.162,110.242,109.111,109.244,127555.160233
20160524,109.245,110.127,109.17,110.001,124021.070072
20160525,109.999,110.448,109.864,110.148,123801.020125
20160526,110.149,110.229,109.416,109.732,133053.300113
20160527,109.731,110.447,109.474,110.415,127065.450058
20160530,110.415,111.446,110.225,111.137,102722.490091
20160531,111.137,111.349,110.501,110.715,145861.700142
20160601,110.713,110.83,109.051,109.505,171809.840067
20160602,109.505,109.596,108.523,108.8,170816.220057
20160603,108.804,109.135,106.548,106.63,194917.440108
20160606,106.633,107.585,106.366,107.571,183453.850218
20160607,107.571,107.903,107.152,107.331,147666.090182
20160608,107.331,107.391,106.594,107.031,144522.910263
20160609,107.033,107.175,106.256,107.076,150200.770214
20160610,107.075,107.257,106.554,106.771,142250.700286
20160613,106.772,107.004,105.732,106.197,183020.170264
20160614,106.199,106.422,105.629,106.142,175447.230205
20160615,106.142,106.395,105.431,106.01,161569.420186
20160616,106.01,106.025,103.55,104.362,221910.060092
20160617,104.362,104.825,104.086,104.215,177510.000149
20160620,104.213,104.842,103.814,103.884,160499.890287
20160621,103.885,105.058,103.583,104.844,164331.500026
20160622,104.84,104.883,104.316,104.501,157728.45988
20160623,104.5,106.038,104.025,105.927,182974.970114
20160624,105.928,106.809,98.955,102.265,270177.900356
20160627,102.262,102.47,101.403,102.068,197079.819893
20160628,102.068,102.841,101.559,102.67,161771.499901
20160629,102.67,102.866,102.173,102.836,149400.269892
20160630,102.834,103.293,102.36,103.284,164322.999837
20160701,103.285,103.39,102.442,102.558,137077.429943
20160704,102.559,102.802,102.424,102.513,115028.639716
20160705,102.513,102.586,101.449,101.672,134233.00964
20160706,101.673,101.764,100.199,101.313,192304.599547
20160707,101.319,101.4,100.597,100.761,148760.429961
20160708,100.763,101.278,99.994,100.467,152787.50003
20160711,100.465,102.88,100.425,102.862,174865.679861
20160712,102.875,104.986,102.45,104.868,227862.169724
20160713,104.873,104.881,103.906,104.427,222126.569784
20160714,104.427,105.937,103.973,105.355,234174.159872
20160715,105.356,106.316,105.048,105.446,207882.790035
20160718,105.445,106.264,104.629,106.166,156724.370051
20160719,106.165,106.533,105.647,106.135,177010.760092
20160720,106.137,107.019,105.828,106.986,355323.609953
20160721,106.985,107.492,105.418,105.739,873920.359419
20160722,105.739,106.401,105.565,106.13,712518.139621
20160725,106.13,106.723,105.74,105.776,581111.900466
20160726,105.776,105.89,103.994,104.643,872653.078484
20160727,104.642,106.545,104.598,105.223,830646.799158
20160728,105.222,105.502,104.48,105.353,693720.928882
20160729,105.353,105.618,101.972,102.037,791671.059258
20160801,102.037,102.683,102.01,102.372,552000.469707
20160802,102.372,102.83,100.679,100.857,701280.648497
20160803,100.857,101.569,100.748,101.188,613419.058924
20160804,101.189,101.667,100.861,101.179,564173.499222
20160805,101.178,102.061,100.872,101.758,529254.659426
20160808,101.759,102.655,101.734,102.437,444906.069277
20160809,102.438,102.529,101.79,101.917,375529.819508
20160810,101.917,101.956,100.967,101.277,424216.009617
20160811,101.277,102.054,101.024,101.862,389654.169334
20160812,101.861,102.272,100.833,101.237,441866.999221
20160815,101.237,101.453,100.87,101.234,384889.179243
20160816,101.234,101.291,99.541,100.268,500379.728872
20160817,100.269,101.164,100.037,100.23,488025.939138
20160818,100.23,100.497,99.644,99.92,523260.058748
20160819,99.92,100.459,99.861,100.132,483243.90845
20160822,100.134,100.931,100.121,100.28,620065.888588
20160823,100.28,100.39,99.941,100.224,600485.9484
20160824,100.224,100.609,100.095,100.455,566963.528238
20160825,100.455,100.615,100.302,100.572,466888.068629
20160826,100.572,101.944,100.062,101.816,538472.888831
20160829,101.818,102.393,101.709,101.904,485454.928889
20160830,101.904,103.135,101.753,103.021,490539.819295
20160831,103.021,103.53,102.86,103.453,542124.318991
20160901,103.454,103.998,103.06,103.217,542935.579196
20160902,103.217,104.32,102.799,104.017,562628.379298
20160905,104.018,104.131,103.147,103.436,432299.649273
20160906,103.436,103.806,101.931,102.025,615152.269272
20160907,102.025,102.129,101.203,101.761,617008.719621
20160908,101.761,102.598,101.411,102.515,646016.189026
20160909,102.515,103.055,101.965,102.686,678723.798957
20160912,102.685,102.712,101.566,101.833,707182.828693
20160913,101.834,102.748,101.418,102.659,657325.359076
20160914,102.659,103.357,102.25,102.437,648323.218819
20160915,102.436,102.755,101.931,102.15,600531.699054
20160916,102.15,102.461,101.741,102.313,563183.549124
20160919,102.314,102.415,101.581,101.837,490446.809177
20160920,101.837,102.062,101.54,101.743,508749.849083
20160921,101.743,102.784,100.348,100.483,763274.676903
20160922,100.485,100.93,100.098,100.797,618851.076824
20160923,100.795,101.244,100.674,101.052,729402.306524
20160926,101.053,101.079,100.248,100.268,608361.987138
20160927,100.268,100.987,100.085,100.348,665872.696909
20160928,100.348,100.818,100.259,100.653,589836.097012
20160929,100.653,101.84,100.646,101.048,739826.836518
20160930,101.049,101.78,100.746,101.404,758527.01618
20161003,101.404,101.657,101.184,101.59,519214.537467
20161004,101.59,102.966,101.568,102.852,781800.685998
20161005,102.852,103.667,102.67,103.577,679116.476299
20161006,103.577,104.161,103.348,104.061,603324.236869
20161007,104.062,104.082,102.858,102.96,672095.316893
20161010,102.96,103.787,102.808,103.652,466662.907985
20161011,103.65,104.071,103.174,103.463,601181.106945
20161012,103.463,104.482,103.278,104.253,540051.837008
20161013,104.255,104.635,103.333,103.611,556424.407432
20161014,103.61,104.475,103.586,104.232,628645.416244
20161017,104.234,104.371,103.788,103.872,531722.196855
20161018,103.875,104.199,103.681,103.849,496440.166799
20161019,103.848,103.948,103.167,103.422,457948.507035
20161020,103.421,104.104,103.343,103.945,494685.006667
20161021,103.945,104.202,103.523,103.826,466265.756989
20161024,103.826,104.321,103.72,104.23,271751.868418
20161025,104.231,104.874,104.115,104.206,143344.049147
20161026,104.206,104.617,104.022,104.489,142226.949081
20161027,104.489,105.349,104.296,105.253,142596.819128
20161028,105.253,105.531,104.469,104.716,165497.868963
20161031,104.716,105.231,104.386,104.873,133783.139248
20161101,104.874,105.116,103.799,104.058,183066.818925
20161102,104.056,104.165,103.019,103.394,214023.76897
20161103,103.392,103.455,102.548,102.916,208372.408955
20161104,102.914,103.353,102.831,102.988,183539.808997
20161107,102.993,104.632,102.974,104.454,175598.309058
20161108,104.457,105.191,104.296,105.145,163968.459045
20161109,105.145,105.888,101.191,105.662,468066.718903
20161110,105.659,106.948,104.962,106.798,331157.688437
20161111,106.797,106.934,106.032,106.635,259525.84863
20161114,106.853,108.542,106.732,108.41,266742.368735
20161115,108.403,109.335,107.77,109.177,242324.278696
20161116,109.174,109.757,108.792,109.065,218543.768977
20161117,109.065,110.175,108.554,110.133,242594.698904
20161118,110.133,110.95,109.799,110.877,237023.979166
20161121,110.918,111.364,110.458,110.799,234326.839088
20161122,110.797,111.356,110.269,111.131,214989.389067
20161123,111.122,112.972,110.854,112.489,209197.308988
20161124,112.489,113.531,112.373,113.28,184590.059074
20161125,113.28,113.898,112.555,113.165,235324.858885
20161128,112.769,112.97,111.359,111.925,250822.928884
20161129,111.926,113.34,111.619,112.373,221282.149105
20161130,112.373,114.54,112.057,114.449,262672.009337
20161201,114.449,114.824,113.834,114.065,245399.08951
20161202,114.065,114.204,113.329,113.464,210793.589498
20161205,113.264,114.775,112.876,113.832,244108.769327
20161206,113.829,114.185,113.501,113.996,182237.39934
20161207,113.992,114.404,113.414,113.747,161609.719437
20161208,113.738,114.376,113.124,114.033,218915.549271
20161209,114.031,115.368,114.007,115.276,180295.309437
20161212,115.406,116.122,114.852,115.018,208297.169285
20161213,115.018,115.475,114.737,115.181,196468.309366
20161214,115.18,117.394,114.771,117.039,218966.919357
20161215,117.025,118.665,117.012,118.163,306529.828808
20161216,118.164,118.427,117.47,117.891,222325.899448
20161219,117.954,117.964,116.547,117.086,199651.009406
20161220,117.079,118.241,116.989,117.842,195403.029553
20161221,117.841,118.067,117.108,117.553,169218.749598
20161222,117.542,117.874,117.268,117.517,156331.059547
20161223,117.517,117.616,117.171,117.296,102905.589933
20161226,117.269,117.378,117.001,117.071,98624.3800689
20161227,117.071,117.616,117.04,117.421,112281.239716
20161228,117.398,117.813,117.055,117.248,127683.799865
20161229,117.248,117.248,116.23,116.534,159096.539769
20161230,116.522,117.194,116.047,116.929,198133.359746
