Date,Open,High,Low,Close,Volume
20170102,116.762,117.665,116.722,117.509,64868.8399664
20170103,117.51,118.604,117.215,117.74,195331.549525
20170104,117.735,118.185,117.055,117.222,206130.869494
20170105,117.222,117.429,115.218,115.345,277338.929461
20170106,115.332,117.18,115.068,116.942,237265.989445
20170109,117.013,117.532,115.959,116.011,208846.499349
20170110,116.01,116.343,115.198,115.77,254182.708702
20170111,115.756,116.87,114.246,115.408,292600.909087
20170112,115.408,115.508,113.757,114.711,304838.169011
20170113,114.711,115.445,114.168,114.43,270282.108942
20170116,114.314,114.471,113.624,114.18,187257.049792
20170117,114.179,114.282,112.604,112.619,298063.128826
20170118,112.616,114.759,112.568,114.631,262431.668826
20170119,114.631,115.621,114.401,114.853,298105.298741
20170120,114.849,115.384,114.211,114.592,285698.228938
20170123,114.254,114.422,112.689,112.701,279920.699153
20170124,112.698,113.893,112.523,113.785,236398.289302
20170125,113.785,113.988,113.037,113.274,247229.508786
20170126,113.256,114.859,113.05,114.514,251692.918522
20170127,114.514,115.376,114.391,115.139,228475.048669
20170130,114.745,114.949,113.453,113.773,234074.278936
20170131,113.773,113.964,112.08,112.797,297754.198543
20170201,112.797,113.952,112.637,113.234,263689.148636
20170202,113.234,113.363,112.053,112.797,256365.278795
20170203,112.797,113.467,112.317,112.551,237807.679057
20170206,112.438,112.775,111.623,111.734,222664.898885
20170207,111.736,112.579,111.594,112.381,216858.92888
20170208,112.387,112.544,111.63,111.93,217037.198944
20170209,111.927,113.348,111.737,113.249,204314.688943
20170210,113.249,113.857,112.86,113.169,215709.369045
20170213,113.512,114.167,113.438,113.729,191706.039398
20170214,113.729,114.499,113.25,114.254,203175.899499
20170215,114.254,114.957,113.865,114.162,210781.379281
20170216,114.162,114.307,113.082,113.235,225054.699235
20170217,113.228,113.502,112.618,112.793,197005.139298
20170220,112.88,113.237,112.792,113.08,120346.809669
20170221,113.08,113.778,113.077,113.671,164642.72931
20170222,113.679,113.731,112.907,113.3,201295.029173
20170223,113.3,113.455,112.552,112.606,174362.459683
20170224,112.617,112.956,111.936,112.083,177200.079737
20170227,112.127,112.841,111.919,112.691,175700.779722
20170228,112.686,112.899,111.69,112.77,202978.049251
20170301,112.762,114.048,112.732,113.721,237160.579639
20170302,113.723,114.593,113.684,114.402,187099.419643
20170303,114.409,114.748,113.81,113.995,199634.749579
20170306,113.883,114.133,113.559,113.882,157295.359727
20170307,113.883,114.154,113.73,113.981,141718.219533
20170308,113.979,114.75,113.609,114.332,181022.149485
20170309,114.326,114.999,114.308,114.937,205021.399411
20170313,114.937,115.504,114.483,114.879,348955.788991
20170314,114.88,115.193,114.519,114.74,161230.949393
20170315,114.743,114.884,113.175,113.369,184883.509493
20170316,113.37,113.547,112.905,113.321,206570.069296
20170317,113.311,113.494,112.564,112.663,152129.289585
20170320,112.662,112.898,112.459,112.545,137283.01959
20170321,112.545,112.866,111.541,111.708,213385.889221
20170322,111.702,111.794,110.733,111.161,237982.649186
20170323,111.159,111.579,110.628,110.931,249671.068881
20170324,110.929,111.481,110.627,111.303,207335.119123
20170327,110.897,111.046,110.109,110.662,202839.05922
20170328,110.657,111.201,110.179,111.133,185001.459165
20170329,111.14,111.315,110.717,111.036,189152.479006
20170330,111.033,111.943,110.942,111.925,190830.889212
20170331,111.925,112.197,111.242,111.379,201576.089117
20170403,111.364,111.589,110.856,110.895,182757.768843
20170404,110.883,110.93,110.27,110.734,196374.978555
20170405,110.728,111.454,110.538,110.701,214589.198945
20170406,110.698,111.141,110.29,110.799,224083.668715
20170407,110.798,111.366,110.133,111.068,267453.368572
20170410,111.034,111.58,110.807,110.939,170187.639157
20170411,110.935,110.935,109.604,109.615,205351.73902
20170412,109.612,109.867,108.96,109.031,242740.248937
20170413,109.013,109.394,108.725,109.079,201447.649285
20170414,109.068,109.224,108.548,108.567,83072.6599067
20170417,108.696,109.052,108.132,108.903,134708.949597
20170418,108.899,109.219,108.322,108.411,192297.789446
20170419,108.408,109.181,108.381,108.861,179595.519371
20170420,108.855,109.487,108.719,109.317,181442.059365
20170421,109.315,109.423,108.881,109.072,169605.459446
20170424,110.521,110.531,109.66,109.757,202899.139405
20170425,109.751,111.187,109.594,111.077,184993.899401
20170426,111.076,111.778,110.873,111.052,228960.619172
20170427,111.045,111.599,111.015,111.251,191899.46929
20170501,111.248,111.928,111.071,111.826,280927.859125
20170502,111.818,112.304,111.78,111.982,144240.20955
20170503,111.972,112.775,111.964,112.737,133523.209507
20170504,112.737,113.049,112.318,112.457,165775.249426
20170505,112.448,112.804,112.088,112.686,166735.719445
20170508,112.912,113.295,112.396,113.255,168142.409445
20170509,113.252,114.328,113.134,113.97,162038.949413
20170510,113.971,114.37,113.626,114.266,169832.42954
20170511,114.266,114.367,113.458,113.853,160859.829488
20170512,113.853,113.952,113.199,113.342,154277.249608
20170515,113.132,113.851,113.123,113.775,138562.839616
20170516,113.777,113.786,112.931,113.113,155860.149874
20170517,113.113,113.126,110.79,110.803,227316.079707
20170518,110.803,111.739,110.237,111.477,269666.779406
20170519,111.472,111.697,111.041,111.247,196388.209782
20170522,110.981,111.606,110.932,111.297,153946.379831
20170523,111.297,111.859,110.862,111.765,201379.579709
20170524,111.765,112.127,111.48,111.493,187022.18983
20170525,111.493,111.951,111.482,111.834,164101.609729
20170526,111.834,111.848,110.878,111.312,150308.729753
20170529,111.205,111.469,111.166,111.246,90113.5498663
20170530,111.246,111.318,110.665,110.831,143098.91975
20170531,110.831,111.226,110.484,110.779,160281.199748
20170601,110.779,111.482,110.647,111.353,145282.26976
20170602,111.355,111.711,110.331,110.37,147598.249721
20170605,110.341,110.731,110.309,110.453,105471.399701
20170606,110.453,110.527,109.227,109.411,157422.929701
20170607,109.406,109.882,109.116,109.818,151422.029642
20170608,109.812,110.384,109.38,109.971,157154.649581
20170609,109.967,110.81,109.729,110.329,170106.389591
20170612,110.298,110.439,109.633,109.937,141245.559641
20170613,109.937,110.271,109.785,110.065,124386.819625
20170614,110.057,110.342,108.814,109.559,179620.009465
20170615,109.559,110.978,109.271,110.939,179032.249429
20170616,110.939,111.417,110.646,110.857,164187.49955
20170619,110.869,111.603,110.731,111.526,136792.059558
20170620,111.526,111.787,111.308,111.461,155378.269497
20170621,111.461,111.739,111.068,111.386,177747.699687
20170622,111.386,111.446,110.95,111.32,173919.019537
20170623,111.32,111.43,111.155,111.264,133662.219648
20170626,111.103,111.945,111.103,111.851,134148.729569
20170627,111.851,112.465,111.461,112.348,171882.609471
20170628,112.348,112.415,111.83,112.283,197043.809368
20170629,112.28,112.925,111.812,112.17,206018.079396
20170630,112.17,112.606,111.733,112.352,182062.369417
20170703,112.058,113.471,112.058,113.376,137027.669596
20170704,113.37,113.458,112.74,113.277,135809.759773
20170705,113.274,113.686,112.825,113.255,162671.859605
20170706,113.255,113.469,112.886,113.219,160964.279658
20170707,113.219,114.179,113.105,113.894,159770.36969
20170710,113.863,114.301,113.858,114.035,122813.919791
20170711,114.028,114.494,113.718,113.931,207667.899567
20170712,113.926,113.967,112.926,113.152,295963.869634
20170713,113.153,113.527,112.86,113.276,165698.499643
20170714,113.276,113.576,112.26,112.519,173289.959696
