bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLBND0,sLBND1,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
30,0,5,15,13,16,10,10,15,10,30,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_10_15_10_30,1.46,12.94,1.19,29,27.0,27.0
30,0,5,15,13,16,10,12,20,10,40,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_12_20_10_40,0.16,15.86,0.08,29,-9.0,-9.0
30,0,5,15,13,16,10,12,20,10,30,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_12_20_10_30,0.14,15.9,0.07,29,-10.0,-10.0
30,0,5,15,13,16,10,8,15,10,30,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_8_15_10_30,0.68,12.05,0.66,29,5.0,5.0
30,0,5,15,13,16,10,10,25,10,30,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_10_25_10_30,0.48,16.07,0.28,29,0.0,0.0
30,0,5,15,13,16,10,8,20,10,40,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_8_20_10_40,0.18,13.41,0.15,29,-9.0,-9.0
30,0,5,15,13,16,10,8,25,10,40,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_8_25_10_40,0.38,14.25,0.26,29,-3.0,-3.0
30,0,5,30,10,13,10,10,20,10,40,2017,2017-06-02 17:41:00,30_0_5_30_10_13_10_10_20_10_40,1.09,14.53,0.55,223,131.0,131.0
30,0,5,30,10,13,10,10,20,10,30,2017,2017-06-02 17:41:00,30_0_5_30_10_13_10_10_20_10_30,0.99,14.58,0.51,223,109.0,109.0
30,0,14,45,11,20,10,17,7,10,30,2017,2017-06-02 19:44:00,30_0_14_45_11_20_10_17_7_10_30,0.9,13.14,0.7,568,227.0,227.0
30,0,5,15,10,13,10,10,20,10,40,2017,2017-06-02 12:20:00,30_0_5_15_10_13_10_10_20_10_40,1.47,14.14,0.84,109,105.0,105.0
30,0,5,15,10,13,10,10,15,10,40,2017,2017-06-02 12:20:00,30_0_5_15_10_13_10_10_15_10_40,1.41,12.85,0.96,109,99.0,99.0
30,0,5,15,10,13,10,10,20,10,30,2017,2017-06-02 12:20:00,30_0_5_15_10_13_10_10_20_10_30,1.42,14.08,0.83,109,100.0,100.0
30,0,5,15,10,13,10,10,15,10,50,2017,2017-06-02 12:20:00,30_0_5_15_10_13_10_10_15_10_50,1.42,12.87,0.96,109,100.0,100.0
30,0,5,15,13,16,10,12,15,10,30,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_12_15_10_30,1.1,14.12,0.7,29,17.0,17.0
30,0,5,15,13,16,10,8,20,10,30,2017,2017-05-29 00:34:00,30_0_5_15_13_16_10_8_20_10_30,0.13,13.43,0.1,29,-10.0,-10.0
30,0,5,15,10,13,10,10,15,10,30,2017,2017-06-02 12:20:00,30_0_5_15_10_13_10_10_15_10_30,1.37,12.83,0.95,109,94.0,94.0
30,0,10,30,10,13,10,12,20,10,30,2017,2017-06-02 17:41:00,30_0_10_30_10_13_10_12_20_10_30,1.06,15.7,0.56,386,216.0,216.0
30,0,10,15,13,16,10,10,15,10,40,2017,2017-06-02 15:56:00,30_0_10_15_13_16_10_10_15_10_40,0.98,13.27,1.01,194,93.0,93.0
