bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLBND0,sLBND1,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
30.0,0.0,4.0,30.0,10.0,14.0,10.0,30.0,30.0,10.0,30.0,30.0,2017.0,2017-06-02 12:17:00,30_0_4_30_10_14_10_30_30_10_30_30,0.26,7.4,0.52,91.0,-21.0,-21.0
30.0,0.0,10.0,30.0,10.0,14.0,10.0,12.0,30.0,10.0,40.0,120.0,2017.0,2017-06-02 17:41:00,30_0_10_30_10_14_10_12_30_10_40_120,0.75,14.5,0.58,566.0,141.0,141.0
30.0,0.0,5.0,30.0,10.0,13.0,10.0,8.0,30.0,10.0,50.0,180.0,2017.0,2017-06-02 17:41:00,30_0_5_30_10_13_10_8_30_10_50_180,0.81,12.84,0.57,223.0,69.0,69.0
30.0,0.0,5.0,20.0,10.0,13.0,10.0,8.0,25.0,10.0,40.0,180.0,2017.0,2017-06-02 17:39:00,30_0_5_20_10_13_10_8_25_10_40_180,1.05,12.51,0.81,152.0,83.0,83.0
10.0,0.0,10.0,15.0,7.0,10.0,10.0,8.0,25.0,10.0,40.0,120.0,2017.0,2017-06-02 17:59:00,10_0_10_15_7_10_10_8_25_10_40_120,0.79,12.06,0.82,762.0,220.0,220.0
30.0,0.0,5.0,25.0,10.0,13.0,10.0,10.0,30.0,10.0,30.0,180.0,2017.0,2017-06-02 17:44:00,30_0_5_25_10_13_10_10_30_10_30_180,1.08,13.79,0.68,190.0,110.0,110.0
30.0,0.0,5.0,20.0,10.0,13.0,10.0,12.0,25.0,10.0,50.0,180.0,2017.0,2017-06-02 17:39:00,30_0_5_20_10_13_10_12_25_10_50_180,1.48,14.43,0.87,152.0,148.0,148.0
30.0,0.0,10.0,15.0,7.0,10.0,10.0,8.0,25.0,10.0,40.0,120.0,2017.0,2017-06-02 17:59:00,30_0_10_15_7_10_10_8_25_10_40_120,0.79,12.05,0.82,753.0,218.0,218.0
30.0,0.0,5.0,30.0,10.0,13.0,10.0,12.0,25.0,10.0,50.0,180.0,2017.0,2017-06-02 17:41:00,30_0_5_30_10_13_10_12_25_10_50_180,1.22,14.39,0.68,223.0,160.0,160.0
30.0,0.0,10.0,15.0,5.0,7.0,10.0,10.0,25.0,8.0,40.0,180.0,2017.0,2017-06-02 20:02:00,30_0_10_15_5_7_10_10_25_8_40_180,0.57,13.88,0.38,482.0,33.0,33.0
4.0,0.0,9.0,24.0,13.0,15.0,10.0,11.0,28.0,8.0,36.0,61.0,2017.0,2017-06-02 15:57:00,4_0_9_24_13_15_10_11_28_8_36_61,0.79,12.65,1.07,330.0,95.0,95.0
