bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
30,0,5,30,10,12,10,10,60,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_10_60,1.02,9.99,1.26,212,110.0,110.0
30,0,10,30,10,12,10,15,60,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_15_60,1.1,12.22,1.25,540,324.0,324.0
30,0,5,30,10,12,10,15,60,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_15_60,1.15,10.82,1.26,212,137.0,137.0
30,0,10,30,10,12,10,20,120,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_20_120,0.91,17.02,0.53,427,175.0,175.0
30,0,10,30,10,12,10,10,120,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_10_120,0.98,14.03,0.79,540,259.0,-43.0
30,0,10,30,10,12,10,10,120,2016,2016-10-31 18:23:00,30_0_10_30_10_12_10_10_120,0.14,15.6,0.12,544,-195.0,-43.0
30,0,10,30,10,12,10,15,120,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_15_120,0.99,15.87,0.64,476,233.0,233.0
30,0,5,30,10,12,10,20,120,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_20_120,1.17,15.48,0.67,212,142.0,142.0
30,0,5,30,10,12,10,10,120,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_10_120,0.94,13.12,0.7,212,93.0,93.0
30,0,10,30,10,12,10,10,60,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_10_60,0.87,11.17,1.15,540,199.0,199.0
30,0,5,30,10,12,10,15,120,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_15_120,1.16,14.65,0.72,212,139.0,139.0
30,0,5,30,10,12,10,20,60,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_20_60,1.14,11.14,1.2,212,135.0,135.0
30,0,10,30,10,12,10,20,60,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_20_60,1.03,12.72,1.1,540,286.0,16.0
30,0,10,30,10,12,10,20,60,2016,2016-12-30 21:59:00,30_0_10_30_10_12_10_20_60,0.0,0.0,0.0,0,0.0,0.0
30,0,8,30,10,12,10,27,165,2017,2016-12-30 21:59:00,30_0_8_30_10_12_10_27_165,0.0,0.0,0.0,0,0.0,0.0
30,0,10,30,10,12,10,15,60,2016,2016-12-30 21:59:00,30_0_10_30_10_12_10_15_60,0.0,0.0,0.0,0,0.0,0.0
