bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
30,0,9,30,12,14,10,30,2017,2017-06-02 17:42:00,30_0_9_30_12_14_10_30,0.8,10.01,1.61,366,109,109
30,0,20,30,14,16,10,70,2017,2017-06-02 16:00:00,30_0_20_30_14_16_10_70,0.64,17.56,0.56,343,48,48
30,0,8,30,12,14,10,120,2017,2017-06-02 17:42:00,30_0_8_30_12_14_10_120,1.18,19.28,0.6,329,223,222
30,0,10,30,12,14,10,120,2017,2017-06-02 17:42:00,30_0_10_30_12_14_10_120,0.95,20.39,0.48,372,167,167
30,0,5,30,12,14,10,60,2017,2017-06-02 17:42:00,30_0_5_30_12_14_10_60,1.85,11.94,1.87,124,167,167
30,0,6,30,12,14,10,60,2017,2017-06-02 17:42:00,30_0_6_30_12_14_10_60,1.57,12.55,1.58,203,217,217
30,0,9,30,12,14,10,120,2017,2017-06-02 17:42:00,30_0_9_30_12_14_10_120,1.01,20.1,0.52,366,186,186
30,0,8,30,12,14,10,30,2017,2017-06-02 17:42:00,30_0_8_30_12_14_10_30,0.9,9.77,1.82,329,131,131
30,0,9,30,14,18,10,25,2017,2017-06-02 16:00:00,30_0_9_30_14_18_10_25,0.61,10.05,1.47,281,30,30
30,0,7,30,12,14,10,30,2017,2017-06-02 17:42:00,30_0_7_30_12_14_10_30,0.83,9.34,1.67,268,88,88
30,0,10,30,12,14,10,30,2017,2017-06-02 17:42:00,30_0_10_30_12_14_10_30,0.83,10.46,1.67,395,130,130
30,0,7,30,12,14,10,60,2017,2017-06-02 17:42:00,30_0_7_30_12_14_10_60,1.19,13.27,1.2,268,184,184
30,0,10,30,12,14,10,60,2017,2017-06-02 17:42:00,30_0_10_30_12_14_10_60,1.12,14.49,1.13,395,244,244
30,0,10,30,10,12,10,60,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_60,1.17,13.9,1.18,540,361,361
30,0,9,30,12,14,10,60,2017,2017-06-02 17:42:00,30_0_9_30_12_14_10_60,1.19,14.11,1.21,366,252,252
30,0,12,20,10,15,10,107,2017,2017-06-02 17:39:00,30_0_12_20_10_15_10_107,1.1,19.97,0.63,417,250,249
60,0,12,30,10,15,10,107,2017,2017-06-02 17:41:00,60_0_12_30_10_15_10_107,0.84,18.74,0.48,416,141,141
30,0,15,30,8,15,10,5,2017,2017-06-02 19:29:00,30_0_15_30_8_15_10_5,-0.07,4.23,-0.81,908,-517,-517
30,0,8,30,12,14,10,60,2017,2017-06-02 17:42:00,30_0_8_30_12_14_10_60,1.27,13.64,1.28,329,253,253
50,0,20,30,14,16,10,70,2017,2017-06-02 16:00:00,50_0_20_30_14_16_10_70,0.66,17.37,0.58,335,53,53
30,0,5,30,12,14,10,30,2017,2017-06-02 17:42:00,30_0_5_30_12_14_10_30,1.19,8.41,2.39,124,85,85
30,0,15,30,9,14,10,109,2017,2017-06-02 17:40:00,30_0_15_30_9_14_10_109,0.64,18.93,0.36,409,57,57
30,0,6,30,12,14,10,30,2017,2017-06-02 17:42:00,30_0_6_30_12_14_10_30,1.04,8.99,2.1,203,109,109
30,0,6,30,12,14,10,120,2017,2017-06-02 17:42:00,30_0_6_30_12_14_10_120,1.23,17.77,0.62,203,148,148
30,0,10,30,10,12,10,120,2017,2017-06-02 17:41:00,30_0_10_30_10_12_10_120,1.0,19.45,0.51,371,185,185
30,0,5,30,10,12,10,60,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_60,1.1,11.52,1.11,212,127,127
30,0,5,30,12,14,10,120,2017,2017-06-02 17:42:00,30_0_5_30_12_14_10_120,2.48,17.59,1.27,124,245,245
30,0,5,30,10,12,10,120,2017,2017-06-02 17:41:00,30_0_5_30_10_12_10_120,1.26,16.81,0.65,212,161,161
50,0,12,30,10,15,10,107,2017,2017-06-02 17:41:00,50_0_12_30_10_15_10_107,1.0,18.84,0.57,416,208,207
30,0,8,30,15,17,10,12,2017,2017-06-02 16:00:00,30_0_8_30_15_17_10_12,0.23,6.67,1.15,177,-47,-47
40,0,12,30,10,15,10,107,2017,2017-06-02 17:41:00,40_0_12_30_10_15_10_107,0.9,18.95,0.51,416,166,166
30,0,7,30,12,14,10,120,2017,2017-06-02 17:42:00,30_0_7_30_12_14_10_120,0.91,18.49,0.47,268,109,109
