bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLBND0,sLBND1,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
15,10,12,10,20,20,10,50,2017,2017-06-02 15:49:00,15_10_12_10_20_20_10_50,0.97,20.31,0.37,278,130,130
25,10,12,10,20,20,10,30,2017,2017-05-25 14:30:00,25_10_12_10_20_20_10_30,0.91,20.3,0.32,256,104,104
20,10,12,10,16,20,10,40,2017,2017-06-02 17:39:00,20_10_12_10_16_20_10_40,1.0,18.21,0.44,323,161,161
25,12,14,10,20,20,10,50,2017,2017-06-02 15:59:00,25_12_14_10_20_20_10_50,0.78,20.47,0.3,276,77,77
15,12,14,10,16,20,10,40,2017,2017-06-02 15:54:00,15_12_14_10_16_20_10_40,1.26,18.17,0.66,309,234,234
20,12,14,10,20,20,10,50,2017,2017-06-02 15:50:00,20_12_14_10_20_20_10_50,0.91,20.35,0.37,294,120,120
25,10,12,10,14,20,10,30,2017,2017-06-02 17:44:00,25_10_12_10_14_20_10_30,0.75,17.16,0.36,347,86,86
25,10,12,10,16,20,10,50,2017,2017-06-02 17:44:00,25_10_12_10_16_20_10_50,1.04,18.23,0.43,299,161,161
25,12,14,10,18,20,10,50,2017,2017-06-02 15:59:00,25_12_14_10_18_20_10_50,0.82,19.44,0.34,303,96,96
20,10,12,10,20,20,10,30,2017,2017-06-02 17:39:00,20_10_12_10_20_20_10_30,0.77,20.26,0.28,266,71,71
15,10,12,10,18,20,10,30,2017,2017-06-02 15:49:00,15_10_12_10_18_20_10_30,1.02,19.2,0.44,314,163,163
25,12,14,10,14,20,10,50,2017,2017-06-02 15:59:00,25_12_14_10_14_20_10_50,1.01,17.0,0.54,389,198,198
15,5,7,10,10,20,8,40,2017,2017-06-02 20:02:00,15_5_7_10_10_20_8_40,0.67,14.32,0.38,413,70,70
25,10,12,10,16,20,10,40,2017,2017-06-02 17:44:00,25_10_12_10_16_20_10_40,1.02,18.23,0.42,300,156,156
20,10,12,10,16,20,10,30,2017,2017-06-02 17:39:00,20_10_12_10_16_20_10_30,0.9,18.24,0.4,328,131,131
20,12,14,10,14,20,10,50,2017,2017-06-02 15:50:00,20_12_14_10_14_20_10_50,0.81,16.93,0.45,364,112,112
20,12,14,10,18,20,10,50,2017,2017-06-02 15:50:00,20_12_14_10_18_20_10_50,0.97,19.34,0.42,319,149,149
25,12,14,10,16,20,10,30,2017,2017-06-02 15:59:00,25_12_14_10_16_20_10_30,0.81,18.41,0.38,343,106,106
25,12,14,10,16,20,10,50,2017,2017-06-02 15:59:00,25_12_14_10_16_20_10_50,0.93,18.41,0.43,337,144,144
15,12,14,10,18,20,10,30,2017,2017-06-02 15:54:00,15_12_14_10_18_20_10_30,1.16,19.24,0.56,309,203,203
15,5,7,10,8,20,8,40,2017,2017-06-02 20:02:00,15_5_7_10_8_20_8_40,0.59,12.86,0.41,503,45,45
20,10,12,10,14,20,10,40,2017,2017-06-02 17:39:00,20_10_12_10_14_20_10_40,0.84,17.02,0.42,365,124,124
20,10,12,10,16,20,10,50,2017,2017-06-02 17:39:00,20_10_12_10_16_20_10_50,1.02,18.2,0.45,323,167,167
20,10,12,10,20,20,10,40,2017,2017-06-02 17:39:00,20_10_12_10_20_20_10_40,0.86,20.25,0.31,264,95,95
15,5,7,10,8,25,8,40,2017,2017-06-02 20:02:00,15_5_7_10_8_25_8_40,0.49,14.18,0.29,427,-4,-4
25,12,14,10,16,20,10,40,2017,2017-06-02 15:59:00,25_12_14_10_16_20_10_40,0.95,18.33,0.44,339,152,152
25,12,14,10,14,20,10,30,2017,2017-06-02 15:59:00,25_12_14_10_14_20_10_30,0.89,17.02,0.48,397,154,154
20,12,14,10,14,20,10,30,2017,2017-06-02 15:50:00,20_12_14_10_14_20_10_30,0.71,16.96,0.4,364,76,76
15,12,14,10,16,20,10,50,2017,2017-06-02 15:54:00,15_12_14_10_16_20_10_50,1.3,18.15,0.68,309,247,247
20,10,12,10,18,20,10,50,2017,2017-06-02 17:39:00,20_10_12_10_18_20_10_50,0.95,19.25,0.38,289,130,130
20,12,14,10,20,20,10,30,2017,2017-06-02 15:50:00,20_12_14_10_20_20_10_30,0.81,20.3,0.33,299,92,92
20,10,12,10,18,20,10,40,2017,2017-06-02 17:39:00,20_10_12_10_18_20_10_40,0.93,19.24,0.37,290,124,124
15,12,14,10,14,20,10,50,2017,2017-06-02 15:54:00,15_12_14_10_14_20_10_50,1.15,16.94,0.67,309,200,200
20,12,14,10,18,20,10,30,2017,2017-06-02 15:50:00,20_12_14_10_18_20_10_30,0.86,19.33,0.38,324,116,116
20,12,14,10,16,20,10,50,2017,2017-06-02 15:50:00,20_12_14_10_16_20_10_50,0.93,18.17,0.45,353,151,151
15,12,14,10,20,20,10,30,2017,2017-06-02 15:54:00,15_12_14_10_20_20_10_30,1.24,20.36,0.54,309,228,228
20,10,12,10,14,20,10,30,2017,2017-06-02 17:39:00,20_10_12_10_14_20_10_30,0.74,17.04,0.38,371,89,89
15,5,7,10,8,20,10,40,2017,2017-06-02 20:02:00,15_5_7_10_8_20_10_40,0.6,13.18,0.4,485,48,48
10,0,17,10,36,19,13,18,2017,2017-05-01 16:19:00,10_0_17_10_36_19_13_18,0.21,24.85,0.05,164,-47,-47
15,10,12,10,20,20,10,30,2017,2017-06-02 15:49:00,15_10_12_10_20_20_10_30,0.9,20.28,0.35,283,113,113
25,10,12,10,20,20,10,50,2017,2017-06-02 17:44:00,25_10_12_10_20_20_10_50,0.94,20.3,0.32,248,109,109
15,10,12,10,14,20,10,30,2017,2017-06-02 15:49:00,15_10_12_10_14_20_10_30,1.0,17.04,0.54,394,197,197
20,12,14,10,20,20,10,40,2017,2017-06-02 15:50:00,20_12_14_10_20_20_10_40,0.92,20.28,0.37,295,123,123
15,10,12,10,14,20,10,50,2017,2017-06-02 15:49:00,15_10_12_10_14_20_10_50,1.07,17.08,0.57,388,221,220
15,5,7,10,10,25,8,40,2017,2017-06-02 20:02:00,15_5_7_10_10_25_8_40,0.61,15.8,0.29,348,38,38
25,12,14,10,20,20,10,30,2017,2017-06-02 15:59:00,25_12_14_10_20_20_10_30,0.68,20.41,0.26,281,50,50
15,12,14,10,14,20,10,40,2017,2017-06-02 15:54:00,15_12_14_10_14_20_10_40,1.12,16.96,0.66,309,191,191
15,5,7,10,10,25,10,40,2017,2017-06-02 20:02:00,15_5_7_10_10_25_10_40,0.59,16.05,0.28,341,30,30
15,10,12,10,16,20,10,50,2017,2017-06-02 15:49:00,15_10_12_10_16_20_10_50,1.15,18.24,0.55,346,224,224
20,12,14,10,16,20,10,30,2017,2017-06-02 15:50:00,20_12_14_10_16_20_10_30,0.82,18.19,0.4,360,115,115
15,12,14,10,18,20,10,40,2017,2017-06-02 15:54:00,15_12_14_10_18_20_10_40,1.26,19.21,0.59,309,234,234
15,10,12,10,14,20,10,40,2017,2017-06-02 15:49:00,15_10_12_10_14_20_10_40,1.05,17.07,0.56,389,213,213
25,10,12,10,16,20,10,30,2017,2017-06-02 17:44:00,25_10_12_10_16_20_10_30,0.9,18.3,0.37,304,121,121
20,12,14,10,14,20,10,40,2017,2017-06-02 15:50:00,20_12_14_10_14_20_10_40,0.81,16.91,0.45,364,112,112
20,10,12,10,18,20,10,30,2017,2017-06-02 17:39:00,20_10_12_10_18_20_10_30,0.85,19.25,0.34,294,102,102
25,10,12,10,18,20,10,50,2017,2017-02-15 01:17:00,25_10_12_10_18_20_10_50,1.32,19.22,0.8,440,360,360
25,12,14,10,18,20,10,30,2017,2017-06-02 15:59:00,25_12_14_10_18_20_10_30,0.7,19.43,0.29,308,61,61
15,12,14,10,20,20,10,50,2017,2017-06-02 15:54:00,15_12_14_10_20_20_10_50,1.35,20.34,0.58,309,262,262
25,12,14,10,18,20,10,40,2017,2017-06-02 15:59:00,25_12_14_10_18_20_10_40,0.83,19.35,0.35,304,100,100
15,5,7,10,10,20,10,40,2017,2017-06-02 20:02:00,15_5_7_10_10_20_10_40,0.69,14.65,0.38,399,75,75
25,12,14,10,20,20,10,40,2017,2017-06-02 15:59:00,25_12_14_10_20_20_10_40,0.81,20.36,0.31,277,85,85
20,10,12,10,20,20,10,50,2017,2017-06-02 17:39:00,20_10_12_10_20_20_10_50,0.88,20.26,0.32,263,99,99
15,10,12,10,16,20,10,40,2017,2017-06-02 15:49:00,15_10_12_10_16_20_10_40,1.13,18.24,0.54,347,218,218
15,12,14,10,14,20,10,30,2017,2017-06-02 15:54:00,15_12_14_10_14_20_10_30,1.06,16.95,0.63,309,173,173
15,5,7,10,8,25,10,40,2017,2017-06-02 20:02:00,15_5_7_10_8_25_10_40,0.47,14.43,0.27,418,-12,-12
20,12,14,10,16,20,10,40,2017,2017-06-02 15:50:00,20_12_14_10_16_20_10_40,0.93,18.13,0.45,354,152,152
25,10,12,10,20,20,10,40,2017,2017-06-02 17:44:00,25_10_12_10_20_20_10_40,0.92,20.29,0.31,249,104,103
25,10,12,10,18,20,10,40,2017,2017-06-02 17:44:00,25_10_12_10_18_20_10_40,1.02,19.3,0.38,272,141,141
15,12,14,10,16,20,10,30,2017,2017-06-02 15:54:00,15_12_14_10_16_20_10_30,1.19,18.18,0.63,309,213,213
15,12,14,10,20,20,10,40,2017,2017-06-02 15:54:00,15_12_14_10_20_20_10_40,1.32,20.35,0.57,309,253,253
25,12,14,10,14,20,10,40,2017,2017-06-02 15:59:00,25_12_14_10_14_20_10_40,1.03,16.92,0.55,391,207,206
20,12,14,10,18,20,10,40,2017,2017-06-02 15:50:00,20_12_14_10_18_20_10_40,0.98,19.29,0.43,319,153,153
