bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
40,10,14,10,30,20,60,2017,2017-06-02 17:43:00,40_10_14_10_30_20_60,0.61,13.41,0.68,736,80,80
40,16,20,10,40,30,60,2017,2017-06-02 15:34:00,40_16_20_10_40_30_60,0.14,15.93,0.14,355,-127,-127
40,8,16,10,40,30,90,2017,2017-06-02 19:35:00,40_8_16_10_40_30_90,0.75,16.31,0.53,521,130,130
40,10,14,10,30,30,60,2017,2017-06-02 17:42:00,40_10_14_10_30_30_60,0.84,13.89,0.89,772,262,262
30,10,14,10,40,20,60,2017,2017-06-02 17:42:00,30_10_14_10_40_20_60,0.7,13.98,0.77,684,136,136
30,8,16,10,30,30,60,2017,2017-06-02 19:29:00,30_8_16_10_30_30_60,0.69,13.84,0.73,773,146,146
40,8,16,10,30,30,90,2017,2017-06-02 19:35:00,40_8_16_10_30_30_90,0.72,15.87,0.52,532,117,117
40,8,14,10,40,20,30,2017,2017-06-02 19:39:00,40_8_14_10_40_20_30,0.34,9.9,0.71,978,-156,-156
30,8,14,10,30,20,60,2017,2017-06-02 19:29:00,30_8_14_10_30_20_60,0.57,13.27,0.63,806,56,56
40,16,20,10,40,30,30,2017,2017-06-02 15:34:00,40_16_20_10_40_30_30,0.3,12.28,0.62,355,-71,-71
40,8,14,10,30,30,60,2017,2017-06-02 19:35:00,40_8_14_10_30_30_60,0.66,13.36,0.7,767,122,122
40,10,16,10,30,20,60,2017,2017-06-02 17:43:00,40_10_16_10_30_20_60,0.62,13.51,0.7,777,93,93
30,10,14,10,40,20,90,2017,2017-06-02 17:42:00,30_10_14_10_40_20_90,0.58,16.26,0.45,567,45,45
30,8,16,10,30,30,30,2017,2017-06-02 19:29:00,30_8_16_10_30_30_30,0.3,10.46,0.62,944,-188,-188
40,14,16,10,40,30,60,2017,2017-06-02 15:56:00,40_14_16_10_40_30_60,0.82,15.08,0.86,402,128,128
40,8,16,10,30,20,30,2017,2017-06-02 19:39:00,40_8_16_10_30_20_30,0.39,9.83,0.81,1009,-110,-110
30,10,14,10,40,20,30,2017,2017-06-02 17:42:00,30_10_14_10_40_20_30,0.5,10.5,1.05,684,0,0
40,10,14,10,40,20,90,2017,2017-06-02 17:43:00,40_10_14_10_40_20_90,0.67,15.89,0.52,563,95,95
30,10,16,10,30,20,30,2017,2017-06-02 17:42:00,30_10_16_10_30_20_30,0.39,10.58,0.82,713,-78,-78
40,8,16,10,30,20,60,2017,2017-06-02 19:39:00,40_8_16_10_30_20_60,0.6,13.03,0.66,805,80,80
30,10,14,10,30,20,90,2017,2017-06-02 17:42:00,30_10_14_10_30_20_90,0.58,15.82,0.46,582,46,46
