bOPCL0,bOPCL1,bOPCL2,sEVNT0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
10,6,8,10,60,2017,2017-06-02 17:56:00,10_6_8_10_60,0.58,14.67,0.59,739,59.0,58.0
30,18,20,10,60,2017,2017-06-02 13:31:00,30_18_20_10_60,0.18,17.36,0.18,195,-62.0,-62.0
20,-8,-6,10,60,2017,2017-06-02 19:47:00,20_-8_-6_10_60,-0.7,14.14,-0.71,739,-886.0,-885.0
35,12,14,10,90,2017,2017-06-02 15:54:00,35_12_14_10_90,0.83,18.43,0.56,489,161.0,161.0
20,-4,-2,10,60,2017,2017-06-02 20:55:00,20_-4_-2_10_60,-0.41,12.56,-0.42,738,-671.0,-671.0
10,14,16,10,60,2017,2017-06-02 13:45:00,10_14_16_10_60,-0.35,20.19,-0.35,150,-127.0,-127.0
30,10,12,10,30,2017,2017-06-02 17:41:00,30_10_12_10_30,0.64,10.61,1.3,603,84.0,84.0
40,12,14,10,90,2017,2017-06-02 16:10:00,40_12_14_10_90,0.41,18.25,0.28,494,-44.0,-44.0
30,10,12,10,120,2017,2017-06-02 17:41:00,30_10_12_10_120,1.12,20.23,0.57,371,230.0,230.0
20,6,8,10,60,2017,2017-06-02 19:47:00,20_6_8_10_60,0.7,14.15,0.71,739,147.0,147.0
10,-8,-6,10,60,2017,2017-06-02 17:56:00,10_-8_-6_10_60,-0.58,14.67,-0.59,739,-798.0,-798.0
10,4,6,10,60,2017,2017-06-02 19:47:00,10_4_6_10_60,0.42,13.73,0.42,739,-59.0,-58.0
10,18,20,10,60,2017,2017-06-02 00:16:00,10_18_20_10_60,0.72,21.97,0.73,70,15.0,15.0
25,10,12,10,90,2017,2017-06-02 17:44:00,25_10_12_10_90,0.65,18.36,0.44,493,73.0,73.0
30,-4,-2,10,60,2017,2017-06-02 20:54:00,30_-4_-2_10_60,-0.29,12.66,-0.29,737,-582.0,-582.0
20,16,18,10,60,2017,2017-06-02 13:58:00,20_16_18_10_60,0.53,17.75,0.53,184,5.0,5.0
10,10,12,10,60,2017,2017-06-02 15:49:00,10_10_12_10_60,0.48,17.09,0.49,362,-7.0,-7.0
10,-6,-4,10,60,2017,2017-06-02 19:47:00,10_-6_-4_10_60,-0.42,13.74,-0.43,739,-679.0,-679.0
35,10,12,10,90,2017,2017-06-02 19:34:00,35_10_12_10_90,0.95,18.07,0.64,494,222.0,221.0
40,10,12,10,120,2017,2017-06-02 17:42:00,40_10_12_10_120,0.87,19.77,0.45,372,137.0,137.0
20,14,16,10,60,2017,2017-06-02 15:51:00,20_14_16_10_60,0.47,17.12,0.48,269,-8.0,-8.0
10,-2,0,10,60,2017,2017-06-02 20:57:00,10_-2_0_10_60,0.1,12.99,0.1,738,-295.0,-295.0
30,10,12,10,90,2017,2017-06-02 17:41:00,30_10_12_10_90,1.17,17.73,0.79,493,330.0,38.0
30,10,12,10,90,2016,2016-12-30 21:26:00,30_10_12_10_90,0.33,19.15,0.23,499,-84.0,38.0
40,12,14,10,30,2017,2017-06-02 16:10:00,40_12_14_10_30,0.35,11.09,0.71,514,-77.0,-77.0
35,12,14,10,30,2017,2017-06-02 15:54:00,35_12_14_10_30,0.68,11.27,1.36,489,88.0,88.0
20,0,2,10,60,2017,2017-06-02 20:45:00,20_0_2_10_60,0.09,12.65,0.1,738,-302.0,-302.0
35,12,14,10,120,2017,2017-06-02 15:54:00,35_12_14_10_120,0.75,20.65,0.38,372,93.0,93.0
20,12,14,10,60,2017,2017-06-02 15:50:00,20_12_14_10_60,0.39,16.63,0.4,364,-40.0,-40.0
30,-6,-4,10,60,2017,2017-06-02 20:18:00,30_-6_-4_10_60,-0.12,12.9,-0.13,738,-457.0,-457.0
10,2,4,10,60,2017,2017-06-02 20:52:00,10_2_4_10_60,0.63,12.91,0.64,738,95.0,95.0
10,-10,-8,10,60,2017,2017-06-02 17:42:00,10_-10_-8_10_60,-0.7,16.16,-0.71,558,-669.0,-669.0
40,10,12,10,30,2017,2017-06-02 17:42:00,40_10_12_10_30,0.37,10.56,0.74,643,-83.0,-83.0
