bPRSL0,bPRSL1,bPRSL2,sEVNT0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
10,95,99,10,60,2017,2017-06-01 07:23:00,10_95_99_10_60,1.14,15.66,1.17,46,29.0,29.0
10,45,49,10,60,2017,2017-06-02 19:04:00,10_45_49_10_60,-1.21,17.98,-1.23,125,-213.0,-213.0
10,95,99,10,30,2017,2017-06-01 07:23:00,10_95_99_10_30,0.42,10.54,0.86,46,-3.0,-3.0
10,90,99,10,30,2017,2017-05-30 14:42:00,10_90_99_10_30,0.91,11.43,1.86,22,9.0,9.0
20,90,99,10,60,2017,2017-06-01 02:03:00,20_90_99_10_60,0.84,16.9,0.85,27,9.0,9.0
20,95,99,10,60,2017,2017-06-01 07:31:00,20_95_99_10_60,0.55,14.83,0.56,40,2.0,2.0
10,90,99,10,60,2017,2017-05-30 14:42:00,10_90_99_10_60,1.27,19.19,1.31,22,16.0,16.0
10,45,49,10,30,2017,2017-06-02 19:04:00,10_45_49_10_30,-0.38,14.09,-0.77,125,-110.0,-110.0
20,95,99,10,30,2017,2017-06-01 07:31:00,20_95_99_10_30,-0.26,10.52,-0.53,40,-30.0,-30.0
20,90,99,10,30,2017,2017-06-01 02:03:00,20_90_99_10_30,0.19,12.05,0.39,27,-8.0,-8.0
20,90,99,10,60,2016,2016-12-30 21:59:00,20_90_99_10_60,0.0,0.0,0.0,0,0.0,0.0
10,90,99,10,60,2016,2016-12-30 21:59:00,10_90_99_10_60,0.0,0.0,0.0,0,0.0,0.0
10,95,99,10,60,2016,2016-12-30 21:59:00,10_95_99_10_60,0.0,0.0,0.0,0,0.0,0.0
