bPRSS0,bPRSS1,bPRSS2,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
10,95,99,60,2017,2017-06-01 07:23:00,10_95_99_60,-0.15,16.63,-0.15,48,-31.0,-30.0
5,0,4,60,2017,2017-06-02 12:32:00,5_0_4_60,1.38,15.12,1.39,60,52.0,51.0
20,95,99,10,2017,2017-06-01 07:31:00,20_95_99_10,0.93,5.96,5.59,41,17.0,17.0
10,0,4,10,2017,2017-06-02 12:32:00,10_0_4_10,0.15,6.38,0.89,55,-19.0,-19.0
5,0,4,30,2017,2017-06-02 12:32:00,5_0_4_30,1.08,11.23,2.17,60,34.0,34.0
10,0,4,60,2017,2017-06-02 12:32:00,10_0_4_60,1.64,14.49,1.64,55,62.0,44.0
10,0,4,60,2016,2016-07-07 04:38:00,10_0_4_60,0.99,16.25,0.99,56,27.0,42.0
5,95,99,60,2017,2017-06-01 07:23:00,5_95_99_60,-1.46,16.38,-1.46,57,-111.0,-111.0
5,0,4,10,2017,2017-06-02 12:32:00,5_0_4_10,-0.07,6.82,-0.44,60,-34.0,-34.0
20,95,99,60,2017,2017-06-01 07:31:00,20_95_99_60,0.49,16.07,0.49,41,0.0,0.0
10,95,99,30,2017,2017-06-01 07:23:00,10_95_99_30,-0.43,10.58,-0.87,48,-44.0,-44.0
5,95,99,10,2017,2017-06-01 07:23:00,5_95_99_10,-0.34,6.55,-2.01,57,-47.0,-47.0
20,0,4,60,2017,2017-06-02 12:32:00,20_0_4_60,1.22,14.94,1.22,46,33.0,33.0
20,0,4,30,2017,2017-06-02 12:32:00,20_0_4_30,1.46,11.39,2.92,46,44.0,44.0
20,0,4,10,2017,2017-06-02 12:32:00,20_0_4_10,0.03,6.48,0.17,46,-21.0,-21.0
5,95,99,30,2017,2017-06-01 07:23:00,5_95_99_30,-1.0,11.17,-1.99,57,-85.0,-85.0
10,95,99,10,2017,2017-06-01 07:23:00,10_95_99_10,-0.23,7.35,-1.4,48,-35.0,-35.0
10,0,4,30,2017,2017-06-02 12:32:00,10_0_4_30,1.25,10.82,2.51,55,41.0,41.0
20,95,99,30,2017,2017-06-01 07:31:00,20_95_99_30,0.58,10.98,1.16,41,3.0,3.0
10,0,4,30,2016,2016-12-30 21:59:00,10_0_4_30,0.0,0.0,0.0,0,0.0,0.0
20,0,4,30,2016,2016-12-30 21:59:00,20_0_4_30,0.0,0.0,0.0,0,0.0,0.0
5,0,4,60,2016,2016-12-30 21:59:00,5_0_4_60,0.0,0.0,0.0,0,0.0,0.0
