bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
5,12,12,20,10,28,2016,2016-01-04 16:15:00,5_12_12_20_10_28,-5.7,19.15,-6.38,76,-494,-494
5,12,12,20,8,20,2016,2016-01-04 16:15:00,5_12_12_20_8_20,2.29,12.54,5.63,76,113,113
10,12,8,20,4,24,2016,2016-01-04 17:00:00,10_12_8_20_4_24,-9.5,14.45,-13.93,114,-1174,-1174
25,10,8,20,6,18,2016,2016-01-04 20:14:00,25_10_8_20_6_18,-4.42,12.16,-6.93,311,-1623,-1623
20,18,18,20,6,26,2016,2016-01-04 16:16:00,20_18_18_20_6_26,-0.27,14.04,-0.51,98,-104,-104
25,18,38,20,8,26,2016,2016-01-04 16:16:00,25_18_38_20_8_26,-3.91,17.03,-4.36,129,-607,-607
25,18,28,20,8,26,2016,2016-01-04 16:16:00,25_18_28_20_8_26,-3.91,17.03,-4.36,129,-607,-607
5,8,8,20,10,28,2016,2016-01-04 16:57:00,5_8_8_20_10_28,-8.56,19.65,-7.74,182,-1703,-1703
5,10,4,20,2,26,2016,2016-01-04 16:14:00,5_10_4_20_2_26,-1.0,7.79,-5.28,106,-190,-190
10,10,10,20,12,28,2016,2016-01-04 17:56:00,10_10_10_20_12_28,-6.68,19.09,-4.23,212,-1585,-1585
10,10,2,20,2,24,2016,2016-01-04 17:56:00,10_10_2_20_2_24,-1.02,9.02,-3.85,190,-345,-345
20,18,56,20,8,26,2016,2016-01-04 16:16:00,20_18_56_20_8_26,0.61,14.58,1.01,98,-18,-18
20,18,46,20,8,26,2016,2016-01-04 16:16:00,20_18_46_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,22,20,8,26,2016,2016-01-04 16:16:00,15_18_22_20_8_26,-3.35,17.18,-4.96,83,-344,-344
5,10,20,20,4,28,2016,2016-01-04 16:14:00,5_10_20_20_4_28,-5.32,14.89,-17.39,106,-648,-648
20,8,4,20,4,24,2016,2016-01-04 20:08:00,20_8_4_20_4_24,-3.17,11.89,-5.27,319,-1266,-1266
20,18,46,20,8,28,2016,2016-01-04 16:16:00,20_18_46_20_8_28,0.11,15.58,0.16,98,-67,-67
20,16,22,20,6,26,2016,2016-01-04 16:24:00,20_16_22_20_6_26,-2.51,15.17,-4.33,136,-450,-450
20,18,34,20,8,26,2016,2016-01-04 16:16:00,20_18_34_20_8_26,0.61,14.58,1.01,98,-18,-18
30,10,8,20,6,18,2016,2016-01-04 20:12:00,30_10_8_20_6_18,-2.66,11.57,-4.7,334,-1155,-1155
5,10,12,20,6,28,2016,2016-01-04 16:14:00,5_10_12_20_6_28,-9.36,18.56,-13.95,106,-1076,-1076
20,18,24,20,8,26,2016,2016-01-04 16:16:00,20_18_24_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,40,20,8,26,2016,2016-01-04 16:16:00,15_18_40_20_8_26,-3.35,17.18,-4.96,83,-344,-344
