bOPCL0,bOPCL1,bOPCL2,sGAIN0,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
25,20,12,4,22,2016,2016-01-04 23:59:00,25_20_12_4_22,0.62,9.82,2.1,106,-19.0,-19.0
25,20,12,6,22,2017,2017-12-29 21:52:00,25_20_12_6_22,7.04,59.24,385.88,19,118.0,118.0
25,22,12,6,22,2017,2017-12-29 21:55:00,25_22_12_6_22,4.17,68.93,208.33,15,50.0,50.0
30,20,12,6,22,2017,2017-12-28 18:26:00,30_20_12_6_22,-4.5,56.62,-242.25,16,-84.0,-84.0
25,20,12,6,22,2016,2016-01-04 23:59:00,25_20_12_6_22,-4.0,14.46,-5.69,106,-508.0,111.0
25,20,14,4,22,2016,2016-01-04 23:59:00,25_20_14_4_22,0.71,9.86,2.36,106,-9.0,-9.0
25,18,14,4,22,2016,2016-01-04 23:59:00,25_18_14_4_22,-1.98,11.93,-4.7,121,-336.0,-336.0
25,20,14,6,22,2016,2016-01-04 23:59:00,25_20_14_6_22,-3.91,14.53,-5.54,106,-499.0,-498.0
30,20,14,4,22,2016,2016-01-04 23:59:00,30_20_14_4_22,-3.62,12.83,-7.7,106,-468.0,-468.0
25,20,14,4,24,2016,2016-01-04 23:59:00,25_20_14_4_24,0.37,10.7,1.2,106,-45.0,-45.0
20,20,14,4,22,2016,2016-01-04 23:59:00,20_20_14_4_22,1.05,8.42,7.68,76,19.0,19.0
20,20,14,4,24,2016,2016-01-04 23:59:00,20_20_14_4_24,1.21,8.67,7.9,83,34.0,34.0
20,18,14,4,24,2016,2016-01-04 23:59:00,20_18_14_4_24,-0.22,10.45,-0.68,98,-99.0,-99.0
20,20,14,4,26,2016,2016-01-04 23:59:00,20_20_14_4_26,0.57,9.92,3.89,76,-17.0,-17.0
20,20,14,6,24,2016,2016-01-04 08:18:00,20_20_14_6_24,-5.12,15.95,-14.77,38,-224.0,-224.0
