buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-03 23:05:00,1.08547,1,2016-01-04 01:06:00,1.08403,-14.4,2016-01-04 01:05:00,2016-01-04 03:06:00,1,0,4,1,121
2016-01-03 23:31:00,1.0847,1,2016-01-04 00:02:00,1.08544,7.4,2016-01-04 01:31:00,2016-01-04 02:02:00,1,0,4,1,31
2016-01-04 01:15:00,1.08343,1,2016-01-04 01:42:00,1.08443,10.0,2016-01-04 03:15:00,2016-01-04 03:42:00,1,0,4,3,27
2016-01-04 01:35:00,1.08394,-1,2016-01-04 01:54:00,1.08556,-16.2,2016-01-04 03:35:00,2016-01-04 03:54:00,1,0,4,3,19
2016-01-04 01:53:00,1.08533,-1,2016-01-04 02:47:00,1.08724,-19.1,2016-01-04 03:53:00,2016-01-04 04:47:00,1,0,4,3,54
2016-01-04 05:33:00,1.08906,-1,2016-01-04 07:25:00,1.08883,2.3,2016-01-04 07:33:00,2016-01-04 09:25:00,1,0,4,7,112
2016-01-04 05:49:00,1.09016,-1,2016-01-04 06:32:00,1.08914,10.2,2016-01-04 07:49:00,2016-01-04 08:32:00,1,0,4,7,43
2016-01-04 06:36:00,1.08909,1,2016-01-04 07:25:00,1.08883,-2.6,2016-01-04 08:36:00,2016-01-04 09:25:00,1,0,4,8,49
2016-01-04 07:45:00,1.09008,-1,2016-01-04 07:46:00,1.09157,-14.9,2016-01-04 09:45:00,2016-01-04 09:46:00,1,0,4,9,1
2016-01-04 08:08:00,1.09278,-1,2016-01-04 08:19:00,1.09387,-10.9,2016-01-04 10:08:00,2016-01-04 10:19:00,1,0,4,10,11
2016-01-04 08:09:00,1.09291,-1,2016-01-04 08:19:00,1.09387,-9.6,2016-01-04 10:09:00,2016-01-04 10:19:00,1,0,4,10,10
2016-01-04 08:27:00,1.09383,-1,2016-01-04 08:36:00,1.09264,11.9,2016-01-04 10:27:00,2016-01-04 10:36:00,1,0,4,10,9
2016-01-04 08:44:00,1.09263,1,2016-01-04 10:46:00,1.09082,-18.1,2016-01-04 10:44:00,2016-01-04 12:46:00,1,0,4,10,122
2016-01-04 09:08:00,1.0924,1,2016-01-04 10:02:00,1.09347,10.7,2016-01-04 11:08:00,2016-01-04 12:02:00,1,0,4,11,54
2016-01-04 09:56:00,1.0925,-1,2016-01-04 10:26:00,1.09171,7.9,2016-01-04 11:56:00,2016-01-04 12:26:00,1,0,4,11,30
2016-01-04 10:26:00,1.09171,1,2016-01-04 11:04:00,1.08993,-17.8,2016-01-04 12:26:00,2016-01-04 13:04:00,1,0,4,12,38
2016-01-04 10:46:00,1.09082,1,2016-01-04 12:01:00,1.09185,10.3,2016-01-04 12:46:00,2016-01-04 14:01:00,1,0,4,12,75
2016-01-04 11:04:00,1.08993,1,2016-01-04 11:25:00,1.09081,8.8,2016-01-04 13:04:00,2016-01-04 13:25:00,1,0,4,13,21
2016-01-04 11:05:00,1.09002,1,2016-01-04 11:31:00,1.09111,10.9,2016-01-04 13:05:00,2016-01-04 13:31:00,1,0,4,13,26
2016-01-04 12:09:00,1.09212,-1,2016-01-04 12:22:00,1.09113,9.9,2016-01-04 14:09:00,2016-01-04 14:22:00,1,0,4,14,13
2016-01-04 12:25:00,1.09103,1,2016-01-04 13:20:00,1.08932,-17.1,2016-01-04 14:25:00,2016-01-04 15:20:00,1,0,4,14,55
2016-01-04 13:15:00,1.08958,1,2016-01-04 13:32:00,1.08782,-17.6,2016-01-04 15:15:00,2016-01-04 15:32:00,1,0,4,15,17
2016-01-04 13:53:00,1.08538,1,2016-01-04 14:52:00,1.08372,-16.6,2016-01-04 15:53:00,2016-01-04 16:52:00,1,0,4,15,59
2016-01-04 14:29:00,1.08507,1,2016-01-04 14:53:00,1.08354,-15.3,2016-01-04 16:29:00,2016-01-04 16:53:00,1,0,4,16,24
2016-01-04 14:51:00,1.08417,1,2016-01-04 15:12:00,1.08253,-16.4,2016-01-04 16:51:00,2016-01-04 17:12:00,1,0,4,16,21
2016-01-04 15:10:00,1.08325,1,2016-01-04 15:15:00,1.08152,-17.3,2016-01-04 17:10:00,2016-01-04 17:15:00,1,0,4,17,5
2016-01-04 15:30:00,1.0827,-1,2016-01-04 15:50:00,1.08151,11.9,2016-01-04 17:30:00,2016-01-04 17:50:00,1,0,4,17,20
2016-01-04 15:52:00,1.08129,1,2016-01-04 16:14:00,1.07885,-24.4,2016-01-04 17:52:00,2016-01-04 18:14:00,1,0,4,17,22
2016-01-04 16:11:00,1.08008,1,2016-01-04 16:15:00,1.07855,-15.3,2016-01-04 18:11:00,2016-01-04 18:15:00,1,0,4,18,4
2016-01-04 16:38:00,1.07932,-1,2016-01-04 17:19:00,1.08096,-16.4,2016-01-04 18:38:00,2016-01-04 19:19:00,1,0,4,18,41
2016-01-04 17:03:00,1.08029,-1,2016-01-04 17:53:00,1.08197,-16.8,2016-01-04 19:03:00,2016-01-04 19:53:00,1,0,4,19,50
2016-01-04 17:20:00,1.08107,-1,2016-01-04 19:56:00,1.08275,-16.8,2016-01-04 19:20:00,2016-01-04 21:56:00,1,0,4,19,156
2016-01-05 01:49:00,1.08236,1,2016-01-05 05:53:00,1.08338,10.2,2016-01-05 03:49:00,2016-01-05 07:53:00,1,1,5,3,244
2016-01-05 07:14:00,1.08151,1,2016-01-05 08:50:00,1.07955,-19.6,2016-01-05 09:14:00,2016-01-05 10:50:00,1,1,5,9,96
2016-01-05 08:50:00,1.07955,1,2016-01-05 09:40:00,1.07751,-20.4,2016-01-05 10:50:00,2016-01-05 11:40:00,1,1,5,10,50
2016-01-05 09:19:00,1.07854,1,2016-01-05 10:05:00,1.07677,-17.7,2016-01-05 11:19:00,2016-01-05 12:05:00,1,1,5,11,46
2016-01-05 09:40:00,1.07751,1,2016-01-05 11:19:00,1.07625,-12.6,2016-01-05 11:40:00,2016-01-05 13:19:00,1,1,5,11,99
2016-01-05 10:11:00,1.07665,1,2016-01-05 10:16:00,1.0778,11.5,2016-01-05 12:11:00,2016-01-05 12:16:00,1,1,5,12,5
2016-01-05 11:01:00,1.07625,1,2016-01-05 13:11:00,1.07467,-15.8,2016-01-05 13:01:00,2016-01-05 15:11:00,1,1,5,13,130
2016-01-05 11:46:00,1.07553,1,2016-01-05 13:23:00,1.0742,-13.3,2016-01-05 13:46:00,2016-01-05 15:23:00,1,1,5,13,97
2016-01-05 13:21:00,1.07418,1,2016-01-05 13:27:00,1.07511,9.3,2016-01-05 15:21:00,2016-01-05 15:27:00,1,1,5,15,6
2016-01-05 14:00:00,1.07421,1,2016-01-05 14:20:00,1.07542,12.1,2016-01-05 16:00:00,2016-01-05 16:20:00,1,1,5,16,20
2016-01-05 14:19:00,1.07501,-1,2016-01-05 15:00:00,1.07391,11.0,2016-01-05 16:19:00,2016-01-05 17:00:00,1,1,5,16,41
2016-01-05 15:05:00,1.07357,1,2016-01-05 15:32:00,1.07192,-16.5,2016-01-05 17:05:00,2016-01-05 17:32:00,1,1,5,17,27
2016-01-05 15:25:00,1.07279,1,2016-01-05 15:48:00,1.07107,-17.2,2016-01-05 17:25:00,2016-01-05 17:48:00,1,1,5,17,23
2016-01-05 15:41:00,1.07144,1,2016-01-05 16:04:00,1.07241,9.7,2016-01-05 17:41:00,2016-01-05 18:04:00,1,1,5,17,23
2016-01-05 16:02:00,1.07235,-1,2016-01-05 16:44:00,1.0739,-15.5,2016-01-05 18:02:00,2016-01-05 18:44:00,1,1,5,18,42
2016-01-05 16:19:00,1.07345,-1,2016-01-05 16:28:00,1.07253,9.2,2016-01-05 18:19:00,2016-01-05 18:28:00,1,1,5,18,9
2016-01-05 16:36:00,1.07261,1,2016-01-05 16:43:00,1.07374,11.3,2016-01-05 18:36:00,2016-01-05 18:43:00,1,1,5,18,7
2016-01-05 16:52:00,1.07399,-1,2016-01-05 23:15:00,1.07571,-17.2,2016-01-05 18:52:00,2016-01-06 01:15:00,1,1,5,18,383
2016-01-06 01:21:00,1.07553,-1,2016-01-06 01:25:00,1.07706,-15.3,2016-01-06 03:21:00,2016-01-06 03:25:00,1,2,6,3,4
2016-01-06 02:12:00,1.07683,-1,2016-01-06 03:18:00,1.0758,10.3,2016-01-06 04:12:00,2016-01-06 05:18:00,1,2,6,4,66
2016-01-06 03:27:00,1.075,1,2016-01-06 07:06:00,1.07347,-15.3,2016-01-06 05:27:00,2016-01-06 09:06:00,1,2,6,5,219
2016-01-06 07:05:00,1.07354,1,2016-01-06 07:50:00,1.072,-15.4,2016-01-06 09:05:00,2016-01-06 09:50:00,1,2,6,9,45
2016-01-06 08:05:00,1.07322,-1,2016-01-06 09:22:00,1.07219,10.3,2016-01-06 10:05:00,2016-01-06 11:22:00,1,2,6,10,77
2016-01-06 08:39:00,1.07284,1,2016-01-06 08:49:00,1.0737,8.6,2016-01-06 10:39:00,2016-01-06 10:49:00,1,2,6,10,10
2016-01-06 09:03:00,1.07259,1,2016-01-06 10:01:00,1.07366,10.7,2016-01-06 11:03:00,2016-01-06 12:01:00,1,2,6,11,58
2016-01-06 10:01:00,1.07366,-1,2016-01-06 10:39:00,1.07256,11.0,2016-01-06 12:01:00,2016-01-06 12:39:00,1,2,6,12,38
2016-01-06 10:39:00,1.07256,1,2016-01-06 10:56:00,1.07346,9.0,2016-01-06 12:39:00,2016-01-06 12:56:00,1,2,6,12,17
2016-01-06 11:05:00,1.074,-1,2016-01-06 12:12:00,1.07565,-16.5,2016-01-06 13:05:00,2016-01-06 14:12:00,1,2,6,13,67
