buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-04 05:17:00,118.092,-1,2017-01-04 05:47:00,118.091,0.1,2017-01-04 07:17:00,2017-01-04 07:47:00,1,2,4,7,30
2017-01-04 05:33:00,118.143,-1,2017-01-04 06:03:00,118.148,-0.500000000001,2017-01-04 07:33:00,2017-01-04 08:03:00,1,2,4,7,30
2017-01-04 17:17:00,117.326,1,2017-01-04 17:47:00,117.333,0.699999999999,2017-01-04 19:17:00,2017-01-04 19:47:00,1,2,4,19,30
2017-01-04 17:34:00,117.247,1,2017-01-04 18:04:00,117.396,14.9,2017-01-04 19:34:00,2017-01-04 20:04:00,1,2,4,19,30
2017-01-05 20:45:00,115.565,1,2017-01-05 21:15:00,115.492,-7.3,2017-01-05 22:45:00,2017-01-05 23:15:00,1,3,5,22,30
2017-01-05 21:22:00,115.455,1,2017-01-05 21:52:00,115.371,-8.4,2017-01-05 23:22:00,2017-01-05 23:52:00,1,3,5,23,30
2017-01-05 21:38:00,115.412,1,2017-01-05 22:09:00,115.31,-10.2,2017-01-05 23:38:00,2017-01-06 00:09:00,1,3,5,23,31
2017-01-06 18:46:00,117.005,-1,2017-01-06 19:16:00,117.071,-6.6,2017-01-06 20:46:00,2017-01-06 21:16:00,1,4,6,20,30
2017-01-06 19:30:00,117.067,1,2017-01-06 20:00:00,117.016,-5.1,2017-01-06 21:30:00,2017-01-06 22:00:00,1,4,6,21,30
2017-01-08 22:32:00,117.091,-1,2017-01-08 23:02:00,117.138,-4.7,2017-01-09 00:32:00,2017-01-09 01:02:00,1,0,9,0,30
2017-01-10 21:21:00,115.728,-1,2017-01-10 21:51:00,115.724,0.4,2017-01-10 23:21:00,2017-01-10 23:51:00,1,1,10,23,30
2017-01-11 21:46:00,115.392,-1,2017-01-11 22:16:00,115.337,5.5,2017-01-11 23:46:00,2017-01-12 00:16:00,1,2,11,23,30
2017-01-12 21:30:00,114.69,-1,2017-01-12 22:00:00,114.711,-2.1,2017-01-12 23:30:00,2017-01-13 00:00:00,1,3,12,23,30
2017-01-12 22:21:00,114.634,1,2017-01-12 22:51:00,114.681,4.7,2017-01-13 00:21:00,2017-01-13 00:51:00,1,4,13,0,30
2017-01-13 05:28:00,115.066,-1,2017-01-13 05:58:00,114.979,8.7,2017-01-13 07:28:00,2017-01-13 07:58:00,1,4,13,7,30
2017-01-13 12:02:00,114.67,-1,2017-01-13 12:32:00,114.669,0.1,2017-01-13 14:02:00,2017-01-13 14:32:00,1,4,13,14,30
2017-01-13 21:22:00,114.501,1,2017-01-13 21:52:00,114.534,3.3,2017-01-13 23:22:00,2017-01-13 23:52:00,1,4,13,23,30
2017-01-16 03:18:00,114.128,-1,2017-01-16 03:48:00,114.177,-4.9,2017-01-16 05:18:00,2017-01-16 05:48:00,1,0,16,5,30
2017-01-16 23:35:00,114.19,-1,2017-01-17 00:05:00,114.046,14.4,2017-01-17 01:35:00,2017-01-17 02:05:00,1,1,17,1,30
2017-01-17 18:12:00,113.059,-1,2017-01-17 18:42:00,113.053,0.6,2017-01-17 20:12:00,2017-01-17 20:42:00,1,1,17,20,30
