buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-02 00:20:00,116.791,1,2017-01-02 02:10:00,116.832,4.1,2017-01-02 02:20:00,2017-01-02 04:10:00,1,0,2,2,110
2017-01-02 00:48:00,116.738,1,2017-01-02 02:10:00,116.832,9.4,2017-01-02 02:48:00,2017-01-02 04:10:00,1,0,2,2,82
2017-01-02 07:20:00,116.937,-1,2017-01-02 07:33:00,117.022,-8.5,2017-01-02 09:20:00,2017-01-02 09:33:00,1,0,2,9,13
2017-01-02 07:37:00,117.045,-1,2017-01-02 07:47:00,117.112,-6.7,2017-01-02 09:37:00,2017-01-02 09:47:00,1,0,2,9,10
2017-01-02 09:08:00,117.396,-1,2017-01-02 12:53:00,117.467,-7.1,2017-01-02 11:08:00,2017-01-02 14:53:00,1,0,2,11,225
2017-01-02 10:13:00,117.422,-1,2017-01-02 13:01:00,117.494,-7.2,2017-01-02 12:13:00,2017-01-02 15:01:00,1,0,2,12,168
2017-01-02 13:53:00,117.326,1,2017-01-02 19:46:00,117.479,15.3,2017-01-02 15:53:00,2017-01-02 21:46:00,1,0,2,15,353
2017-01-02 18:30:00,117.455,-1,2017-01-02 19:47:00,117.525,-7.0,2017-01-02 20:30:00,2017-01-02 21:47:00,1,0,2,20,77
2017-01-02 19:50:00,117.59,-1,2017-01-02 21:34:00,117.649,-5.9,2017-01-02 21:50:00,2017-01-02 23:34:00,1,0,2,21,104
2017-01-02 20:08:00,117.574,-1,2017-01-02 21:33:00,117.655,-8.1,2017-01-02 22:08:00,2017-01-02 23:33:00,1,0,2,22,85
2017-01-02 20:24:00,117.603,-1,2017-01-02 22:27:00,117.41,19.3,2017-01-02 22:24:00,2017-01-03 00:27:00,1,0,2,22,123
2017-01-02 20:40:00,117.593,-1,2017-01-02 21:34:00,117.649,-5.6,2017-01-02 22:40:00,2017-01-02 23:34:00,1,0,2,22,54
2017-01-02 22:08:00,117.458,1,2017-01-02 22:30:00,117.331,-12.7,2017-01-03 00:08:00,2017-01-03 00:30:00,1,1,3,0,22
2017-01-02 22:24:00,117.458,1,2017-01-02 22:30:00,117.331,-12.7,2017-01-03 00:24:00,2017-01-03 00:30:00,1,1,3,0,6
2017-01-02 22:55:00,117.364,1,2017-01-02 22:59:00,117.289,-7.5,2017-01-03 00:55:00,2017-01-03 00:59:00,1,1,3,0,4
2017-01-02 23:11:00,117.358,1,2017-01-02 23:12:00,117.292,-6.6,2017-01-03 01:11:00,2017-01-03 01:12:00,1,1,3,1,1
2017-01-02 23:41:00,117.498,-1,2017-01-03 01:03:00,117.32,17.8,2017-01-03 01:41:00,2017-01-03 03:03:00,1,1,3,1,82
2017-01-02 23:57:00,117.497,-1,2017-01-03 01:03:00,117.32,17.7,2017-01-03 01:57:00,2017-01-03 03:03:00,1,1,3,1,66
