buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-03 11:00:00,118.265,-1,2017-01-03 12:00:00,118.2,6.5,2017-01-03 13:00:00,2017-01-03 14:00:00,1,1,3,13,60
2017-01-03 11:20:00,118.295,-1,2017-01-03 12:20:00,118.232,6.3,2017-01-03 13:20:00,2017-01-03 14:20:00,1,1,3,13,60
2017-01-03 11:55:00,118.242,1,2017-01-03 12:55:00,118.188,-5.4,2017-01-03 13:55:00,2017-01-03 14:55:00,1,1,3,13,60
2017-01-03 12:12:00,118.227,1,2017-01-03 13:12:00,118.195,-3.2,2017-01-03 14:12:00,2017-01-03 15:12:00,1,1,3,14,60
2017-01-03 12:30:00,118.303,-1,2017-01-03 13:30:00,118.272,3.1,2017-01-03 14:30:00,2017-01-03 15:30:00,1,1,3,14,60
2017-01-03 13:01:00,118.186,1,2017-01-03 14:01:00,118.212,2.6,2017-01-03 15:01:00,2017-01-03 16:01:00,1,1,3,15,60
2017-01-03 13:22:00,118.264,-1,2017-01-03 14:22:00,118.203,6.1,2017-01-03 15:22:00,2017-01-03 16:22:00,1,1,3,15,60
2017-01-03 14:48:00,118.133,1,2017-01-03 14:50:00,118.111,-2.2,2017-01-03 16:48:00,2017-01-03 16:50:00,1,1,3,16,2
2017-01-03 20:25:00,117.559,1,2017-01-03 21:25:00,117.698,13.9,2017-01-03 22:25:00,2017-01-03 23:25:00,1,1,3,22,60
2017-01-03 20:55:00,117.663,-1,2017-01-03 21:55:00,117.764,-10.1,2017-01-03 22:55:00,2017-01-03 23:55:00,1,1,3,22,60
2017-01-03 23:54:00,117.58,1,2017-01-04 00:20:00,117.817,23.7,2017-01-04 01:54:00,2017-01-04 02:20:00,1,2,4,1,26
2017-01-04 05:17:00,118.092,-1,2017-01-04 06:17:00,118.078,1.4,2017-01-04 07:17:00,2017-01-04 08:17:00,1,2,4,7,60
2017-01-04 05:33:00,118.143,-1,2017-01-04 06:33:00,117.985,15.8,2017-01-04 07:33:00,2017-01-04 08:33:00,1,2,4,7,60
2017-01-04 06:49:00,117.978,1,2017-01-04 07:49:00,117.973,-0.5,2017-01-04 08:49:00,2017-01-04 09:49:00,1,2,4,8,60
2017-01-04 10:02:00,117.678,-1,2017-01-04 11:02:00,117.573,10.5,2017-01-04 12:02:00,2017-01-04 13:02:00,1,2,4,12,60
2017-01-04 17:20:00,117.302,1,2017-01-04 18:20:00,117.438,13.6,2017-01-04 19:20:00,2017-01-04 20:20:00,1,2,4,19,60
2017-01-04 17:36:00,117.247,1,2017-01-04 18:17:00,117.442,19.5,2017-01-04 19:36:00,2017-01-04 20:17:00,1,2,4,19,41
2017-01-04 18:01:00,117.426,-1,2017-01-04 18:50:00,117.365,6.1,2017-01-04 20:01:00,2017-01-04 20:50:00,1,2,4,20,49
2017-01-04 18:17:00,117.442,-1,2017-01-04 18:50:00,117.365,7.7,2017-01-04 20:17:00,2017-01-04 20:50:00,1,2,4,20,33
2017-01-05 04:47:00,116.434,1,2017-01-05 05:47:00,116.358,-7.6,2017-01-05 06:47:00,2017-01-05 07:47:00,1,3,5,6,60
2017-01-05 19:16:00,115.697,-1,2017-01-05 20:16:00,115.661,3.6,2017-01-05 21:16:00,2017-01-05 22:16:00,1,3,5,21,60
2017-01-05 20:45:00,115.565,1,2017-01-05 21:45:00,115.372,-19.3,2017-01-05 22:45:00,2017-01-05 23:45:00,1,3,5,22,60
2017-01-05 21:22:00,115.455,1,2017-01-05 22:23:00,115.371,-8.4,2017-01-05 23:22:00,2017-01-06 00:23:00,1,3,5,23,61
2017-01-05 21:42:00,115.398,1,2017-01-05 22:43:00,115.457,5.9,2017-01-05 23:42:00,2017-01-06 00:43:00,1,3,5,23,61
2017-01-06 04:05:00,115.771,1,2017-01-06 05:05:00,115.931,16.0,2017-01-06 06:05:00,2017-01-06 07:05:00,1,4,6,6,60
2017-01-06 07:47:00,116.276,-1,2017-01-06 08:47:00,116.163,11.3,2017-01-06 09:47:00,2017-01-06 10:47:00,1,4,6,9,60
2017-01-06 11:37:00,115.944,-1,2017-01-06 12:37:00,116.116,-17.2,2017-01-06 13:37:00,2017-01-06 14:37:00,1,4,6,13,60
2017-01-06 18:36:00,116.934,-1,2017-01-06 19:36:00,117.067,-13.3,2017-01-06 20:36:00,2017-01-06 21:36:00,1,4,6,20,60
2017-01-06 19:29:00,117.06,1,2017-01-06 20:29:00,116.967,-9.3,2017-01-06 21:29:00,2017-01-06 22:29:00,1,4,6,21,60
2017-01-08 22:37:00,117.13,-1,2017-01-08 23:37:00,117.185,-5.5,2017-01-09 00:37:00,2017-01-09 01:37:00,1,0,9,0,60
2017-01-09 04:21:00,117.475,-1,2017-01-09 05:21:00,117.462,1.3,2017-01-09 06:21:00,2017-01-09 07:21:00,1,0,9,6,60
2017-01-09 07:42:00,117.407,-1,2017-01-09 08:16:00,117.22,18.7,2017-01-09 09:42:00,2017-01-09 10:16:00,1,0,9,9,34
2017-01-09 11:06:00,117.035,1,2017-01-09 12:06:00,116.724,-31.1,2017-01-09 13:06:00,2017-01-09 14:06:00,1,0,9,13,60
2017-01-09 18:38:00,116.225,-1,2017-01-09 19:38:00,116.134,9.1,2017-01-09 20:38:00,2017-01-09 21:38:00,1,0,9,20,60
2017-01-09 19:29:00,116.162,1,2017-01-09 20:29:00,116.164,0.2,2017-01-09 21:29:00,2017-01-09 22:29:00,1,0,9,21,60
2017-01-09 19:45:00,116.053,1,2017-01-09 20:45:00,116.036,-1.7,2017-01-09 21:45:00,2017-01-09 22:45:00,1,0,9,21,60
2017-01-09 20:30:00,116.168,-1,2017-01-09 21:30:00,116.055,11.3,2017-01-09 22:30:00,2017-01-09 23:30:00,1,0,9,22,60
2017-01-09 23:12:00,115.923,-1,2017-01-10 00:12:00,115.878,4.5,2017-01-10 01:12:00,2017-01-10 02:12:00,1,1,10,1,60
2017-01-10 10:11:00,116.035,-1,2017-01-10 10:42:00,115.868,16.7,2017-01-10 12:11:00,2017-01-10 12:42:00,1,1,10,12,31
2017-01-10 10:41:00,115.914,1,2017-01-10 11:41:00,115.993,7.9,2017-01-10 12:41:00,2017-01-10 13:41:00,1,1,10,12,60
2017-01-10 21:21:00,115.728,-1,2017-01-10 22:21:00,115.734,-0.6,2017-01-10 23:21:00,2017-01-11 00:21:00,1,1,10,23,60
2017-01-10 22:58:00,115.842,-1,2017-01-10 23:58:00,115.874,-3.2,2017-01-11 00:58:00,2017-01-11 01:58:00,1,2,11,0,60
2017-01-10 23:16:00,115.879,-1,2017-01-11 00:09:00,115.695,18.4,2017-01-11 01:16:00,2017-01-11 02:09:00,1,2,11,1,53
2017-01-11 01:55:00,115.866,1,2017-01-11 02:06:00,116.06,19.4,2017-01-11 03:55:00,2017-01-11 04:06:00,1,2,11,3,11
2017-01-11 03:10:00,116.112,1,2017-01-11 04:10:00,116.081,-3.1,2017-01-11 05:10:00,2017-01-11 06:10:00,1,2,11,5,60
2017-01-11 03:27:00,116.004,1,2017-01-11 04:27:00,116.085,8.1,2017-01-11 05:27:00,2017-01-11 06:27:00,1,2,11,5,60
2017-01-11 09:09:00,116.006,-1,2017-01-11 10:09:00,116.234,-22.8,2017-01-11 11:09:00,2017-01-11 12:09:00,1,2,11,11,60
2017-01-11 11:17:00,116.255,1,2017-01-11 12:17:00,116.223,-3.2,2017-01-11 13:17:00,2017-01-11 14:17:00,1,2,11,13,60
2017-01-11 11:33:00,116.235,1,2017-01-11 12:33:00,116.248,1.3,2017-01-11 13:33:00,2017-01-11 14:33:00,1,2,11,13,60
2017-01-11 21:46:00,115.392,-1,2017-01-11 22:46:00,115.457,-6.5,2017-01-11 23:46:00,2017-01-12 00:46:00,1,2,11,23,60
2017-01-12 05:26:00,114.747,-1,2017-01-12 05:46:00,114.524,22.3,2017-01-12 07:26:00,2017-01-12 07:46:00,1,3,12,7,20
2017-01-12 21:02:00,114.583,1,2017-01-12 21:53:00,114.774,19.1,2017-01-12 23:02:00,2017-01-12 23:53:00,1,3,12,23,51
2017-01-12 21:35:00,114.723,-1,2017-01-12 22:35:00,114.613,11.0,2017-01-12 23:35:00,2017-01-13 00:35:00,1,3,12,23,60
2017-01-12 21:56:00,114.756,-1,2017-01-12 22:30:00,114.618,13.8,2017-01-12 23:56:00,2017-01-13 00:30:00,1,3,12,23,34
2017-01-12 22:21:00,114.634,1,2017-01-12 23:21:00,114.703,6.9,2017-01-13 00:21:00,2017-01-13 01:21:00,1,4,13,0,60
2017-01-13 02:44:00,115.005,-1,2017-01-13 03:44:00,115.046,-4.1,2017-01-13 04:44:00,2017-01-13 05:44:00,1,4,13,4,60
2017-01-13 05:28:00,115.066,-1,2017-01-13 06:10:00,114.878,18.8,2017-01-13 07:28:00,2017-01-13 08:10:00,1,4,13,7,42
2017-01-13 12:02:00,114.67,-1,2017-01-13 12:51:00,114.43,24.0,2017-01-13 14:02:00,2017-01-13 14:51:00,1,4,13,14,49
2017-01-13 20:38:00,114.612,-1,2017-01-13 21:38:00,114.528,8.4,2017-01-13 22:38:00,2017-01-13 23:38:00,1,4,13,22,60
2017-01-13 21:22:00,114.501,1,2017-01-13 21:59:00,114.46,-4.1,2017-01-13 23:22:00,2017-01-13 23:59:00,1,4,13,23,37
2017-01-16 00:36:00,114.313,-1,2017-01-16 01:36:00,114.349,-3.6,2017-01-16 02:36:00,2017-01-16 03:36:00,1,0,16,2,60
2017-01-16 03:18:00,114.128,-1,2017-01-16 04:18:00,114.152,-2.4,2017-01-16 05:18:00,2017-01-16 06:18:00,1,0,16,5,60
2017-01-16 16:41:00,114.055,1,2017-01-16 17:41:00,114.112,5.7,2017-01-16 18:41:00,2017-01-16 19:41:00,1,0,16,18,60
2017-01-16 17:03:00,114.131,-1,2017-01-16 18:03:00,114.117,1.4,2017-01-16 19:03:00,2017-01-16 20:03:00,1,0,16,19,60
2017-01-16 22:58:00,114.072,1,2017-01-16 23:58:00,114.123,5.1,2017-01-17 00:58:00,2017-01-17 01:58:00,1,1,17,0,60
2017-01-16 23:35:00,114.19,-1,2017-01-17 00:11:00,113.99,20.0,2017-01-17 01:35:00,2017-01-17 02:11:00,1,1,17,1,36
2017-01-17 02:08:00,114.161,1,2017-01-17 03:08:00,114.045,-11.6,2017-01-17 04:08:00,2017-01-17 05:08:00,1,1,17,4,60
2017-01-17 02:24:00,114.113,1,2017-01-17 03:24:00,114.068,-4.5,2017-01-17 04:24:00,2017-01-17 05:24:00,1,1,17,4,60
2017-01-17 04:02:00,114.074,-1,2017-01-17 04:20:00,113.859,21.5,2017-01-17 06:02:00,2017-01-17 06:20:00,1,1,17,6,18
2017-01-17 18:12:00,113.059,-1,2017-01-17 19:05:00,112.831,22.8,2017-01-17 20:12:00,2017-01-17 21:05:00,1,1,17,20,53
2017-01-17 18:28:00,113.054,-1,2017-01-17 19:05:00,112.831,22.3,2017-01-17 20:28:00,2017-01-17 21:05:00,1,1,17,20,37
