buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-02 07:50:00,117.108,-1,2017-01-02 08:20:00,117.353,-24.5,2017-01-02 09:50:00,2017-01-02 10:20:00,1,0,2,9,30
2017-01-02 19:53:00,117.648,-1,2017-01-02 20:24:00,117.603,4.5,2017-01-02 21:53:00,2017-01-02 22:24:00,1,0,2,21,31
2017-01-02 22:09:00,117.473,1,2017-01-02 22:39:00,117.35,-12.3,2017-01-03 00:09:00,2017-01-03 00:39:00,1,1,3,0,30
2017-01-02 22:31:00,117.361,1,2017-01-02 23:01:00,117.291,-7.0,2017-01-03 00:31:00,2017-01-03 01:01:00,1,1,3,0,30
2017-01-02 23:54:00,117.498,-1,2017-01-03 00:24:00,117.396,10.2,2017-01-03 01:54:00,2017-01-03 02:24:00,1,1,3,1,30
2017-01-03 07:36:00,117.773,-1,2017-01-03 08:06:00,117.826,-5.3,2017-01-03 09:36:00,2017-01-03 10:06:00,1,1,3,9,30
2017-01-03 07:52:00,117.911,-1,2017-01-03 08:22:00,117.957,-4.6,2017-01-03 09:52:00,2017-01-03 10:22:00,1,1,3,9,30
2017-01-03 09:19:00,118.06,-1,2017-01-03 09:49:00,118.172,-11.2,2017-01-03 11:19:00,2017-01-03 11:49:00,1,1,3,11,30
2017-01-03 09:42:00,118.177,-1,2017-01-03 10:12:00,118.125,5.2,2017-01-03 11:42:00,2017-01-03 12:12:00,1,1,3,11,30
2017-01-03 11:06:00,118.296,-1,2017-01-03 11:36:00,118.306,-0.999999999999,2017-01-03 13:06:00,2017-01-03 13:36:00,1,1,3,13,30
2017-01-03 15:41:00,118.381,1,2017-01-03 15:57:00,118.032,-34.9,2017-01-03 17:41:00,2017-01-03 17:57:00,1,1,3,17,16
2017-01-03 17:43:00,117.506,1,2017-01-03 18:13:00,117.373,-13.3,2017-01-03 19:43:00,2017-01-03 20:13:00,1,1,3,19,30
2017-01-03 18:01:00,117.434,1,2017-01-03 18:31:00,117.343,-9.1,2017-01-03 20:01:00,2017-01-03 20:31:00,1,1,3,20,30
2017-01-03 18:57:00,117.538,-1,2017-01-03 19:27:00,117.64,-10.2,2017-01-03 20:57:00,2017-01-03 21:27:00,1,1,3,20,30
2017-01-03 19:22:00,117.628,-1,2017-01-03 19:52:00,117.646,-1.8,2017-01-03 21:22:00,2017-01-03 21:52:00,1,1,3,21,30
2017-01-03 20:32:00,117.53,1,2017-01-03 21:02:00,117.676,14.6,2017-01-03 22:32:00,2017-01-03 23:02:00,1,1,3,22,30
2017-01-03 20:57:00,117.682,-1,2017-01-03 21:27:00,117.685,-0.3,2017-01-03 22:57:00,2017-01-03 23:27:00,1,1,3,22,30
2017-01-04 00:16:00,117.745,-1,2017-01-04 00:46:00,117.737,0.8,2017-01-04 02:16:00,2017-01-04 02:46:00,1,2,4,2,30
2017-01-04 00:59:00,117.952,-1,2017-01-04 01:29:00,117.943,0.900000000001,2017-01-04 02:59:00,2017-01-04 03:29:00,1,2,4,2,30
2017-01-04 01:59:00,118.122,-1,2017-01-04 02:29:00,118.076,4.6,2017-01-04 03:59:00,2017-01-04 04:29:00,1,2,4,3,30
2017-01-04 06:33:00,117.985,1,2017-01-04 07:03:00,117.922,-6.3,2017-01-04 08:33:00,2017-01-04 09:03:00,1,2,4,8,30
