buy_at,buy_price,dir,sell_at,sell_price,gain
2017-01-01 22:42:00,116.857,1,2017-01-03 14:55:00,118.103,124.6
2017-01-02 00:37:00,116.73,1,2017-01-03 14:55:00,118.103,137.3
2017-01-02 02:10:00,116.832,-1,2017-01-03 14:55:00,118.103,-127.1
2017-01-02 07:33:00,117.022,-1,2017-01-03 14:55:00,118.103,-108.1
2017-01-02 08:06:00,117.176,-1,2017-01-03 14:55:00,118.103,-92.7
2017-01-02 10:56:00,117.341,1,2017-01-03 14:55:00,118.103,76.2
2017-01-02 12:53:00,117.467,-1,2017-01-03 14:55:00,118.103,-63.6
2017-01-02 13:28:00,117.358,1,2017-01-03 14:55:00,118.103,74.5
2017-01-02 17:24:00,117.345,1,2017-01-03 14:55:00,118.103,75.8
2017-01-02 18:09:00,117.444,-1,2017-01-03 14:55:00,118.103,-65.9
2017-01-02 18:30:00,117.455,-1,2017-01-03 14:55:00,118.103,-64.8
2017-01-02 20:01:00,117.58,1,2017-01-03 14:55:00,118.103,52.3
2017-01-02 21:33:00,117.655,-1,2017-01-03 14:55:00,118.103,-44.8
2017-01-02 21:51:00,117.566,1,2017-01-03 14:55:00,118.103,53.7
2017-01-02 22:10:00,117.451,1,2017-01-03 14:55:00,118.103,65.2
2017-01-02 22:27:00,117.41,1,2017-01-03 14:55:00,118.103,69.3
2017-01-02 22:52:00,117.293,1,2017-01-03 14:55:00,118.103,81.0
2017-01-02 23:08:00,117.335,-1,2017-01-03 14:55:00,118.103,-76.8
2017-01-02 23:31:00,117.396,-1,2017-01-03 14:55:00,118.103,-70.7
2017-01-02 23:50:00,117.5,-1,2017-01-03 14:55:00,118.103,-60.3
2017-01-03 00:55:00,117.361,1,2017-01-03 14:55:00,118.103,74.2
2017-01-03 01:18:00,117.381,-1,2017-01-03 14:55:00,118.103,-72.2
2017-01-03 01:36:00,117.296,1,2017-01-03 14:55:00,118.103,80.7
2017-01-03 02:03:00,117.353,1,2017-01-03 14:55:00,118.103,75.0
2017-01-03 06:52:00,117.408,-1,2017-01-03 14:55:00,118.103,-69.5
2017-01-03 07:10:00,117.617,-1,2017-01-03 14:55:00,118.103,-48.6
2017-01-03 07:49:00,117.877,1,2017-01-03 14:55:00,118.103,22.6
2017-01-03 08:23:00,117.972,-1,2017-01-03 14:55:00,118.103,-13.1
2017-01-03 08:53:00,117.939,-1,2017-01-03 14:55:00,118.103,-16.4
2017-01-03 09:12:00,118.013,1,2017-01-03 14:55:00,118.103,9.0
2017-01-03 09:30:00,118.141,-1,2017-01-03 14:55:00,118.103,3.8
2017-01-03 10:18:00,118.129,-1,2017-01-03 14:55:00,118.103,2.6
2017-01-03 10:41:00,118.193,-1,2017-01-03 14:55:00,118.103,9.0
2017-01-03 10:57:00,118.248,-1,2017-01-03 14:55:00,118.103,14.5
2017-01-03 11:16:00,118.315,-1,2017-01-03 14:55:00,118.103,21.2
2017-01-03 11:52:00,118.26,1,2017-01-03 14:55:00,118.103,-15.7
2017-01-03 12:30:00,118.303,-1,2017-01-03 14:55:00,118.103,20.0
2017-01-03 13:21:00,118.242,-1,2017-01-03 14:55:00,118.103,13.9
2017-01-03 14:32:00,118.172,1,2017-01-03 14:55:00,118.103,-6.9
2017-01-03 14:50:00,118.111,1,2017-01-03 14:55:00,118.103,-0.800000000001
2017-01-03 15:13:00,118.575,-1,2017-01-04 18:55:00,117.361,121.4
2017-01-03 15:35:00,118.37,1,2017-01-04 18:55:00,117.361,-100.9
2017-01-03 16:01:00,118.065,1,2017-01-04 18:55:00,117.361,-70.4
2017-01-03 16:27:00,117.769,1,2017-01-04 18:55:00,117.361,-40.8
2017-01-03 16:56:00,117.656,-1,2017-01-04 18:55:00,117.361,29.5
2017-01-03 17:13:00,117.687,-1,2017-01-04 18:55:00,117.361,32.6
2017-01-03 17:31:00,117.606,1,2017-01-04 18:55:00,117.361,-24.5
2017-01-03 17:51:00,117.475,-1,2017-01-04 18:55:00,117.361,11.4
2017-01-03 18:11:00,117.342,-1,2017-01-04 18:55:00,117.361,-1.9
2017-01-03 18:31:00,117.343,1,2017-01-04 18:55:00,117.361,1.8
2017-01-03 18:48:00,117.47,-1,2017-01-04 18:55:00,117.361,10.9
2017-01-03 19:18:00,117.693,-1,2017-01-04 18:55:00,117.361,33.2
2017-01-03 20:02:00,117.701,-1,2017-01-04 18:55:00,117.361,34.0
2017-01-03 20:22:00,117.608,1,2017-01-04 18:55:00,117.361,-24.7
2017-01-03 20:44:00,117.611,-1,2017-01-04 18:55:00,117.361,25.0
2017-01-03 21:00:00,117.732,-1,2017-01-04 18:55:00,117.361,37.1
2017-01-03 21:24:00,117.71,-1,2017-01-04 18:55:00,117.361,34.9
2017-01-03 21:49:00,117.724,-1,2017-01-04 18:55:00,117.361,36.3
2017-01-03 22:14:00,117.683,1,2017-01-04 18:55:00,117.361,-32.2
2017-01-03 22:42:00,117.645,1,2017-01-04 18:55:00,117.361,-28.4
2017-01-03 23:22:00,117.671,-1,2017-01-04 18:55:00,117.361,31.0
2017-01-03 23:46:00,117.573,1,2017-01-04 18:55:00,117.361,-21.2
2017-01-04 00:06:00,117.72,-1,2017-01-04 18:55:00,117.361,35.9
2017-01-04 00:22:00,117.823,-1,2017-01-04 18:55:00,117.361,46.2
2017-01-04 00:41:00,117.681,1,2017-01-04 18:55:00,117.361,-32.0
