buy_at,buy_price,dir,sell_at,sell_price,gain
2017-01-01 23:01:00,116.905,-1,2017-01-01 23:04:00,116.749,15.6
2017-01-01 23:51:00,116.763,1,2017-01-02 02:10:00,116.832,6.9
2017-01-02 00:37:00,116.73,1,2017-01-02 02:10:00,116.832,10.2
2017-01-02 02:11:00,116.828,-1,2017-01-02 07:35:00,117.038,-21.0
2017-01-02 03:22:00,116.803,1,2017-01-02 06:35:00,116.861,5.8
2017-01-02 05:25:00,116.865,-1,2017-01-02 07:42:00,117.093,-22.8
2017-01-02 07:04:00,116.906,-1,2017-01-02 07:44:00,117.108,-20.2
2017-01-02 07:27:00,116.964,-1,2017-01-02 08:04:00,117.165,-20.1
2017-01-02 07:50:00,117.108,-1,2017-01-02 08:12:00,117.432,-32.4
2017-01-02 08:06:00,117.176,-1,2017-01-02 08:12:00,117.432,-25.6
2017-01-02 08:26:00,117.347,-1,2017-01-02 19:48:00,117.56,-21.3
2017-01-02 08:59:00,117.388,-1,2017-01-02 19:50:00,117.59,-20.2
2017-01-02 10:56:00,117.341,1,2017-01-02 12:53:00,117.467,12.6
2017-01-02 11:34:00,117.37,-1,2017-01-02 19:48:00,117.56,-19.0
2017-01-02 12:53:00,117.467,-1,2017-01-02 13:25:00,117.339,12.8
2017-01-02 13:38:00,117.354,1,2017-01-02 18:09:00,117.444,9.0
2017-01-02 14:12:00,117.38,-1,2017-01-02 19:50:00,117.59,-21.0
2017-01-02 15:51:00,117.359,1,2017-01-02 18:09:00,117.444,8.5
2017-01-02 17:00:00,117.376,-1,2017-01-02 19:48:00,117.56,-18.4
2017-01-02 17:32:00,117.348,1,2017-01-02 18:07:00,117.45,10.2
2017-01-02 18:09:00,117.444,-1,2017-01-02 19:53:00,117.648,-20.4
2017-01-02 18:34:00,117.458,-1,2017-01-02 21:34:00,117.649,-19.1
2017-01-02 19:47:00,117.525,-1,2017-01-02 22:27:00,117.41,11.5
2017-01-02 20:08:00,117.574,1,2017-01-02 22:30:00,117.331,-24.3
2017-01-02 20:48:00,117.59,1,2017-01-02 22:30:00,117.331,-25.9
2017-01-02 21:33:00,117.655,-1,2017-01-02 21:49:00,117.581,7.4
2017-01-02 21:52:00,117.575,1,2017-01-02 22:30:00,117.331,-24.4
2017-01-02 22:15:00,117.454,1,2017-01-02 23:01:00,117.291,-16.3
2017-01-02 22:42:00,117.348,1,2017-01-02 23:32:00,117.433,8.5
2017-01-02 23:01:00,117.291,1,2017-01-02 23:11:00,117.358,6.7
2017-01-02 23:18:00,117.331,-1,2017-01-03 07:04:00,117.571,-24.0
2017-01-02 23:35:00,117.406,-1,2017-01-03 01:04:00,117.307,9.9
