buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-01 23:10:00,116.749,1,2017-01-01 23:11:00,116.743,-0.6,2017-01-02 01:10:00,2017-01-02 01:11:00,1,0,2,1,1
2017-01-02 07:33:00,117.022,-1,2017-01-02 08:12:00,117.432,-41.0,2017-01-02 09:33:00,2017-01-02 10:12:00,1,0,2,9,39
2017-01-02 07:55:00,117.144,-1,2017-01-02 08:12:00,117.432,-28.8,2017-01-02 09:55:00,2017-01-02 10:12:00,1,0,2,9,17
2017-01-02 08:28:00,117.34,-1,2017-01-02 09:18:00,117.378,-3.8,2017-01-02 10:28:00,2017-01-02 11:18:00,1,0,2,10,50
2017-01-02 09:31:00,117.413,-1,2017-01-02 10:24:00,117.431,-1.8,2017-01-02 11:31:00,2017-01-02 12:24:00,1,0,2,11,53
2017-01-02 13:29:00,117.361,1,2017-01-02 14:20:00,117.365,0.399999999999,2017-01-02 15:29:00,2017-01-02 16:20:00,1,0,2,15,51
2017-01-02 19:50:00,117.59,-1,2017-01-02 20:41:00,117.586,0.4,2017-01-02 21:50:00,2017-01-02 22:41:00,1,0,2,21,51
2017-01-02 22:09:00,117.473,1,2017-01-02 22:59:00,117.289,-18.4,2017-01-03 00:09:00,2017-01-03 00:59:00,1,1,3,0,50
2017-01-02 22:31:00,117.361,1,2017-01-02 23:21:00,117.359,-0.200000000001,2017-01-03 00:31:00,2017-01-03 01:21:00,1,1,3,0,50
2017-01-02 23:03:00,117.267,1,2017-01-02 23:53:00,117.499,23.2,2017-01-03 01:03:00,2017-01-03 01:53:00,1,1,3,1,50
2017-01-02 23:39:00,117.453,-1,2017-01-03 00:29:00,117.406,4.7,2017-01-03 01:39:00,2017-01-03 02:29:00,1,1,3,1,50
2017-01-03 00:09:00,117.385,1,2017-01-03 00:59:00,117.384,-0.1,2017-01-03 02:09:00,2017-01-03 02:59:00,1,1,3,2,50
2017-01-03 01:03:00,117.32,1,2017-01-03 01:53:00,117.408,8.8,2017-01-03 03:03:00,2017-01-03 03:53:00,1,1,3,3,50
2017-01-03 01:58:00,117.415,-1,2017-01-03 02:48:00,117.37,4.5,2017-01-03 03:58:00,2017-01-03 04:48:00,1,1,3,3,50
2017-01-03 06:54:00,117.441,-1,2017-01-03 07:19:00,117.748,-30.7,2017-01-03 08:54:00,2017-01-03 09:19:00,1,1,3,8,25
2017-01-03 07:31:00,117.779,-1,2017-01-03 08:21:00,117.956,-17.7,2017-01-03 09:31:00,2017-01-03 10:21:00,1,1,3,9,50
2017-01-03 07:49:00,117.877,-1,2017-01-03 08:39:00,117.929,-5.2,2017-01-03 09:49:00,2017-01-03 10:39:00,1,1,3,9,50
2017-01-03 08:07:00,117.827,1,2017-01-03 08:57:00,117.953,12.6,2017-01-03 10:07:00,2017-01-03 10:57:00,1,1,3,10,50
2017-01-03 08:29:00,117.964,-1,2017-01-03 09:19:00,118.06,-9.6,2017-01-03 10:29:00,2017-01-03 11:19:00,1,1,3,10,50
2017-01-03 09:03:00,117.994,-1,2017-01-03 09:53:00,118.164,-17.0,2017-01-03 11:03:00,2017-01-03 11:53:00,1,1,3,11,50
2017-01-03 09:41:00,118.185,-1,2017-01-03 10:31:00,118.137,4.8,2017-01-03 11:41:00,2017-01-03 12:31:00,1,1,3,11,50
2017-01-03 10:57:00,118.248,-1,2017-01-03 11:47:00,118.321,-7.3,2017-01-03 12:57:00,2017-01-03 13:47:00,1,1,3,12,50
2017-01-03 11:14:00,118.281,-1,2017-01-03 12:04:00,118.225,5.6,2017-01-03 13:14:00,2017-01-03 14:04:00,1,1,3,13,50
2017-01-03 11:59:00,118.214,1,2017-01-03 12:49:00,118.214,0.0,2017-01-03 13:59:00,2017-01-03 14:49:00,1,1,3,13,50
2017-01-03 12:50:00,118.19,1,2017-01-03 13:40:00,118.176,-1.4,2017-01-03 14:50:00,2017-01-03 15:40:00,1,1,3,14,50
2017-01-03 13:22:00,118.264,-1,2017-01-03 14:12:00,118.244,2.0,2017-01-03 15:22:00,2017-01-03 16:12:00,1,1,3,15,50
2017-01-03 14:54:00,118.081,1,2017-01-03 14:55:00,118.103,2.2,2017-01-03 16:54:00,2017-01-03 16:55:00,1,1,3,16,1
2017-01-03 15:31:00,118.441,1,2017-01-03 15:51:00,118.12,-32.1,2017-01-03 17:31:00,2017-01-03 17:51:00,1,1,3,17,20
2017-01-03 16:57:00,117.661,-1,2017-01-03 17:47:00,117.443,21.8,2017-01-03 18:57:00,2017-01-03 19:47:00,1,1,3,18,50
2017-01-03 18:07:00,117.339,1,2017-01-03 18:57:00,117.538,19.9,2017-01-03 20:07:00,2017-01-03 20:57:00,1,1,3,20,50
2017-01-03 18:23:00,117.405,-1,2017-01-03 19:13:00,117.632,-22.7,2017-01-03 20:23:00,2017-01-03 21:13:00,1,1,3,20,50
2017-01-03 18:51:00,117.448,-1,2017-01-03 19:41:00,117.636,-18.8,2017-01-03 20:51:00,2017-01-03 21:41:00,1,1,3,20,50
2017-01-03 19:17:00,117.661,-1,2017-01-03 20:07:00,117.699,-3.8,2017-01-03 21:17:00,2017-01-03 22:07:00,1,1,3,21,50
2017-01-03 20:23:00,117.585,1,2017-01-03 21:13:00,117.673,8.8,2017-01-03 22:23:00,2017-01-03 23:13:00,1,1,3,22,50
2017-01-03 20:47:00,117.629,-1,2017-01-03 21:37:00,117.684,-5.5,2017-01-03 22:47:00,2017-01-03 23:37:00,1,1,3,22,50
2017-01-03 21:03:00,117.678,-1,2017-01-03 21:53:00,117.766,-8.8,2017-01-03 23:03:00,2017-01-03 23:53:00,1,1,3,23,50
