buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-01 22:50:00,116.941,1,2017-01-01 22:51:00,116.94,-0.1,2017-01-02 00:50:00,2017-01-02 00:51:00,1,0,2,0,1
2017-01-01 23:40:00,116.762,1,2017-01-01 23:48:00,116.763,0.0999999999991,2017-01-02 01:40:00,2017-01-02 01:48:00,1,0,2,1,8
2017-01-02 00:44:00,116.755,-1,2017-01-02 02:22:00,116.836,-8.1,2017-01-02 02:44:00,2017-01-02 04:22:00,1,0,2,2,98
2017-01-02 01:06:00,116.757,1,2017-01-02 03:14:00,116.805,4.8,2017-01-02 03:06:00,2017-01-02 05:14:00,1,0,2,3,128
2017-01-02 01:24:00,116.775,1,2017-01-02 03:43:00,116.806,3.1,2017-01-02 03:24:00,2017-01-02 05:43:00,1,0,2,3,139
2017-01-02 02:22:00,116.836,1,2017-01-02 04:21:00,116.818,-1.8,2017-01-02 04:22:00,2017-01-02 06:21:00,1,0,2,4,119
2017-01-02 03:24:00,116.803,-1,2017-01-02 05:06:00,116.846,-4.3,2017-01-02 05:24:00,2017-01-02 07:06:00,1,0,2,5,102
2017-01-02 04:15:00,116.818,1,2017-01-02 07:08:00,116.905,8.7,2017-01-02 06:15:00,2017-01-02 09:08:00,1,0,2,6,173
2017-01-02 04:59:00,116.823,-1,2017-01-02 07:29:00,116.952,-12.9,2017-01-02 06:59:00,2017-01-02 09:29:00,1,0,2,6,150
2017-01-02 05:32:00,116.865,1,2017-01-02 07:45:00,117.108,24.3,2017-01-02 07:32:00,2017-01-02 09:45:00,1,0,2,7,133
2017-01-02 07:04:00,116.906,1,2017-01-02 08:05:00,117.182,27.6,2017-01-02 09:04:00,2017-01-02 10:05:00,1,0,2,9,61
2017-01-02 07:21:00,116.938,1,2017-01-02 08:21:00,117.347,40.9,2017-01-02 09:21:00,2017-01-02 10:21:00,1,0,2,9,60
2017-01-02 07:53:00,117.111,1,2017-01-02 08:54:00,117.389,27.8,2017-01-02 09:53:00,2017-01-02 10:54:00,1,0,2,9,61
2017-01-02 08:23:00,117.342,-1,2017-01-02 09:24:00,117.411,-6.9,2017-01-02 10:23:00,2017-01-02 11:24:00,1,0,2,10,61
2017-01-02 08:45:00,117.374,1,2017-01-02 09:47:00,117.426,5.2,2017-01-02 10:45:00,2017-01-02 11:47:00,1,0,2,10,62
2017-01-02 09:04:00,117.407,1,2017-01-02 10:06:00,117.416,0.899999999999,2017-01-02 11:04:00,2017-01-02 12:06:00,1,0,2,11,62
2017-01-02 09:24:00,117.411,1,2017-01-02 10:27:00,117.423,1.2,2017-01-02 11:24:00,2017-01-02 12:27:00,1,0,2,11,63
2017-01-02 09:56:00,117.416,-1,2017-01-02 10:58:00,117.339,7.7,2017-01-02 11:56:00,2017-01-02 12:58:00,1,0,2,11,62
2017-01-02 10:31:00,117.406,-1,2017-01-02 11:42:00,117.386,2.0,2017-01-02 12:31:00,2017-01-02 13:42:00,1,0,2,12,71
2017-01-02 10:55:00,117.364,-1,2017-01-02 12:09:00,117.395,-3.1,2017-01-02 12:55:00,2017-01-02 14:09:00,1,0,2,12,74
2017-01-02 11:32:00,117.365,1,2017-01-02 12:36:00,117.424,5.9,2017-01-02 13:32:00,2017-01-02 14:36:00,1,0,2,13,64
2017-01-02 12:25:00,117.42,1,2017-01-02 13:29:00,117.361,-5.9,2017-01-02 14:25:00,2017-01-02 15:29:00,1,0,2,14,64
2017-01-02 13:03:00,117.481,1,2017-01-02 14:04:00,117.355,-12.6,2017-01-02 15:03:00,2017-01-02 16:04:00,1,0,2,15,61
2017-01-02 13:21:00,117.45,-1,2017-01-02 14:22:00,117.367,8.3,2017-01-02 15:21:00,2017-01-02 16:22:00,1,0,2,15,61
2017-01-02 13:46:00,117.339,-1,2017-01-02 14:47:00,117.365,-2.6,2017-01-02 15:46:00,2017-01-02 16:47:00,1,0,2,15,61
2017-01-02 14:04:00,117.355,1,2017-01-02 15:05:00,117.385,3.0,2017-01-02 16:04:00,2017-01-02 17:05:00,1,0,2,16,61
2017-01-02 14:39:00,117.382,1,2017-01-02 15:40:00,117.413,3.1,2017-01-02 16:39:00,2017-01-02 17:40:00,1,0,2,16,61
2017-01-02 15:04:00,117.383,1,2017-01-02 16:04:00,117.349,-3.4,2017-01-02 17:04:00,2017-01-02 18:04:00,1,0,2,17,60
2017-01-02 15:26:00,117.411,1,2017-01-02 16:28:00,117.332,-7.9,2017-01-02 17:26:00,2017-01-02 18:28:00,1,0,2,17,62
2017-01-02 15:43:00,117.398,-1,2017-01-02 16:46:00,117.323,7.5,2017-01-02 17:43:00,2017-01-02 18:46:00,1,0,2,17,63
2017-01-02 16:00:00,117.368,-1,2017-01-02 17:03:00,117.359,0.9,2017-01-02 18:00:00,2017-01-02 19:03:00,1,0,2,18,63
2017-01-02 16:28:00,117.332,-1,2017-01-02 17:31:00,117.349,-1.7,2017-01-02 18:28:00,2017-01-02 19:31:00,1,0,2,18,63
2017-01-02 16:46:00,117.323,-1,2017-01-02 17:48:00,117.357,-3.4,2017-01-02 18:46:00,2017-01-02 19:48:00,1,0,2,18,62
2017-01-02 17:09:00,117.382,1,2017-01-02 18:13:00,117.372,-0.999999999999,2017-01-02 19:09:00,2017-01-02 20:13:00,1,0,2,19,64
2017-01-02 18:21:00,117.404,-1,2017-01-02 19:26:00,117.477,-7.3,2017-01-02 20:21:00,2017-01-02 21:26:00,1,0,2,20,65
2017-01-02 20:06:00,117.565,-1,2017-01-02 21:09:00,117.565,-0.0,2017-01-02 22:06:00,2017-01-02 23:09:00,1,0,2,22,63
2017-01-02 20:22:00,117.605,1,2017-01-02 21:25:00,117.604,-0.1,2017-01-02 22:22:00,2017-01-02 23:25:00,1,0,2,22,63
2017-01-02 20:49:00,117.572,-1,2017-01-02 21:54:00,117.564,0.800000000001,2017-01-02 22:49:00,2017-01-02 23:54:00,1,0,2,22,65
2017-01-02 21:17:00,117.597,1,2017-01-02 22:19:00,117.458,-13.9,2017-01-02 23:17:00,2017-01-03 00:19:00,1,0,2,23,62
2017-01-02 21:36:00,117.64,1,2017-01-02 22:37:00,117.358,-28.2,2017-01-02 23:36:00,2017-01-03 00:37:00,1,0,2,23,61
2017-01-02 21:58:00,117.56,-1,2017-01-02 22:58:00,117.299,26.1,2017-01-02 23:58:00,2017-01-03 00:58:00,1,0,2,23,60
2017-01-02 22:17:00,117.456,-1,2017-01-02 23:17:00,117.349,10.7,2017-01-03 00:17:00,2017-01-03 01:17:00,1,1,3,0,60
2017-01-02 22:54:00,117.358,-1,2017-01-02 23:54:00,117.498,-14.0,2017-01-03 00:54:00,2017-01-03 01:54:00,1,1,3,0,60
2017-01-02 23:23:00,117.34,1,2017-01-03 00:23:00,117.393,5.3,2017-01-03 01:23:00,2017-01-03 02:23:00,1,1,3,1,60
2017-01-02 23:42:00,117.472,1,2017-01-03 00:42:00,117.419,-5.3,2017-01-03 01:42:00,2017-01-03 02:42:00,1,1,3,1,60
2017-01-03 00:14:00,117.374,-1,2017-01-03 01:14:00,117.321,5.3,2017-01-03 02:14:00,2017-01-03 03:14:00,1,1,3,2,60
2017-01-03 00:32:00,117.398,-1,2017-01-03 01:32:00,117.349,4.9,2017-01-03 02:32:00,2017-01-03 03:32:00,1,1,3,2,60
2017-01-03 00:48:00,117.427,1,2017-01-03 01:48:00,117.36,-6.7,2017-01-03 02:48:00,2017-01-03 03:48:00,1,1,3,2,60
2017-01-03 01:10:00,117.327,-1,2017-01-03 02:10:00,117.39,-6.3,2017-01-03 03:10:00,2017-01-03 04:10:00,1,1,3,3,60
2017-01-03 01:26:00,117.353,1,2017-01-03 02:26:00,117.382,2.9,2017-01-03 03:26:00,2017-01-03 04:26:00,1,1,3,3,60
2017-01-03 01:42:00,117.323,-1,2017-01-03 02:42:00,117.364,-4.1,2017-01-03 03:42:00,2017-01-03 04:42:00,1,1,3,3,60
2017-01-03 02:01:00,117.361,-1,2017-01-03 03:01:00,117.383,-2.2,2017-01-03 04:01:00,2017-01-03 05:01:00,1,1,3,4,60
2017-01-03 02:20:00,117.429,1,2017-01-03 03:21:00,117.393,-3.6,2017-01-03 04:20:00,2017-01-03 05:21:00,1,1,3,4,61
2017-01-03 02:38:00,117.382,-1,2017-01-03 03:39:00,117.368,1.4,2017-01-03 04:38:00,2017-01-03 05:39:00,1,1,3,4,61
2017-01-03 03:03:00,117.39,1,2017-01-03 04:04:00,117.381,-0.9,2017-01-03 05:03:00,2017-01-03 06:04:00,1,1,3,5,61
2017-01-03 03:32:00,117.36,-1,2017-01-03 04:32:00,117.365,-0.5,2017-01-03 05:32:00,2017-01-03 06:32:00,1,1,3,5,60
2017-01-03 03:50:00,117.397,1,2017-01-03 04:50:00,117.334,-6.3,2017-01-03 05:50:00,2017-01-03 06:50:00,1,1,3,5,60
2017-01-03 04:15:00,117.363,-1,2017-01-03 05:15:00,117.326,3.7,2017-01-03 06:15:00,2017-01-03 07:15:00,1,1,3,6,60
2017-01-03 04:50:00,117.334,-1,2017-01-03 05:50:00,117.359,-2.5,2017-01-03 06:50:00,2017-01-03 07:50:00,1,1,3,6,60
2017-01-03 05:09:00,117.312,-1,2017-01-03 06:09:00,117.326,-1.4,2017-01-03 07:09:00,2017-01-03 08:09:00,1,1,3,7,60
2017-01-03 05:38:00,117.367,1,2017-01-03 06:38:00,117.339,-2.8,2017-01-03 07:38:00,2017-01-03 08:38:00,1,1,3,7,60
2017-01-03 06:04:00,117.329,-1,2017-01-03 07:04:00,117.571,-24.2,2017-01-03 08:04:00,2017-01-03 09:04:00,1,1,3,8,60
2017-01-03 06:20:00,117.351,1,2017-01-03 07:20:00,117.774,42.3,2017-01-03 08:20:00,2017-01-03 09:20:00,1,1,3,8,60
2017-01-03 06:46:00,117.356,1,2017-01-03 07:46:00,117.919,56.3,2017-01-03 08:46:00,2017-01-03 09:46:00,1,1,3,8,60
2017-01-03 07:34:00,117.775,1,2017-01-03 08:34:00,117.978,20.3,2017-01-03 09:34:00,2017-01-03 10:34:00,1,1,3,9,60
2017-01-03 07:56:00,117.882,-1,2017-01-03 08:56:00,117.947,-6.5,2017-01-03 09:56:00,2017-01-03 10:56:00,1,1,3,9,60
2017-01-03 08:16:00,117.848,1,2017-01-03 09:16:00,118.042,19.4,2017-01-03 10:16:00,2017-01-03 11:16:00,1,1,3,10,60
2017-01-03 08:38:00,117.92,-1,2017-01-03 09:38:00,118.173,-25.3,2017-01-03 10:38:00,2017-01-03 11:38:00,1,1,3,10,60
2017-01-03 08:54:00,117.932,1,2017-01-03 09:54:00,118.173,24.1,2017-01-03 10:54:00,2017-01-03 11:54:00,1,1,3,10,60
2017-01-03 09:14:00,118.031,-1,2017-01-03 10:14:00,118.11,-7.9,2017-01-03 11:14:00,2017-01-03 12:14:00,1,1,3,11,60
2017-01-03 09:45:00,118.169,-1,2017-01-03 10:45:00,118.196,-2.7,2017-01-03 11:45:00,2017-01-03 12:45:00,1,1,3,11,60
2017-01-03 10:16:00,118.133,-1,2017-01-03 11:16:00,118.315,-18.2,2017-01-03 12:16:00,2017-01-03 13:16:00,1,1,3,12,60
2017-01-03 10:37:00,118.136,-1,2017-01-03 11:37:00,118.316,-18.0,2017-01-03 12:37:00,2017-01-03 13:37:00,1,1,3,12,60
2017-01-03 10:54:00,118.171,-1,2017-01-03 11:54:00,118.243,-7.2,2017-01-03 12:54:00,2017-01-03 13:54:00,1,1,3,12,60
2017-01-03 11:11:00,118.254,-1,2017-01-03 12:11:00,118.226,2.8,2017-01-03 13:11:00,2017-01-03 14:11:00,1,1,3,13,60
2017-01-03 11:30:00,118.334,1,2017-01-03 12:30:00,118.303,-3.1,2017-01-03 13:30:00,2017-01-03 14:30:00,1,1,3,13,60
2017-01-03 12:04:00,118.225,-1,2017-01-03 13:04:00,118.175,5.0,2017-01-03 14:04:00,2017-01-03 15:04:00,1,1,3,14,60
2017-01-03 12:27:00,118.264,1,2017-01-03 13:27:00,118.244,-2.0,2017-01-03 14:27:00,2017-01-03 15:27:00,1,1,3,14,60
2017-01-03 12:46:00,118.242,-1,2017-01-03 13:46:00,118.169,7.3,2017-01-03 14:46:00,2017-01-03 15:46:00,1,1,3,14,60
2017-01-03 13:10:00,118.193,1,2017-01-03 14:10:00,118.24,4.7,2017-01-03 15:10:00,2017-01-03 16:10:00,1,1,3,15,60
2017-01-03 13:32:00,118.241,-1,2017-01-03 14:32:00,118.172,6.9,2017-01-03 15:32:00,2017-01-03 16:32:00,1,1,3,15,60
2017-01-03 13:49:00,118.21,1,2017-01-03 14:49:00,118.126,-8.4,2017-01-03 15:49:00,2017-01-03 16:49:00,1,1,3,15,60
2017-01-03 14:06:00,118.229,1,2017-01-03 14:50:00,118.111,-11.8,2017-01-03 16:06:00,2017-01-03 16:50:00,1,1,3,16,44
2017-01-03 14:25:00,118.214,-1,2017-01-03 14:50:00,118.111,10.3,2017-01-03 16:25:00,2017-01-03 16:50:00,1,1,3,16,25
2017-01-03 14:42:00,118.192,1,2017-01-03 14:50:00,118.111,-8.1,2017-01-03 16:42:00,2017-01-03 16:50:00,1,1,3,16,8
2017-01-03 15:29:00,118.42,-1,2017-01-03 16:29:00,117.726,69.4,2017-01-03 17:29:00,2017-01-03 18:29:00,1,1,3,17,60
2017-01-03 15:45:00,118.406,1,2017-01-03 16:45:00,117.445,-96.1,2017-01-03 17:45:00,2017-01-03 18:45:00,1,1,3,17,60
2017-01-03 16:07:00,118.06,1,2017-01-03 17:07:00,117.653,-40.7,2017-01-03 18:07:00,2017-01-03 19:07:00,1,1,3,18,60
2017-01-03 16:59:00,117.614,1,2017-01-03 17:59:00,117.45,-16.4,2017-01-03 18:59:00,2017-01-03 19:59:00,1,1,3,18,60
2017-01-03 17:16:00,117.673,-1,2017-01-03 18:16:00,117.389,28.4,2017-01-03 19:16:00,2017-01-03 20:16:00,1,1,3,19,60
2017-01-03 17:32:00,117.627,1,2017-01-03 18:32:00,117.351,-27.6,2017-01-03 19:32:00,2017-01-03 20:32:00,1,1,3,19,60
2017-01-03 17:53:00,117.48,-1,2017-01-03 18:53:00,117.482,-0.200000000001,2017-01-03 19:53:00,2017-01-03 20:53:00,1,1,3,19,60
2017-01-03 18:17:00,117.363,1,2017-01-03 19:17:00,117.661,29.8,2017-01-03 20:17:00,2017-01-03 21:17:00,1,1,3,20,60
2017-01-03 19:10:00,117.628,1,2017-01-03 20:10:00,117.718,9.0,2017-01-03 21:10:00,2017-01-03 22:10:00,1,1,3,21,60
2017-01-03 19:26:00,117.618,-1,2017-01-03 20:26:00,117.541,7.7,2017-01-03 21:26:00,2017-01-03 22:26:00,1,1,3,21,60
2017-01-03 19:47:00,117.629,-1,2017-01-03 20:47:00,117.629,-0.0,2017-01-03 21:47:00,2017-01-03 22:47:00,1,1,3,21,60
2017-01-03 20:05:00,117.696,1,2017-01-03 21:05:00,117.687,-0.899999999999,2017-01-03 22:05:00,2017-01-03 23:05:00,1,1,3,22,60
2017-01-03 20:33:00,117.546,-1,2017-01-03 21:33:00,117.712,-16.6,2017-01-03 22:33:00,2017-01-03 23:33:00,1,1,3,22,60
2017-01-03 20:56:00,117.663,1,2017-01-03 21:56:00,117.765,10.2,2017-01-03 22:56:00,2017-01-03 23:56:00,1,1,3,22,60
2017-01-03 21:12:00,117.647,-1,2017-01-03 22:12:00,117.711,-6.4,2017-01-03 23:12:00,2017-01-04 00:12:00,1,1,3,23,60
2017-01-03 21:31:00,117.674,-1,2017-01-03 22:32:00,117.715,-4.1,2017-01-03 23:31:00,2017-01-04 00:32:00,1,1,3,23,61
2017-01-03 22:01:00,117.723,-1,2017-01-03 23:02:00,117.66,6.3,2017-01-04 00:01:00,2017-01-04 01:02:00,1,2,4,0,61
2017-01-03 22:17:00,117.703,-1,2017-01-03 23:18:00,117.617,8.6,2017-01-04 00:17:00,2017-01-04 01:18:00,1,2,4,0,61
2017-01-03 22:35:00,117.698,-1,2017-01-03 23:35:00,117.651,4.7,2017-01-04 00:35:00,2017-01-04 01:35:00,1,2,4,0,60
2017-01-03 22:51:00,117.658,-1,2017-01-03 23:51:00,117.587,7.1,2017-01-04 00:51:00,2017-01-04 01:51:00,1,2,4,0,60
2017-01-03 23:07:00,117.653,-1,2017-01-04 00:07:00,117.693,-4.0,2017-01-04 01:07:00,2017-01-04 02:07:00,1,2,4,1,60
2017-01-03 23:35:00,117.651,-1,2017-01-04 00:35:00,117.709,-5.8,2017-01-04 01:35:00,2017-01-04 02:35:00,1,2,4,1,60
2017-01-03 23:53:00,117.593,-1,2017-01-04 00:53:00,117.91,-31.7,2017-01-04 01:53:00,2017-01-04 02:53:00,1,2,4,1,60
2017-01-04 00:16:00,117.745,1,2017-01-04 01:16:00,117.943,19.8,2017-01-04 02:16:00,2017-01-04 03:16:00,1,2,4,2,60
2017-01-04 00:44:00,117.705,-1,2017-01-04 01:44:00,118.038,-33.3,2017-01-04 02:44:00,2017-01-04 03:44:00,1,2,4,2,60
2017-01-04 01:15:00,117.96,-1,2017-01-04 02:15:00,118.074,-11.4,2017-01-04 03:15:00,2017-01-04 04:15:00,1,2,4,3,60
2017-01-04 01:33:00,117.945,1,2017-01-04 02:33:00,118.076,13.1,2017-01-04 03:33:00,2017-01-04 04:33:00,1,2,4,3,60
