buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-04 00:06:00,120.336,-1,2016-01-04 01:55:00,120.1,23.6,2016-01-04 02:06:00,2016-01-04 03:55:00,1,0,4,2,109
2016-01-04 01:49:00,120.28,1,2016-01-04 01:55:00,120.1,-18.0,2016-01-04 03:49:00,2016-01-04 03:55:00,1,0,4,3,6
2016-01-04 02:18:00,119.797,1,2016-01-04 02:48:00,119.659,-13.8,2016-01-04 04:18:00,2016-01-04 04:48:00,1,0,4,4,30
2016-01-04 02:36:00,119.707,1,2016-01-04 04:19:00,119.586,-12.1,2016-01-04 04:36:00,2016-01-04 06:19:00,1,0,4,4,103
2016-01-04 03:00:00,119.817,-1,2016-01-04 04:17:00,119.582,23.5,2016-01-04 05:00:00,2016-01-04 06:17:00,1,0,4,5,77
2016-01-04 04:17:00,119.582,1,2016-01-04 05:33:00,119.438,-14.4,2016-01-04 06:17:00,2016-01-04 07:33:00,1,0,4,6,76
2016-01-04 05:37:00,119.407,1,2016-01-04 05:49:00,119.265,-14.2,2016-01-04 07:37:00,2016-01-04 07:49:00,1,0,4,7,12
2016-01-04 06:30:00,119.46,-1,2016-01-04 07:11:00,119.235,22.5,2016-01-04 08:30:00,2016-01-04 09:11:00,1,0,4,8,41
2016-01-04 07:06:00,119.3,1,2016-01-04 07:41:00,119.151,-14.9,2016-01-04 09:06:00,2016-01-04 09:41:00,1,0,4,9,35
2016-01-04 07:44:00,119.14,1,2016-01-04 07:49:00,118.996,-14.4,2016-01-04 09:44:00,2016-01-04 09:49:00,1,0,4,9,5
2016-01-04 08:02:00,118.915,1,2016-01-04 08:11:00,118.772,-14.3,2016-01-04 10:02:00,2016-01-04 10:11:00,1,0,4,10,9
2016-01-04 08:19:00,118.734,1,2016-01-04 08:34:00,118.94,20.6,2016-01-04 10:19:00,2016-01-04 10:34:00,1,0,4,10,15
2016-01-04 08:38:00,118.962,-1,2016-01-04 08:42:00,119.125,-16.3,2016-01-04 10:38:00,2016-01-04 10:42:00,1,0,4,10,4
2016-01-04 09:01:00,118.998,1,2016-01-04 11:28:00,118.855,-14.3,2016-01-04 11:01:00,2016-01-04 13:28:00,1,0,4,11,147
2016-01-04 09:43:00,118.932,1,2016-01-04 11:38:00,118.775,-15.7,2016-01-04 11:43:00,2016-01-04 13:38:00,1,0,4,11,115
2016-01-04 10:19:00,118.975,-1,2016-01-04 11:38:00,118.775,20.0,2016-01-04 12:19:00,2016-01-04 13:38:00,1,0,4,12,79
2016-01-04 10:46:00,119.053,-1,2016-01-04 11:28:00,118.855,19.8,2016-01-04 12:46:00,2016-01-04 13:28:00,1,0,4,12,42
2016-01-04 11:11:00,118.896,1,2016-01-04 11:39:00,118.733,-16.3,2016-01-04 13:11:00,2016-01-04 13:39:00,1,0,4,13,28
2016-01-04 11:38:00,118.775,1,2016-01-04 12:42:00,118.981,20.6,2016-01-04 13:38:00,2016-01-04 14:42:00,1,0,4,13,64
2016-01-04 11:54:00,118.865,-1,2016-01-04 12:43:00,119.021,-15.6,2016-01-04 13:54:00,2016-01-04 14:43:00,1,0,4,13,49
2016-01-04 12:42:00,118.981,-1,2016-01-04 13:16:00,119.133,-15.2,2016-01-04 14:42:00,2016-01-04 15:16:00,1,0,4,14,34
2016-01-04 13:33:00,119.21,-1,2016-01-04 13:37:00,119.314,-10.4,2016-01-04 15:33:00,2016-01-04 15:37:00,1,0,4,15,4
2016-01-04 13:54:00,119.208,1,2016-01-04 14:44:00,119.057,-15.1,2016-01-04 15:54:00,2016-01-04 16:44:00,1,0,4,15,50
2016-01-04 14:15:00,119.135,1,2016-01-04 15:21:00,119.336,20.1,2016-01-04 16:15:00,2016-01-04 17:21:00,1,0,4,16,66
2016-01-04 14:42:00,119.102,1,2016-01-04 15:20:00,119.305,20.3,2016-01-04 16:42:00,2016-01-04 17:20:00,1,0,4,16,38
2016-01-04 14:58:00,119.178,-1,2016-01-04 15:21:00,119.336,-15.8,2016-01-04 16:58:00,2016-01-04 17:21:00,1,0,4,16,23
2016-01-04 15:18:00,119.264,-1,2016-01-04 16:44:00,119.401,-13.7,2016-01-04 17:18:00,2016-01-04 18:44:00,1,0,4,17,86
2016-01-04 15:36:00,119.201,1,2016-01-04 16:26:00,119.363,16.2,2016-01-04 17:36:00,2016-01-04 18:26:00,1,0,4,17,50
2016-01-04 15:58:00,119.298,-1,2016-01-04 18:06:00,119.442,-14.4,2016-01-04 17:58:00,2016-01-04 20:06:00,1,0,4,17,128
2016-01-04 16:18:00,119.329,-1,2016-01-04 18:12:00,119.493,-16.4,2016-01-04 18:18:00,2016-01-04 20:12:00,1,0,4,18,114
2016-01-04 17:48:00,119.408,-1,2016-01-05 00:54:00,119.209,19.9,2016-01-04 19:48:00,2016-01-05 02:54:00,1,0,4,19,426
