buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-04 01:52:00,120.214,1,2016-01-04 01:59:00,120.025,-18.9,2016-01-04 03:52:00,2016-01-04 03:59:00,1,0,4,3,7
2016-01-04 02:11:00,119.806,1,2016-01-04 04:17:00,119.582,-22.4,2016-01-04 04:11:00,2016-01-04 06:17:00,1,0,4,4,126
2016-01-04 02:36:00,119.707,1,2016-01-04 03:00:00,119.817,11.0,2016-01-04 04:36:00,2016-01-04 05:00:00,1,0,4,4,24
2016-01-04 04:17:00,119.582,1,2016-01-04 05:40:00,119.338,-24.4,2016-01-04 06:17:00,2016-01-04 07:40:00,1,0,4,6,83
2016-01-04 05:42:00,119.329,1,2016-01-04 06:28:00,119.429,10.0,2016-01-04 07:42:00,2016-01-04 08:28:00,1,0,4,7,46
2016-01-04 05:59:00,119.366,-1,2016-01-04 07:10:00,119.269,9.7,2016-01-04 07:59:00,2016-01-04 09:10:00,1,0,4,7,71
2016-01-04 06:31:00,119.455,-1,2016-01-04 07:02:00,119.346,10.9,2016-01-04 08:31:00,2016-01-04 09:02:00,1,0,4,8,31
2016-01-04 07:05:00,119.34,1,2016-01-04 07:41:00,119.151,-18.9,2016-01-04 09:05:00,2016-01-04 09:41:00,1,0,4,9,36
2016-01-04 07:40:00,119.169,1,2016-01-04 07:49:00,118.996,-17.3,2016-01-04 09:40:00,2016-01-04 09:49:00,1,0,4,9,9
2016-01-04 07:56:00,118.981,1,2016-01-04 08:09:00,118.803,-17.8,2016-01-04 09:56:00,2016-01-04 10:09:00,1,0,4,9,13
2016-01-04 08:12:00,118.779,1,2016-01-04 08:33:00,118.911,13.2,2016-01-04 10:12:00,2016-01-04 10:33:00,1,0,4,10,21
2016-01-04 08:28:00,118.849,-1,2016-01-04 08:41:00,119.06,-21.1,2016-01-04 10:28:00,2016-01-04 10:41:00,1,0,4,10,13
2016-01-04 08:45:00,119.109,-1,2016-01-04 08:52:00,119.017,9.2,2016-01-04 10:45:00,2016-01-04 10:52:00,1,0,4,10,7
2016-01-04 09:41:00,118.961,1,2016-01-04 10:47:00,119.061,10.0,2016-01-04 11:41:00,2016-01-04 12:47:00,1,0,4,11,66
2016-01-04 10:25:00,119.005,-1,2016-01-04 11:11:00,118.896,10.9,2016-01-04 12:25:00,2016-01-04 13:11:00,1,0,4,12,46
2016-01-04 11:12:00,118.877,1,2016-01-04 12:42:00,118.981,10.4,2016-01-04 13:12:00,2016-01-04 14:42:00,1,0,4,13,90
2016-01-04 11:39:00,118.733,1,2016-01-04 11:49:00,118.852,11.9,2016-01-04 13:39:00,2016-01-04 13:49:00,1,0,4,13,10
2016-01-04 11:55:00,118.901,-1,2016-01-04 12:00:00,118.794,10.7,2016-01-04 13:55:00,2016-01-04 14:00:00,1,0,4,13,5
2016-01-04 12:43:00,119.021,-1,2016-01-04 13:33:00,119.21,-18.9,2016-01-04 14:43:00,2016-01-04 15:33:00,1,0,4,14,50
2016-01-04 13:33:00,119.21,-1,2016-01-04 14:36:00,119.135,7.5,2016-01-04 15:33:00,2016-01-04 16:36:00,1,0,4,15,63
2016-01-04 14:13:00,119.122,1,2016-01-04 14:27:00,119.234,11.2,2016-01-04 16:13:00,2016-01-04 16:27:00,1,0,4,16,14
2016-01-04 14:43:00,119.079,1,2016-01-04 14:50:00,119.174,9.5,2016-01-04 16:43:00,2016-01-04 16:50:00,1,0,4,16,7
2016-01-04 15:02:00,119.105,1,2016-01-04 15:03:00,119.145,4.0,2016-01-04 17:02:00,2016-01-04 17:03:00,1,0,4,17,1
2016-01-04 15:21:00,119.336,-1,2016-01-04 15:23:00,119.236,10.0,2016-01-04 17:21:00,2016-01-04 17:23:00,1,0,4,17,2
2016-01-04 15:53:00,119.281,-1,2016-01-04 18:12:00,119.493,-21.2,2016-01-04 17:53:00,2016-01-04 20:12:00,1,0,4,17,139
2016-01-04 16:14:00,119.317,-1,2016-01-05 00:02:00,119.513,-19.6,2016-01-04 18:14:00,2016-01-05 02:02:00,1,0,4,18,468
2016-01-04 20:46:00,119.455,-1,2016-01-04 22:19:00,119.342,11.3,2016-01-04 22:46:00,2016-01-05 00:19:00,1,0,4,22,93
2016-01-04 23:58:00,119.468,-1,2016-01-05 00:45:00,119.356,11.2,2016-01-05 01:58:00,2016-01-05 02:45:00,1,1,5,1,47
2016-01-05 00:49:00,119.298,1,2016-01-05 01:16:00,119.137,-16.1,2016-01-05 02:49:00,2016-01-05 03:16:00,1,1,5,2,27
2016-01-05 01:13:00,119.154,1,2016-01-05 01:20:00,119.299,14.5,2016-01-05 03:13:00,2016-01-05 03:20:00,1,1,5,3,7
2016-01-05 01:35:00,119.381,-1,2016-01-05 01:51:00,119.59,-20.9,2016-01-05 03:35:00,2016-01-05 03:51:00,1,1,5,3,16
2016-01-05 01:55:00,119.557,-1,2016-01-05 04:31:00,119.435,12.2,2016-01-05 03:55:00,2016-01-05 06:31:00,1,1,5,3,156
2016-01-05 04:31:00,119.435,1,2016-01-05 04:58:00,119.542,10.7,2016-01-05 06:31:00,2016-01-05 06:58:00,1,1,5,6,27
2016-01-05 05:18:00,119.436,1,2016-01-05 07:15:00,119.543,10.7,2016-01-05 07:18:00,2016-01-05 09:15:00,1,1,5,7,117
2016-01-05 06:12:00,119.337,1,2016-01-05 06:39:00,119.47,13.3,2016-01-05 08:12:00,2016-01-05 08:39:00,1,1,5,8,27
2016-01-05 07:41:00,119.459,1,2016-01-05 08:12:00,119.261,-19.8,2016-01-05 09:41:00,2016-01-05 10:12:00,1,1,5,9,31
2016-01-05 08:11:00,119.291,1,2016-01-05 09:07:00,119.087,-20.4,2016-01-05 10:11:00,2016-01-05 11:07:00,1,1,5,10,56
2016-01-05 09:02:00,119.145,1,2016-01-05 10:02:00,118.94,-20.5,2016-01-05 11:02:00,2016-01-05 12:02:00,1,1,5,11,60
2016-01-05 09:20:00,119.001,1,2016-01-05 09:40:00,119.101,10.0,2016-01-05 11:20:00,2016-01-05 11:40:00,1,1,5,11,20
2016-01-05 10:01:00,118.984,1,2016-01-05 10:57:00,119.084,10.0,2016-01-05 12:01:00,2016-01-05 12:57:00,1,1,5,12,56
2016-01-05 10:26:00,118.94,-1,2016-01-05 11:04:00,119.145,-20.5,2016-01-05 12:26:00,2016-01-05 13:04:00,1,1,5,12,38
2016-01-05 11:00:00,119.116,-1,2016-01-05 11:43:00,119.031,8.5,2016-01-05 13:00:00,2016-01-05 13:43:00,1,1,5,13,43
2016-01-05 11:50:00,118.919,1,2016-01-05 13:15:00,119.012,9.3,2016-01-05 13:50:00,2016-01-05 15:15:00,1,1,5,13,85
2016-01-05 12:15:00,118.897,1,2016-01-05 13:14:00,118.995,9.8,2016-01-05 14:15:00,2016-01-05 15:14:00,1,1,5,14,59
2016-01-05 13:13:00,118.996,-1,2016-01-05 15:50:00,119.242,-24.6,2016-01-05 15:13:00,2016-01-05 17:50:00,1,1,5,15,157
2016-01-05 13:31:00,118.954,1,2016-01-05 13:47:00,119.038,8.4,2016-01-05 15:31:00,2016-01-05 15:47:00,1,1,5,15,16
2016-01-05 13:53:00,119.129,-1,2016-01-05 14:21:00,119.038,9.1,2016-01-05 15:53:00,2016-01-05 16:21:00,1,1,5,15,28
2016-01-05 14:32:00,119.142,-1,2016-01-05 15:24:00,119.025,11.7,2016-01-05 16:32:00,2016-01-05 17:24:00,1,1,5,16,52
2016-01-05 15:29:00,118.991,1,2016-01-05 15:42:00,119.089,9.8,2016-01-05 17:29:00,2016-01-05 17:42:00,1,1,5,17,13
2016-01-05 15:45:00,119.099,-1,2016-01-05 16:45:00,118.989,11.0,2016-01-05 17:45:00,2016-01-05 18:45:00,1,1,5,17,60
2016-01-05 16:03:00,119.114,1,2016-01-05 17:05:00,118.903,-21.1,2016-01-05 18:03:00,2016-01-05 19:05:00,1,1,5,18,62
2016-01-05 16:45:00,118.989,1,2016-01-05 22:44:00,119.094,10.5,2016-01-05 18:45:00,2016-01-06 00:44:00,1,1,5,18,359
2016-01-05 18:15:00,118.889,1,2016-01-05 18:46:00,118.992,10.3,2016-01-05 20:15:00,2016-01-05 20:46:00,1,1,5,20,31
2016-01-06 01:34:00,118.578,-1,2016-01-06 02:10:00,118.483,9.5,2016-01-06 03:34:00,2016-01-06 04:10:00,1,2,6,3,36
2016-01-06 02:38:00,118.534,1,2016-01-06 03:43:00,118.659,12.5,2016-01-06 04:38:00,2016-01-06 05:43:00,1,2,6,4,65
2016-01-06 03:35:00,118.419,1,2016-01-06 03:37:00,118.512,9.3,2016-01-06 05:35:00,2016-01-06 05:37:00,1,2,6,5,2
2016-01-06 04:03:00,118.68,-1,2016-01-06 06:34:00,118.588,9.2,2016-01-06 06:03:00,2016-01-06 08:34:00,1,2,6,6,151
2016-01-06 04:21:00,118.81,-1,2016-01-06 04:35:00,118.702,10.8,2016-01-06 06:21:00,2016-01-06 06:35:00,1,2,6,6,14
2016-01-06 06:19:00,118.651,1,2016-01-06 07:11:00,118.757,10.6,2016-01-06 08:19:00,2016-01-06 09:11:00,1,2,6,8,52
2016-01-06 06:35:00,118.598,1,2016-01-06 07:07:00,118.734,13.6,2016-01-06 08:35:00,2016-01-06 09:07:00,1,2,6,8,32
2016-01-06 07:11:00,118.757,-1,2016-01-06 07:30:00,118.656,10.1,2016-01-06 09:11:00,2016-01-06 09:30:00,1,2,6,9,19
2016-01-06 08:14:00,118.613,1,2016-01-06 09:55:00,118.422,-19.1,2016-01-06 10:14:00,2016-01-06 11:55:00,1,2,6,10,101
2016-01-06 08:30:00,118.503,1,2016-01-06 09:30:00,118.593,9.0,2016-01-06 10:30:00,2016-01-06 11:30:00,1,2,6,10,60
2016-01-06 08:56:00,118.563,-1,2016-01-06 09:46:00,118.459,10.4,2016-01-06 10:56:00,2016-01-06 11:46:00,1,2,6,10,50
2016-01-06 10:27:00,118.359,1,2016-01-06 10:43:00,118.455,9.6,2016-01-06 12:27:00,2016-01-06 12:43:00,1,2,6,12,16
2016-01-06 11:05:00,118.272,1,2016-01-06 11:09:00,118.365,9.3,2016-01-06 13:05:00,2016-01-06 13:09:00,1,2,6,13,4
2016-01-06 12:36:00,118.345,1,2016-01-06 13:16:00,118.474,12.9,2016-01-06 14:36:00,2016-01-06 15:16:00,1,2,6,14,40
2016-01-06 13:19:00,118.492,-1,2016-01-06 13:23:00,118.387,10.5,2016-01-06 15:19:00,2016-01-06 15:23:00,1,2,6,15,4
2016-01-06 13:35:00,118.533,-1,2016-01-06 15:21:00,118.736,-20.3,2016-01-06 15:35:00,2016-01-06 17:21:00,1,2,6,15,106
2016-01-06 13:58:00,118.693,-1,2016-01-06 14:11:00,118.565,12.8,2016-01-06 15:58:00,2016-01-06 16:11:00,1,2,6,15,13
2016-01-06 15:21:00,118.736,-1,2016-01-06 15:37:00,118.632,10.4,2016-01-06 17:21:00,2016-01-06 17:37:00,1,2,6,17,16
2016-01-06 15:37:00,118.632,1,2016-01-06 19:04:00,118.435,-19.7,2016-01-06 17:37:00,2016-01-06 21:04:00,1,2,6,17,207
