buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-03 16:17:00,117.891,1,2017-01-03 18:17:00,117.363,-52.8,2017-01-03 18:17:00,2017-01-03 20:17:00,1,1,3,18,120
2017-01-03 16:37:00,117.547,1,2017-01-03 18:37:00,117.291,-25.6,2017-01-03 18:37:00,2017-01-03 20:37:00,1,1,3,18,120
2017-01-05 00:04:00,116.786,1,2017-01-05 02:04:00,116.567,-21.9,2017-01-05 02:04:00,2017-01-05 04:04:00,1,3,5,2,120
2017-01-05 00:20:00,116.729,1,2017-01-05 02:20:00,116.49,-23.9,2017-01-05 02:20:00,2017-01-05 04:20:00,1,3,5,2,120
2017-01-05 06:38:00,115.829,1,2017-01-05 08:38:00,116.356,52.7,2017-01-05 08:38:00,2017-01-05 10:38:00,1,3,5,8,120
2017-01-05 06:59:00,115.702,1,2017-01-05 08:59:00,116.327,62.5,2017-01-05 08:59:00,2017-01-05 10:59:00,1,3,5,8,120
2017-01-05 08:32:00,116.265,-1,2017-01-05 10:32:00,116.5,-23.5,2017-01-05 10:32:00,2017-01-05 12:32:00,1,3,5,10,120
2017-01-05 08:50:00,116.371,-1,2017-01-05 10:50:00,116.651,-28.0,2017-01-05 10:50:00,2017-01-05 12:50:00,1,3,5,10,120
2017-01-05 13:44:00,115.978,1,2017-01-05 15:44:00,115.555,-42.3,2017-01-05 15:44:00,2017-01-05 17:44:00,1,3,5,15,120
2017-01-05 15:29:00,115.508,1,2017-01-05 17:29:00,115.426,-8.2,2017-01-05 17:29:00,2017-01-05 19:29:00,1,3,5,17,120
2017-01-05 15:49:00,115.411,1,2017-01-05 17:49:00,115.474,6.3,2017-01-05 17:49:00,2017-01-05 19:49:00,1,3,5,17,120
2017-01-06 13:54:00,116.611,-1,2017-01-06 15:54:00,116.484,12.7,2017-01-06 15:54:00,2017-01-06 17:54:00,1,4,6,15,120
2017-01-10 02:45:00,115.634,1,2017-01-10 04:45:00,115.411,-22.3,2017-01-10 04:45:00,2017-01-10 06:45:00,1,1,10,4,120
2017-01-10 14:45:00,115.582,1,2017-01-10 16:45:00,115.603,2.1,2017-01-10 16:45:00,2017-01-10 18:45:00,1,1,10,16,120
2017-01-11 16:31:00,116.049,1,2017-01-11 18:31:00,114.509,-154.0,2017-01-11 18:31:00,2017-01-11 20:31:00,1,2,11,18,120
2017-01-11 16:47:00,115.843,1,2017-01-11 18:47:00,115.053,-79.0,2017-01-11 18:47:00,2017-01-11 20:47:00,1,2,11,18,120
2017-01-11 17:03:00,116.512,-1,2017-01-11 19:03:00,114.946,156.6,2017-01-11 19:03:00,2017-01-11 21:03:00,1,2,11,19,120
2017-01-11 17:31:00,115.953,1,2017-01-11 19:31:00,115.341,-61.2,2017-01-11 19:31:00,2017-01-11 21:31:00,1,2,11,19,120
2017-01-11 17:55:00,115.314,1,2017-01-11 19:55:00,115.463,14.9,2017-01-11 19:55:00,2017-01-11 21:55:00,1,2,11,19,120
2017-01-11 18:13:00,114.579,1,2017-01-11 20:13:00,115.444,86.5,2017-01-11 20:13:00,2017-01-11 22:13:00,1,2,11,20,120
2017-01-11 18:29:00,114.517,1,2017-01-11 20:29:00,115.501,98.4,2017-01-11 20:29:00,2017-01-11 22:29:00,1,2,11,20,120
2017-01-11 18:47:00,115.053,-1,2017-01-11 20:47:00,115.458,-40.5,2017-01-11 20:47:00,2017-01-11 22:47:00,1,2,11,20,120
2017-01-11 19:03:00,114.946,-1,2017-01-11 21:03:00,115.398,-45.2,2017-01-11 21:03:00,2017-01-11 23:03:00,1,2,11,21,120
2017-01-12 13:44:00,114.464,-1,2017-01-12 15:44:00,114.156,30.8,2017-01-12 15:44:00,2017-01-12 17:44:00,1,3,12,15,120
2017-01-12 15:08:00,113.96,1,2017-01-12 17:08:00,113.97,1.0,2017-01-12 17:08:00,2017-01-12 19:08:00,1,3,12,17,120
2017-01-13 14:00:00,114.805,-1,2017-01-13 16:00:00,114.993,-18.8,2017-01-13 16:00:00,2017-01-13 18:00:00,1,4,13,16,120
2017-01-13 14:21:00,115.133,-1,2017-01-13 16:21:00,115.048,8.5,2017-01-13 16:21:00,2017-01-13 18:21:00,1,4,13,16,120
2017-01-17 12:18:00,113.249,-1,2017-01-17 14:18:00,113.039,21.0,2017-01-17 14:18:00,2017-01-17 16:18:00,1,1,17,14,120
2017-01-17 14:12:00,113.031,1,2017-01-17 16:12:00,112.92,-11.1,2017-01-17 16:12:00,2017-01-17 18:12:00,1,1,17,16,120
