buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-01 22:49:00,116.896,1,2017-01-01 22:50:00,116.941,4.5,2017-01-02 00:49:00,2017-01-02 00:50:00,1,0,2,0,1
2017-01-01 23:09:00,116.747,1,2017-01-01 23:10:00,116.749,0.199999999998,2017-01-02 01:09:00,2017-01-02 01:10:00,1,0,2,1,1
2017-01-02 02:10:00,116.832,1,2017-01-02 04:06:00,116.818,-1.4,2017-01-02 04:10:00,2017-01-02 06:06:00,1,0,2,4,116
2017-01-02 02:35:00,116.825,1,2017-01-02 04:30:00,116.818,-0.700000000001,2017-01-02 04:35:00,2017-01-02 06:30:00,1,0,2,4,115
2017-01-02 06:35:00,116.861,1,2017-01-02 08:00:00,117.123,26.2,2017-01-02 08:35:00,2017-01-02 10:00:00,1,0,2,8,85
2017-01-03 07:42:00,117.896,1,2017-01-03 08:42:00,117.891,-0.5,2017-01-03 09:42:00,2017-01-03 10:42:00,1,1,3,9,60
2017-01-03 08:00:00,117.84,1,2017-01-03 09:00:00,118.059,21.9,2017-01-03 10:00:00,2017-01-03 11:00:00,1,1,3,10,60
2017-01-03 08:18:00,117.914,1,2017-01-03 09:18:00,118.073,15.9,2017-01-03 10:18:00,2017-01-03 11:18:00,1,1,3,10,60
2017-01-03 16:21:00,117.765,1,2017-01-03 16:37:00,117.547,-21.8,2017-01-03 18:21:00,2017-01-03 18:37:00,1,1,3,18,16
2017-01-04 00:52:00,117.918,1,2017-01-04 01:52:00,118.11,19.2,2017-01-04 02:52:00,2017-01-04 03:52:00,1,2,4,2,60
2017-01-04 08:12:00,117.721,1,2017-01-04 09:12:00,117.742,2.1,2017-01-04 10:12:00,2017-01-04 11:12:00,1,2,4,10,60
2017-01-05 06:49:00,115.829,1,2017-01-05 07:00:00,115.739,-9.0,2017-01-05 08:49:00,2017-01-05 09:00:00,1,3,5,8,11
2017-01-05 07:05:00,115.769,1,2017-01-05 08:05:00,115.882,11.3,2017-01-05 09:05:00,2017-01-05 10:05:00,1,3,5,9,60
2017-01-05 07:47:00,115.88,1,2017-01-05 08:03:00,115.753,-12.7,2017-01-05 09:47:00,2017-01-05 10:03:00,1,3,5,9,16
2017-01-05 08:03:00,115.753,1,2017-01-05 09:03:00,116.287,53.4,2017-01-05 10:03:00,2017-01-05 11:03:00,1,3,5,10,60
2017-01-05 08:19:00,115.89,1,2017-01-05 09:19:00,116.422,53.2,2017-01-05 10:19:00,2017-01-05 11:19:00,1,3,5,10,60
2017-01-05 15:13:00,115.798,1,2017-01-05 15:29:00,115.508,-29.0,2017-01-05 17:13:00,2017-01-05 17:29:00,1,3,5,17,16
2017-01-05 15:29:00,115.508,1,2017-01-05 15:53:00,115.321,-18.7,2017-01-05 17:29:00,2017-01-05 17:53:00,1,3,5,17,24
2017-01-06 01:19:00,115.895,1,2017-01-06 02:19:00,115.896,0.1,2017-01-06 03:19:00,2017-01-06 04:19:00,1,4,6,3,60
2017-01-06 02:01:00,115.919,1,2017-01-06 02:42:00,115.736,-18.3,2017-01-06 04:01:00,2017-01-06 04:42:00,1,4,6,4,41
2017-01-06 02:29:00,115.888,1,2017-01-06 03:10:00,115.683,-20.5,2017-01-06 04:29:00,2017-01-06 05:10:00,1,4,6,4,41
2017-01-06 03:33:00,115.893,1,2017-01-06 04:07:00,115.69,-20.3,2017-01-06 05:33:00,2017-01-06 06:07:00,1,4,6,5,34
2017-01-06 04:53:00,115.875,1,2017-01-06 05:53:00,115.992,11.7,2017-01-06 06:53:00,2017-01-06 07:53:00,1,4,6,6,60
2017-01-06 05:09:00,115.928,1,2017-01-06 06:09:00,115.817,-11.1,2017-01-06 07:09:00,2017-01-06 08:09:00,1,4,6,7,60
2017-01-06 06:09:00,115.817,1,2017-01-06 07:09:00,116.154,33.7,2017-01-06 08:09:00,2017-01-06 09:09:00,1,4,6,8,60
2017-01-06 06:26:00,115.895,1,2017-01-06 07:26:00,116.134,23.9,2017-01-06 08:26:00,2017-01-06 09:26:00,1,4,6,8,60
2017-01-06 10:49:00,115.852,1,2017-01-06 11:49:00,115.994,14.2,2017-01-06 12:49:00,2017-01-06 13:49:00,1,4,6,12,60
2017-01-06 11:09:00,115.883,1,2017-01-06 12:09:00,116.049,16.6,2017-01-06 13:09:00,2017-01-06 14:09:00,1,4,6,13,60
2017-01-06 16:47:00,116.869,1,2017-01-06 17:47:00,116.911,4.2,2017-01-06 18:47:00,2017-01-06 19:47:00,1,4,6,18,60
2017-01-06 17:03:00,116.862,1,2017-01-06 18:03:00,116.9,3.8,2017-01-06 19:03:00,2017-01-06 20:03:00,1,4,6,19,60
2017-01-06 17:19:00,116.954,1,2017-01-06 18:19:00,116.9,-5.4,2017-01-06 19:19:00,2017-01-06 20:19:00,1,4,6,19,60
2017-01-06 18:04:00,116.834,1,2017-01-06 19:04:00,117.117,28.3,2017-01-06 20:04:00,2017-01-06 21:04:00,1,4,6,20,60
2017-01-06 18:20:00,116.902,1,2017-01-06 19:20:00,117.065,16.3,2017-01-06 20:20:00,2017-01-06 21:20:00,1,4,6,20,60
2017-01-09 11:21:00,116.836,1,2017-01-09 11:49:00,116.687,-14.9,2017-01-09 13:21:00,2017-01-09 13:49:00,1,0,9,13,28
2017-01-09 22:12:00,115.848,1,2017-01-09 23:12:00,115.923,7.5,2017-01-10 00:12:00,2017-01-10 01:12:00,1,1,10,0,60
2017-01-09 22:58:00,115.885,1,2017-01-09 23:58:00,115.985,10.0,2017-01-10 00:58:00,2017-01-10 01:58:00,1,1,10,0,60
2017-01-10 00:12:00,115.878,1,2017-01-10 01:12:00,115.956,7.8,2017-01-10 02:12:00,2017-01-10 03:12:00,1,1,10,2,60
2017-01-10 01:29:00,115.935,1,2017-01-10 02:29:00,115.93,-0.5,2017-01-10 03:29:00,2017-01-10 04:29:00,1,1,10,3,60
2017-01-10 02:37:00,115.669,1,2017-01-10 03:32:00,115.433,-23.6,2017-01-10 04:37:00,2017-01-10 05:32:00,1,1,10,4,55
2017-01-10 07:49:00,115.894,1,2017-01-10 08:49:00,115.755,-13.9,2017-01-10 09:49:00,2017-01-10 10:49:00,1,1,10,9,60
2017-01-10 08:05:00,115.96,1,2017-01-10 08:20:00,115.766,-19.4,2017-01-10 10:05:00,2017-01-10 10:20:00,1,1,10,10,15
2017-01-10 08:21:00,115.754,1,2017-01-10 09:21:00,116.027,27.3,2017-01-10 10:21:00,2017-01-10 11:21:00,1,1,10,10,60
2017-01-10 09:11:00,115.89,1,2017-01-10 10:11:00,116.035,14.5,2017-01-10 11:11:00,2017-01-10 12:11:00,1,1,10,11,60
2017-01-10 10:45:00,115.865,1,2017-01-10 11:45:00,115.962,9.7,2017-01-10 12:45:00,2017-01-10 13:45:00,1,1,10,12,60
2017-01-10 11:08:00,115.861,1,2017-01-10 12:08:00,115.923,6.2,2017-01-10 13:08:00,2017-01-10 14:08:00,1,1,10,13,60
2017-01-10 14:35:00,115.77,1,2017-01-10 14:45:00,115.582,-18.8,2017-01-10 16:35:00,2017-01-10 16:45:00,1,1,10,16,10
2017-01-10 17:18:00,115.924,1,2017-01-10 18:18:00,115.905,-1.9,2017-01-10 19:18:00,2017-01-10 20:18:00,1,1,10,19,60
2017-01-10 17:53:00,115.834,1,2017-01-10 18:53:00,115.788,-4.6,2017-01-10 19:53:00,2017-01-10 20:53:00,1,1,10,19,60
2017-01-10 18:09:00,115.837,1,2017-01-10 19:09:00,115.725,-11.2,2017-01-10 20:09:00,2017-01-10 21:09:00,1,1,10,20,60
2017-01-10 18:25:00,115.888,1,2017-01-10 19:03:00,115.676,-21.2,2017-01-10 20:25:00,2017-01-10 21:03:00,1,1,10,20,38
2017-01-11 00:53:00,115.903,1,2017-01-11 01:53:00,115.825,-7.8,2017-01-11 02:53:00,2017-01-11 03:53:00,1,2,11,2,60
2017-01-11 01:52:00,115.851,1,2017-01-11 02:52:00,116.142,29.1,2017-01-11 03:52:00,2017-01-11 04:52:00,1,2,11,3,60
2017-01-11 06:19:00,115.873,1,2017-01-11 07:19:00,115.94,6.7,2017-01-11 08:19:00,2017-01-11 09:19:00,1,2,11,8,60
2017-01-11 08:27:00,115.83,1,2017-01-11 09:27:00,116.046,21.6,2017-01-11 10:27:00,2017-01-11 11:27:00,1,2,11,10,60
2017-01-11 08:43:00,115.916,1,2017-01-11 09:43:00,116.187,27.1,2017-01-11 10:43:00,2017-01-11 11:43:00,1,2,11,10,60
2017-01-11 16:52:00,115.847,1,2017-01-11 16:53:00,115.864,1.7,2017-01-11 18:52:00,2017-01-11 18:53:00,1,2,11,18,1
2017-01-11 17:28:00,115.937,1,2017-01-11 17:36:00,115.723,-21.4,2017-01-11 19:28:00,2017-01-11 19:36:00,1,2,11,19,8
2017-01-11 17:44:00,115.595,1,2017-01-11 17:52:00,115.392,-20.3,2017-01-11 19:44:00,2017-01-11 19:52:00,1,2,11,19,8
2017-01-11 18:17:00,114.393,1,2017-01-11 19:17:00,115.083,69.0,2017-01-11 20:17:00,2017-01-11 21:17:00,1,2,11,20,60
2017-01-11 18:42:00,114.878,1,2017-01-11 19:42:00,115.383,50.5,2017-01-11 20:42:00,2017-01-11 21:42:00,1,2,11,20,60
2017-01-12 02:22:00,114.824,1,2017-01-12 02:48:00,114.668,-15.6,2017-01-12 04:22:00,2017-01-12 04:48:00,1,3,12,4,26
2017-01-12 08:53:00,113.917,1,2017-01-12 09:53:00,114.017,10.0,2017-01-12 10:53:00,2017-01-12 11:53:00,1,3,12,10,60
2017-01-12 15:27:00,113.992,1,2017-01-12 16:27:00,113.973,-1.9,2017-01-12 17:27:00,2017-01-12 18:27:00,1,3,12,17,60
2017-01-12 16:15:00,113.904,1,2017-01-12 17:15:00,113.956,5.2,2017-01-12 18:15:00,2017-01-12 19:15:00,1,3,12,18,60
2017-01-12 17:00:00,113.876,1,2017-01-12 18:00:00,114.036,16.0,2017-01-12 19:00:00,2017-01-12 20:00:00,1,3,12,19,60
2017-01-13 00:13:00,114.872,1,2017-01-13 01:13:00,114.958,8.6,2017-01-13 02:13:00,2017-01-13 03:13:00,1,4,13,2,60
2017-01-13 00:29:00,114.837,1,2017-01-13 01:29:00,114.975,13.8,2017-01-13 02:29:00,2017-01-13 03:29:00,1,4,13,2,60
2017-01-13 01:48:00,114.858,1,2017-01-13 02:48:00,115.109,25.1,2017-01-13 03:48:00,2017-01-13 04:48:00,1,4,13,3,60
2017-01-13 02:13:00,114.855,1,2017-01-13 03:13:00,115.126,27.1,2017-01-13 04:13:00,2017-01-13 05:13:00,1,4,13,4,60
2017-01-13 06:14:00,114.85,1,2017-01-13 07:14:00,114.682,-16.8,2017-01-13 08:14:00,2017-01-13 09:14:00,1,4,13,8,60
2017-01-13 06:34:00,114.874,1,2017-01-13 07:12:00,114.672,-20.2,2017-01-13 08:34:00,2017-01-13 09:12:00,1,4,13,8,38
2017-01-13 06:55:00,114.879,1,2017-01-13 07:12:00,114.672,-20.7,2017-01-13 08:55:00,2017-01-13 09:12:00,1,4,13,8,17
2017-01-13 13:35:00,114.923,1,2017-01-13 13:39:00,114.737,-18.6,2017-01-13 15:35:00,2017-01-13 15:39:00,1,4,13,15,4
2017-01-13 14:08:00,114.932,1,2017-01-13 15:08:00,115.277,34.5,2017-01-13 16:08:00,2017-01-13 17:08:00,1,4,13,16,60
2017-01-13 17:23:00,114.789,1,2017-01-13 18:23:00,114.733,-5.6,2017-01-13 19:23:00,2017-01-13 20:23:00,1,4,13,19,60
2017-01-16 06:39:00,113.817,1,2017-01-16 07:39:00,113.989,17.2,2017-01-16 08:39:00,2017-01-16 09:39:00,1,0,16,8,60
2017-01-16 07:11:00,113.904,1,2017-01-16 08:11:00,114.137,23.3,2017-01-16 09:11:00,2017-01-16 10:11:00,1,0,16,9,60
2017-01-16 07:27:00,113.926,1,2017-01-16 08:27:00,114.072,14.6,2017-01-16 09:27:00,2017-01-16 10:27:00,1,0,16,9,60
