buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-03 08:25:00,117.973,1,2017-01-03 09:25:00,118.083,11.0,2017-01-03 10:25:00,2017-01-03 11:25:00,1,1,3,10,60
2017-01-03 08:58:00,117.989,1,2017-01-03 09:58:00,118.149,16.0,2017-01-03 10:58:00,2017-01-03 11:58:00,1,1,3,10,60
2017-01-03 16:21:00,117.765,1,2017-01-03 17:21:00,117.632,-13.3,2017-01-03 18:21:00,2017-01-03 19:21:00,1,1,3,18,60
2017-01-04 01:35:00,117.948,1,2017-01-04 02:35:00,118.082,13.4,2017-01-04 03:35:00,2017-01-04 04:35:00,1,2,4,3,60
2017-01-04 03:40:00,117.962,1,2017-01-04 04:40:00,117.963,0.0999999999991,2017-01-04 05:40:00,2017-01-04 06:40:00,1,2,4,5,60
2017-01-05 15:13:00,115.798,1,2017-01-05 16:13:00,115.283,-51.5,2017-01-05 17:13:00,2017-01-05 18:13:00,1,3,5,17,60
2017-01-06 01:26:00,115.964,1,2017-01-06 02:26:00,115.907,-5.7,2017-01-06 03:26:00,2017-01-06 04:26:00,1,4,6,3,60
2017-01-06 01:43:00,115.989,1,2017-01-06 02:43:00,115.749,-24.0,2017-01-06 03:43:00,2017-01-06 04:43:00,1,4,6,3,60
2017-01-06 06:39:00,115.997,1,2017-01-06 07:39:00,116.168,17.1,2017-01-06 08:39:00,2017-01-06 09:39:00,1,4,6,8,60
2017-01-06 09:35:00,115.917,1,2017-01-06 10:35:00,115.963,4.6,2017-01-06 11:35:00,2017-01-06 12:35:00,1,4,6,11,60
2017-01-06 10:21:00,115.985,1,2017-01-06 11:21:00,115.896,-8.9,2017-01-06 12:21:00,2017-01-06 13:21:00,1,4,6,12,60
2017-01-06 11:49:00,115.994,1,2017-01-06 12:49:00,116.1,10.6,2017-01-06 13:49:00,2017-01-06 14:49:00,1,4,6,13,60
2017-01-06 17:24:00,116.978,1,2017-01-06 18:24:00,116.934,-4.4,2017-01-06 19:24:00,2017-01-06 20:24:00,1,4,6,19,60
2017-01-09 09:42:00,116.955,1,2017-01-09 10:42:00,117.144,18.9,2017-01-09 11:42:00,2017-01-09 12:42:00,1,0,9,11,60
2017-01-10 02:37:00,115.669,1,2017-01-10 03:37:00,115.369,-30.0,2017-01-10 04:37:00,2017-01-10 05:37:00,1,1,10,4,60
2017-01-10 11:52:00,115.964,1,2017-01-10 12:52:00,116.126,16.2,2017-01-10 13:52:00,2017-01-10 14:52:00,1,1,10,13,60
2017-01-11 01:01:00,115.998,1,2017-01-11 02:01:00,115.961,-3.7,2017-01-11 03:01:00,2017-01-11 04:01:00,1,2,11,3,60
2017-01-11 01:46:00,115.889,1,2017-01-11 02:46:00,116.163,27.4,2017-01-11 03:46:00,2017-01-11 04:46:00,1,2,11,3,60
2017-01-11 07:28:00,115.963,1,2017-01-11 08:28:00,115.846,-11.7,2017-01-11 09:28:00,2017-01-11 10:28:00,1,2,11,9,60
2017-01-11 08:27:00,115.83,1,2017-01-11 09:27:00,116.046,21.6,2017-01-11 10:27:00,2017-01-11 11:27:00,1,2,11,10,60
2017-01-11 08:57:00,115.98,1,2017-01-11 09:57:00,116.186,20.6,2017-01-11 10:57:00,2017-01-11 11:57:00,1,2,11,10,60
2017-01-11 16:52:00,115.847,1,2017-01-11 16:53:00,115.864,1.7,2017-01-11 18:52:00,2017-01-11 18:53:00,1,2,11,18,1
2017-01-11 18:44:00,114.948,1,2017-01-11 19:44:00,115.397,44.9,2017-01-11 20:44:00,2017-01-11 21:44:00,1,2,11,20,60
2017-01-12 08:56:00,113.99,1,2017-01-12 09:56:00,114.049,5.9,2017-01-12 10:56:00,2017-01-12 11:56:00,1,3,12,10,60
2017-01-12 15:27:00,113.992,1,2017-01-12 16:27:00,113.973,-1.9,2017-01-12 17:27:00,2017-01-12 18:27:00,1,3,12,17,60
2017-01-13 00:53:00,114.972,1,2017-01-13 01:53:00,114.861,-11.1,2017-01-13 02:53:00,2017-01-13 03:53:00,1,4,13,2,60
