buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-03 08:25:00,117.973,1,2017-01-03 08:35:00,117.989,1.6,2017-01-03 10:25:00,2017-01-03 10:35:00,1,1,3,10,10
2017-01-03 08:58:00,117.989,1,2017-01-03 09:08:00,118.042,5.3,2017-01-03 10:58:00,2017-01-03 11:08:00,1,1,3,10,10
2017-01-03 16:21:00,117.765,1,2017-01-03 16:31:00,117.678,-8.7,2017-01-03 18:21:00,2017-01-03 18:31:00,1,1,3,18,10
2017-01-04 01:18:00,117.908,1,2017-01-04 01:28:00,117.922,1.4,2017-01-04 03:18:00,2017-01-04 03:28:00,1,2,4,3,10
2017-01-04 01:35:00,117.948,1,2017-01-04 01:45:00,118.033,8.5,2017-01-04 03:35:00,2017-01-04 03:45:00,1,2,4,3,10
2017-01-04 03:07:00,117.961,1,2017-01-04 03:17:00,117.969,0.8,2017-01-04 05:07:00,2017-01-04 05:17:00,1,2,4,5,10
2017-01-04 03:27:00,117.953,1,2017-01-04 03:37:00,117.969,1.6,2017-01-04 05:27:00,2017-01-04 05:37:00,1,2,4,5,10
2017-01-04 03:43:00,117.981,1,2017-01-04 03:53:00,117.984,0.299999999999,2017-01-04 05:43:00,2017-01-04 05:53:00,1,2,4,5,10
2017-01-04 04:01:00,117.945,1,2017-01-04 04:11:00,117.954,0.9,2017-01-04 06:01:00,2017-01-04 06:11:00,1,2,4,6,10
2017-01-04 04:22:00,117.996,1,2017-01-04 04:32:00,117.999,0.299999999999,2017-01-04 06:22:00,2017-01-04 06:32:00,1,2,4,6,10
2017-01-05 15:13:00,115.798,1,2017-01-05 15:23:00,115.89,9.2,2017-01-05 17:13:00,2017-01-05 17:23:00,1,3,5,17,10
2017-01-06 01:26:00,115.964,1,2017-01-06 01:36:00,115.875,-8.9,2017-01-06 03:26:00,2017-01-06 03:36:00,1,4,6,3,10
2017-01-06 01:43:00,115.989,1,2017-01-06 01:53:00,115.931,-5.8,2017-01-06 03:43:00,2017-01-06 03:53:00,1,4,6,3,10
2017-01-06 05:50:00,115.995,1,2017-01-06 06:00:00,115.928,-6.7,2017-01-06 07:50:00,2017-01-06 08:00:00,1,4,6,7,10
2017-01-06 06:39:00,115.997,1,2017-01-06 06:49:00,116.167,17.0,2017-01-06 08:39:00,2017-01-06 08:49:00,1,4,6,8,10
2017-01-06 09:35:00,115.917,1,2017-01-06 09:45:00,115.917,0.0,2017-01-06 11:35:00,2017-01-06 11:45:00,1,4,6,11,10
2017-01-06 10:21:00,115.985,1,2017-01-06 10:31:00,116.007,2.2,2017-01-06 12:21:00,2017-01-06 12:31:00,1,4,6,12,10
2017-01-06 11:49:00,115.994,1,2017-01-06 11:59:00,116.009,1.5,2017-01-06 13:49:00,2017-01-06 13:59:00,1,4,6,13,10
2017-01-06 17:24:00,116.978,1,2017-01-06 17:34:00,116.984,0.6,2017-01-06 19:24:00,2017-01-06 19:34:00,1,4,6,19,10
2017-01-06 17:47:00,116.911,1,2017-01-06 17:57:00,116.884,-2.7,2017-01-06 19:47:00,2017-01-06 19:57:00,1,4,6,19,10
2017-01-06 18:40:00,116.993,1,2017-01-06 18:50:00,116.986,-0.699999999999,2017-01-06 20:40:00,2017-01-06 20:50:00,1,4,6,20,10
2017-01-09 09:42:00,116.955,1,2017-01-09 09:52:00,117.017,6.2,2017-01-09 11:42:00,2017-01-09 11:52:00,1,0,9,11,10
2017-01-10 02:37:00,115.669,1,2017-01-10 02:47:00,115.535,-13.4,2017-01-10 04:37:00,2017-01-10 04:47:00,1,1,10,4,10
2017-01-10 11:52:00,115.964,1,2017-01-10 12:02:00,115.964,0.0,2017-01-10 13:52:00,2017-01-10 14:02:00,1,1,10,13,10
2017-01-10 17:46:00,115.932,1,2017-01-10 17:56:00,115.856,-7.6,2017-01-10 19:46:00,2017-01-10 19:56:00,1,1,10,19,10
2017-01-11 01:01:00,115.998,1,2017-01-11 01:11:00,116.052,5.4,2017-01-11 03:01:00,2017-01-11 03:11:00,1,2,11,3,10
2017-01-11 01:46:00,115.889,1,2017-01-11 01:56:00,115.866,-2.3,2017-01-11 03:46:00,2017-01-11 03:56:00,1,2,11,3,10
2017-01-11 06:06:00,115.938,1,2017-01-11 06:16:00,115.911,-2.7,2017-01-11 08:06:00,2017-01-11 08:16:00,1,2,11,8,10
2017-01-11 07:28:00,115.963,1,2017-01-11 07:38:00,116.007,4.4,2017-01-11 09:28:00,2017-01-11 09:38:00,1,2,11,9,10
2017-01-11 08:27:00,115.83,1,2017-01-11 08:37:00,115.888,5.8,2017-01-11 10:27:00,2017-01-11 10:37:00,1,2,11,10,10
2017-01-11 08:57:00,115.98,1,2017-01-11 09:07:00,116.009,2.9,2017-01-11 10:57:00,2017-01-11 11:07:00,1,2,11,10,10
2017-01-11 16:52:00,115.847,1,2017-01-11 17:02:00,116.52,67.3,2017-01-11 18:52:00,2017-01-11 19:02:00,1,2,11,18,10
2017-01-11 18:44:00,114.948,1,2017-01-11 18:54:00,114.996,4.8,2017-01-11 20:44:00,2017-01-11 20:54:00,1,2,11,20,10
2017-01-12 08:56:00,113.99,1,2017-01-12 09:06:00,114.09,10.0,2017-01-12 10:56:00,2017-01-12 11:06:00,1,3,12,10,10
2017-01-12 15:27:00,113.992,1,2017-01-12 15:37:00,114.061,6.9,2017-01-12 17:27:00,2017-01-12 17:37:00,1,3,12,17,10
2017-01-13 00:53:00,114.972,1,2017-01-13 01:03:00,115.07,9.8,2017-01-13 02:53:00,2017-01-13 03:03:00,1,4,13,2,10
2017-01-13 01:37:00,114.974,1,2017-01-13 01:47:00,114.885,-8.9,2017-01-13 03:37:00,2017-01-13 03:47:00,1,4,13,3,10
2017-01-13 01:58:00,114.986,1,2017-01-13 02:08:00,114.871,-11.5,2017-01-13 03:58:00,2017-01-13 04:08:00,1,4,13,3,10
2017-01-13 02:30:00,114.981,1,2017-01-13 02:40:00,115.012,3.1,2017-01-13 04:30:00,2017-01-13 04:40:00,1,4,13,4,10
2017-01-13 04:59:00,114.952,1,2017-01-13 05:09:00,114.977,2.5,2017-01-13 06:59:00,2017-01-13 07:09:00,1,4,13,6,10
2017-01-13 06:14:00,114.85,1,2017-01-13 06:24:00,114.802,-4.8,2017-01-13 08:14:00,2017-01-13 08:24:00,1,4,13,8,10
2017-01-13 17:23:00,114.789,1,2017-01-13 17:33:00,114.653,-13.6,2017-01-13 19:23:00,2017-01-13 19:33:00,1,4,13,19,10
2017-01-17 11:23:00,112.849,1,2017-01-17 11:33:00,112.807,-4.2,2017-01-17 13:23:00,2017-01-17 13:33:00,1,1,17,13,10
2017-01-17 17:04:00,112.989,1,2017-01-17 17:14:00,112.931,-5.8,2017-01-17 19:04:00,2017-01-17 19:14:00,1,1,17,19,10
2017-01-17 17:40:00,112.951,1,2017-01-17 17:50:00,112.918,-3.3,2017-01-17 19:40:00,2017-01-17 19:50:00,1,1,17,19,10
2017-01-18 00:08:00,112.979,1,2017-01-18 00:18:00,112.928,-5.1,2017-01-18 02:08:00,2017-01-18 02:18:00,1,2,18,2,10
