buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-03 08:25:00,117.973,-1,2017-01-03 08:35:00,117.989,-1.6,2017-01-03 10:25:00,2017-01-03 10:35:00,1,1,3,10,10
2017-01-03 08:58:00,117.989,-1,2017-01-03 09:08:00,118.042,-5.3,2017-01-03 10:58:00,2017-01-03 11:08:00,1,1,3,10,10
2017-01-03 16:16:00,117.908,-1,2017-01-03 16:26:00,117.778,13.0,2017-01-03 18:16:00,2017-01-03 18:26:00,1,1,3,18,10
2017-01-04 01:13:00,117.925,-1,2017-01-04 01:23:00,117.923,0.200000000001,2017-01-04 03:13:00,2017-01-04 03:23:00,1,2,4,3,10
2017-01-04 01:35:00,117.948,-1,2017-01-04 01:45:00,118.033,-8.5,2017-01-04 03:35:00,2017-01-04 03:45:00,1,2,4,3,10
2017-01-04 03:02:00,117.966,-1,2017-01-04 03:12:00,118.031,-6.5,2017-01-04 05:02:00,2017-01-04 05:12:00,1,2,4,5,10
2017-01-04 03:22:00,117.958,-1,2017-01-04 03:32:00,117.889,6.9,2017-01-04 05:22:00,2017-01-04 05:32:00,1,2,4,5,10
2017-01-04 03:40:00,117.962,-1,2017-01-04 03:50:00,117.994,-3.2,2017-01-04 05:40:00,2017-01-04 05:50:00,1,2,4,5,10
2017-01-04 03:58:00,117.955,-1,2017-01-04 04:08:00,117.899,5.6,2017-01-04 05:58:00,2017-01-04 06:08:00,1,2,4,5,10
2017-01-04 04:40:00,117.963,-1,2017-01-04 04:50:00,118.0,-3.7,2017-01-04 06:40:00,2017-01-04 06:50:00,1,2,4,6,10
2017-01-04 07:38:00,117.985,-1,2017-01-04 07:48:00,118.008,-2.3,2017-01-04 09:38:00,2017-01-04 09:48:00,1,2,4,9,10
2017-01-05 15:08:00,115.916,-1,2017-01-05 15:18:00,115.886,3.0,2017-01-05 17:08:00,2017-01-05 17:18:00,1,3,5,17,10
2017-01-06 01:26:00,115.964,-1,2017-01-06 01:36:00,115.875,8.9,2017-01-06 03:26:00,2017-01-06 03:36:00,1,4,6,3,10
2017-01-06 01:43:00,115.989,-1,2017-01-06 01:53:00,115.931,5.8,2017-01-06 03:43:00,2017-01-06 03:53:00,1,4,6,3,10
2017-01-06 05:50:00,115.995,-1,2017-01-06 06:00:00,115.928,6.7,2017-01-06 07:50:00,2017-01-06 08:00:00,1,4,6,7,10
2017-01-06 06:39:00,115.997,-1,2017-01-06 06:49:00,116.167,-17.0,2017-01-06 08:39:00,2017-01-06 08:49:00,1,4,6,8,10
2017-01-06 09:30:00,115.982,-1,2017-01-06 09:40:00,115.929,5.3,2017-01-06 11:30:00,2017-01-06 11:40:00,1,4,6,11,10
2017-01-06 10:21:00,115.985,-1,2017-01-06 10:31:00,116.007,-2.2,2017-01-06 12:21:00,2017-01-06 12:31:00,1,4,6,12,10
2017-01-06 11:49:00,115.994,-1,2017-01-06 11:59:00,116.009,-1.5,2017-01-06 13:49:00,2017-01-06 13:59:00,1,4,6,13,10
2017-01-06 17:24:00,116.978,-1,2017-01-06 17:34:00,116.984,-0.6,2017-01-06 19:24:00,2017-01-06 19:34:00,1,4,6,19,10
2017-01-06 17:42:00,116.935,-1,2017-01-06 17:52:00,116.868,6.7,2017-01-06 19:42:00,2017-01-06 19:52:00,1,4,6,19,10
2017-01-06 18:40:00,116.993,-1,2017-01-06 18:50:00,116.986,0.699999999999,2017-01-06 20:40:00,2017-01-06 20:50:00,1,4,6,20,10
2017-01-09 09:37:00,116.92,-1,2017-01-09 09:47:00,117.023,-10.3,2017-01-09 11:37:00,2017-01-09 11:47:00,1,0,9,11,10
2017-01-10 00:37:00,115.953,-1,2017-01-10 00:47:00,116.049,-9.6,2017-01-10 02:37:00,2017-01-10 02:47:00,1,1,10,2,10
2017-01-10 02:32:00,115.831,-1,2017-01-10 02:42:00,115.703,12.8,2017-01-10 04:32:00,2017-01-10 04:42:00,1,1,10,4,10
2017-01-10 10:10:00,116.002,-1,2017-01-10 10:20:00,116.024,-2.2,2017-01-10 12:10:00,2017-01-10 12:20:00,1,1,10,12,10
2017-01-10 11:47:00,115.954,-1,2017-01-10 11:57:00,115.94,1.4,2017-01-10 13:47:00,2017-01-10 13:57:00,1,1,10,13,10
2017-01-10 17:41:00,115.941,-1,2017-01-10 17:51:00,115.874,6.7,2017-01-10 19:41:00,2017-01-10 19:51:00,1,1,10,19,10
2017-01-11 01:01:00,115.998,-1,2017-01-11 01:11:00,116.052,-5.4,2017-01-11 03:01:00,2017-01-11 03:11:00,1,2,11,3,10
2017-01-11 01:34:00,115.983,-1,2017-01-11 01:44:00,115.902,8.1,2017-01-11 03:34:00,2017-01-11 03:44:00,1,2,11,3,10
2017-01-11 06:01:00,115.914,-1,2017-01-11 06:11:00,115.863,5.1,2017-01-11 08:01:00,2017-01-11 08:11:00,1,2,11,8,10
2017-01-11 06:35:00,115.985,-1,2017-01-11 06:45:00,116.043,-5.8,2017-01-11 08:35:00,2017-01-11 08:45:00,1,2,11,8,10
2017-01-11 07:23:00,115.939,-1,2017-01-11 07:33:00,116.014,-7.5,2017-01-11 09:23:00,2017-01-11 09:33:00,1,2,11,9,10
2017-01-11 08:22:00,115.964,-1,2017-01-11 08:32:00,115.875,8.9,2017-01-11 10:22:00,2017-01-11 10:32:00,1,2,11,10,10
2017-01-11 08:57:00,115.98,-1,2017-01-11 09:07:00,116.009,-2.9,2017-01-11 10:57:00,2017-01-11 11:07:00,1,2,11,10,10
2017-01-11 16:47:00,115.843,-1,2017-01-11 16:57:00,116.177,-33.4,2017-01-11 18:47:00,2017-01-11 18:57:00,1,2,11,18,10
2017-01-11 18:44:00,114.948,-1,2017-01-11 18:54:00,114.996,-4.8,2017-01-11 20:44:00,2017-01-11 20:54:00,1,2,11,20,10
2017-01-12 08:56:00,113.99,-1,2017-01-12 09:06:00,114.09,-10.0,2017-01-12 10:56:00,2017-01-12 11:06:00,1,3,12,10,10
2017-01-12 09:39:00,113.975,-1,2017-01-12 09:49:00,114.067,-9.2,2017-01-12 11:39:00,2017-01-12 11:49:00,1,3,12,11,10
2017-01-12 13:17:00,113.991,-1,2017-01-12 13:27:00,114.141,-15.0,2017-01-12 15:17:00,2017-01-12 15:27:00,1,3,12,15,10
2017-01-12 15:27:00,113.992,-1,2017-01-12 15:37:00,114.061,-6.9,2017-01-12 17:27:00,2017-01-12 17:37:00,1,3,12,17,10
2017-01-12 17:13:00,113.972,-1,2017-01-12 17:23:00,114.066,-9.4,2017-01-12 19:13:00,2017-01-12 19:23:00,1,3,12,19,10
2017-01-12 17:47:00,113.961,-1,2017-01-12 17:57:00,114.03,-6.9,2017-01-12 19:47:00,2017-01-12 19:57:00,1,3,12,19,10
2017-01-13 00:53:00,114.972,-1,2017-01-13 01:03:00,115.07,-9.8,2017-01-13 02:53:00,2017-01-13 03:03:00,1,4,13,2,10
2017-01-13 01:32:00,114.971,-1,2017-01-13 01:42:00,114.88,9.1,2017-01-13 03:32:00,2017-01-13 03:42:00,1,4,13,3,10
