buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-03 23:04:00,1.08585,1,2016-01-03 23:14:00,1.08567,-1.8,2016-01-04 01:04:00,2016-01-04 01:14:00,1,0,4,1,10
2016-01-03 23:23:00,1.0854,1,2016-01-03 23:33:00,1.08481,-5.9,2016-01-04 01:23:00,2016-01-04 01:33:00,1,0,4,1,10
2016-01-04 00:21:00,1.08507,1,2016-01-04 00:31:00,1.08477,-3.0,2016-01-04 02:21:00,2016-01-04 02:31:00,1,0,4,2,10
2016-01-04 00:41:00,1.08453,1,2016-01-04 00:51:00,1.08449,-0.4,2016-01-04 02:41:00,2016-01-04 02:51:00,1,0,4,2,10
2016-01-04 01:06:00,1.08403,1,2016-01-04 01:16:00,1.08331,-7.2,2016-01-04 03:06:00,2016-01-04 03:16:00,1,0,4,3,10
2016-01-04 01:22:00,1.08294,-1,2016-01-04 01:32:00,1.08395,-10.1,2016-01-04 03:22:00,2016-01-04 03:32:00,1,0,4,3,10
2016-01-04 01:40:00,1.08426,1,2016-01-04 01:50:00,1.08493,6.7,2016-01-04 03:40:00,2016-01-04 03:50:00,1,0,4,3,10
2016-01-04 01:59:00,1.08605,1,2016-01-04 02:09:00,1.08609,0.4,2016-01-04 03:59:00,2016-01-04 04:09:00,1,0,4,3,10
2016-01-04 02:53:00,1.08654,1,2016-01-04 03:03:00,1.08715,6.1,2016-01-04 04:53:00,2016-01-04 05:03:00,1,0,4,4,10
2016-01-04 05:08:00,1.08753,1,2016-01-04 05:18:00,1.08799,4.6,2016-01-04 07:08:00,2016-01-04 07:18:00,1,0,4,7,10
2016-01-04 05:38:00,1.08936,1,2016-01-04 05:48:00,1.09022,8.6,2016-01-04 07:38:00,2016-01-04 07:48:00,1,0,4,7,10
2016-01-04 06:03:00,1.08925,1,2016-01-04 06:13:00,1.08973,4.8,2016-01-04 08:03:00,2016-01-04 08:13:00,1,0,4,8,10
2016-01-04 06:26:00,1.08964,1,2016-01-04 06:36:00,1.08909,-5.5,2016-01-04 08:26:00,2016-01-04 08:36:00,1,0,4,8,10
2016-01-04 07:01:00,1.08942,-1,2016-01-04 07:11:00,1.0883,11.2,2016-01-04 09:01:00,2016-01-04 09:11:00,1,0,4,9,10
2016-01-04 07:22:00,1.0887,1,2016-01-04 07:32:00,1.0891,4.0,2016-01-04 09:22:00,2016-01-04 09:32:00,1,0,4,9,10
2016-01-04 08:02:00,1.09221,-1,2016-01-04 08:12:00,1.09274,-5.3,2016-01-04 10:02:00,2016-01-04 10:12:00,1,0,4,10,10
2016-01-04 08:18:00,1.09397,-1,2016-01-04 08:28:00,1.09363,3.4,2016-01-04 10:18:00,2016-01-04 10:28:00,1,0,4,10,10
2016-01-04 08:35:00,1.09291,1,2016-01-04 08:45:00,1.09239,-5.2,2016-01-04 10:35:00,2016-01-04 10:45:00,1,0,4,10,10
2016-01-04 08:51:00,1.09274,-1,2016-01-04 09:01:00,1.0926,1.4,2016-01-04 10:51:00,2016-01-04 11:01:00,1,0,4,10,10
2016-01-04 09:10:00,1.09272,-1,2016-01-04 09:20:00,1.09188,8.4,2016-01-04 11:10:00,2016-01-04 11:20:00,1,0,4,11,10
2016-01-04 09:44:00,1.09211,-1,2016-01-04 09:54:00,1.0924,-2.9,2016-01-04 11:44:00,2016-01-04 11:54:00,1,0,4,11,10
2016-01-04 10:05:00,1.0932,1,2016-01-04 10:15:00,1.09282,-3.8,2016-01-04 12:05:00,2016-01-04 12:15:00,1,0,4,12,10
2016-01-04 10:22:00,1.09229,-1,2016-01-04 10:32:00,1.09189,4.0,2016-01-04 12:22:00,2016-01-04 12:32:00,1,0,4,12,10
2016-01-04 10:46:00,1.09082,1,2016-01-04 10:56:00,1.09092,1.0,2016-01-04 12:46:00,2016-01-04 12:56:00,1,0,4,12,10
2016-01-04 11:02:00,1.09038,-1,2016-01-04 11:12:00,1.09052,-1.4,2016-01-04 13:02:00,2016-01-04 13:12:00,1,0,4,13,10
2016-01-04 11:38:00,1.09102,-1,2016-01-04 11:48:00,1.09111,-0.899999999999,2016-01-04 13:38:00,2016-01-04 13:48:00,1,0,4,13,10
