buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-04 01:59:00,1.08605,-1,2016-01-04 04:28:00,1.08786,-18.1,2016-01-04 03:59:00,2016-01-04 06:28:00,1,0,4,3,149
2016-01-04 05:46:00,1.09045,-1,2016-01-04 05:50:00,1.09006,3.9,2016-01-04 07:46:00,2016-01-04 07:50:00,1,0,4,7,4
2016-01-04 07:46:00,1.09157,-1,2016-01-04 07:48:00,1.09136,2.1,2016-01-04 09:46:00,2016-01-04 09:48:00,1,0,4,9,2
2016-01-04 08:02:00,1.09221,-1,2016-01-04 08:03:00,1.09192,2.9,2016-01-04 10:02:00,2016-01-04 10:03:00,1,0,4,10,1
2016-01-04 08:19:00,1.09387,-1,2016-01-04 08:33:00,1.09339,4.8,2016-01-04 10:19:00,2016-01-04 10:33:00,1,0,4,10,14
2016-01-04 13:33:00,1.0872,1,2016-01-04 13:47:00,1.08508,-21.2,2016-01-04 15:33:00,2016-01-04 15:47:00,1,0,4,15,14
2016-01-04 13:51:00,1.08557,1,2016-01-04 14:14:00,1.08611,5.4,2016-01-04 15:51:00,2016-01-04 16:14:00,1,0,4,15,23
2016-01-04 15:00:00,1.08347,1,2016-01-04 15:01:00,1.08446,9.9,2016-01-04 17:00:00,2016-01-04 17:01:00,1,0,4,17,1
2016-01-04 15:16:00,1.08175,1,2016-01-04 15:23:00,1.0823,5.5,2016-01-04 17:16:00,2016-01-04 17:23:00,1,0,4,17,7
2016-01-04 16:06:00,1.08016,1,2016-01-04 16:07:00,1.0806,4.4,2016-01-04 18:06:00,2016-01-04 18:07:00,1,0,4,18,1
2016-01-04 16:22:00,1.07862,1,2016-01-04 16:31:00,1.07909,4.7,2016-01-04 18:22:00,2016-01-04 18:31:00,1,0,4,18,9
