buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-03 23:04:00,1.08585,1,2016-01-04 01:16:00,1.08331,-25.4,2016-01-04 01:04:00,2016-01-04 03:16:00,1,0,4,1,132
2016-01-03 23:21:00,1.08549,1,2016-01-04 01:20:00,1.08278,-27.1,2016-01-04 01:21:00,2016-01-04 03:20:00,1,0,4,1,119
2016-01-04 00:41:00,1.08453,1,2016-01-04 01:49:00,1.08488,3.5,2016-01-04 02:41:00,2016-01-04 03:49:00,1,0,4,2,68
2016-01-04 01:15:00,1.08343,1,2016-01-04 01:31:00,1.08383,4.0,2016-01-04 03:15:00,2016-01-04 03:31:00,1,0,4,3,16
2016-01-04 01:42:00,1.08443,-1,2016-01-04 02:47:00,1.08724,-28.1,2016-01-04 03:42:00,2016-01-04 04:47:00,1,0,4,3,65
2016-01-04 01:58:00,1.086,-1,2016-01-04 05:33:00,1.08906,-30.6,2016-01-04 03:58:00,2016-01-04 07:33:00,1,0,4,3,215
2016-01-04 02:14:00,1.08605,-1,2016-01-04 05:33:00,1.08906,-30.1,2016-01-04 04:14:00,2016-01-04 07:33:00,1,0,4,4,199
2016-01-04 02:47:00,1.08724,-1,2016-01-04 02:52:00,1.08683,4.1,2016-01-04 04:47:00,2016-01-04 04:52:00,1,0,4,4,5
2016-01-04 04:40:00,1.08814,-1,2016-01-04 04:45:00,1.08784,3.0,2016-01-04 06:40:00,2016-01-04 06:45:00,1,0,4,6,5
2016-01-04 05:33:00,1.08906,-1,2016-01-04 06:53:00,1.08867,3.9,2016-01-04 07:33:00,2016-01-04 08:53:00,1,0,4,7,80
2016-01-04 05:49:00,1.09016,-1,2016-01-04 06:00:00,1.08973,4.3,2016-01-04 07:49:00,2016-01-04 08:00:00,1,0,4,7,11
2016-01-04 06:46:00,1.08894,1,2016-01-04 07:01:00,1.08942,4.8,2016-01-04 08:46:00,2016-01-04 09:01:00,1,0,4,8,15
2016-01-04 07:36:00,1.08945,-1,2016-01-04 07:37:00,1.08914,3.1,2016-01-04 09:36:00,2016-01-04 09:37:00,1,0,4,9,1
2016-01-04 07:52:00,1.09186,-1,2016-01-04 07:54:00,1.09161,2.5,2016-01-04 09:52:00,2016-01-04 09:54:00,1,0,4,9,2
2016-01-04 08:10:00,1.09284,-1,2016-01-04 08:13:00,1.09254,3.0,2016-01-04 10:10:00,2016-01-04 10:13:00,1,0,4,10,3
2016-01-04 08:26:00,1.09384,-1,2016-01-04 08:33:00,1.09339,4.5,2016-01-04 10:26:00,2016-01-04 10:33:00,1,0,4,10,7
2016-01-04 08:42:00,1.09242,1,2016-01-04 08:48:00,1.09291,4.9,2016-01-04 10:42:00,2016-01-04 10:48:00,1,0,4,10,6
2016-01-04 08:58:00,1.09197,1,2016-01-04 09:00:00,1.09242,4.5,2016-01-04 10:58:00,2016-01-04 11:00:00,1,0,4,10,2
2016-01-04 09:17:00,1.0919,1,2016-01-04 09:47:00,1.09223,3.3,2016-01-04 11:17:00,2016-01-04 11:47:00,1,0,4,11,30
2016-01-04 09:36:00,1.09163,1,2016-01-04 09:43:00,1.09209,4.6,2016-01-04 11:36:00,2016-01-04 11:43:00,1,0,4,11,7
2016-01-04 10:00:00,1.09292,-1,2016-01-04 10:08:00,1.09241,5.1,2016-01-04 12:00:00,2016-01-04 12:08:00,1,0,4,12,8
