buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2016-01-04 01:54:00,1.08556,-1,2016-01-04 04:36:00,1.08787,-23.1,2016-01-04 03:54:00,2016-01-04 06:36:00,1,0,4,3,162
2016-01-04 05:42:00,1.08988,-1,2016-01-04 06:03:00,1.08925,6.3,2016-01-04 07:42:00,2016-01-04 08:03:00,1,0,4,7,21
2016-01-04 07:46:00,1.09157,-1,2016-01-04 07:48:00,1.09136,2.1,2016-01-04 09:46:00,2016-01-04 09:48:00,1,0,4,9,2
2016-01-04 08:02:00,1.09221,-1,2016-01-04 08:03:00,1.09192,2.9,2016-01-04 10:02:00,2016-01-04 10:03:00,1,0,4,10,1
2016-01-04 08:18:00,1.09397,-1,2016-01-04 08:29:00,1.09371,2.6,2016-01-04 10:18:00,2016-01-04 10:29:00,1,0,4,10,11
2016-01-04 08:41:00,1.0924,1,2016-01-04 08:44:00,1.09263,2.3,2016-01-04 10:41:00,2016-01-04 10:44:00,1,0,4,10,3
2016-01-04 10:02:00,1.09347,-1,2016-01-04 10:05:00,1.0932,2.7,2016-01-04 12:02:00,2016-01-04 12:05:00,1,0,4,12,3
2016-01-04 11:04:00,1.08993,1,2016-01-04 11:08:00,1.09034,4.1,2016-01-04 13:04:00,2016-01-04 13:08:00,1,0,4,13,4
2016-01-04 13:30:00,1.08825,1,2016-01-04 13:36:00,1.08589,-23.6,2016-01-04 15:30:00,2016-01-04 15:36:00,1,0,4,15,6
2016-01-04 13:50:00,1.08543,1,2016-01-04 13:52:00,1.08557,1.4,2016-01-04 15:50:00,2016-01-04 15:52:00,1,0,4,15,2
2016-01-04 15:14:00,1.08209,1,2016-01-04 15:29:00,1.08266,5.7,2016-01-04 17:14:00,2016-01-04 17:29:00,1,0,4,17,15
2016-01-04 16:00:00,1.08016,1,2016-01-04 16:03:00,1.08098,8.2,2016-01-04 18:00:00,2016-01-04 18:03:00,1,0,4,18,3
2016-01-04 16:16:00,1.07853,1,2016-01-04 16:31:00,1.07909,5.6,2016-01-04 18:16:00,2016-01-04 18:31:00,1,0,4,18,15
